dataset,policy,threshold_source,precision,recall,f1,auroc,aupr,fpr,fnr
ctt_test03,classifier_score_only,test_upper_bound_no_val_dump,0.3386134540218062,0.2192036223198828,0.266127728375101,0.6187933156654002,0.2707853495448759,0.04077982698698597,0.7807963776801172
ctt_test03,normality_score_only,test_upper_bound_no_val_dump,0.3386134540218062,0.2192036223198828,0.266127728375101,0.6255656770903134,0.2703440761668724,0.04077982698698597,0.7807963776801172
ctt_test03,max_classifier_normality,test_upper_bound_no_val_dump,0.3386134540218062,0.2192036223198828,0.266127728375101,0.6187933156654002,0.2707853495448759,0.04077982698698597,0.7807963776801172
ctt_test03,half_classifier_half_normality,test_upper_bound_no_val_dump,0.3386134540218062,0.2192036223198828,0.266127728375101,0.6217528665999086,0.2682182622901328,0.04077982698698597,0.7807963776801172
ctt_test04,classifier_score_only,test_upper_bound_no_val_dump,0.44751381215469616,0.21528239202657806,0.29071332436069985,0.6453148850656452,0.173221021484981,0.0030605608477753546,0.7847176079734219
ctt_test04,normality_score_only,test_upper_bound_no_val_dump,0.017719050500975053,0.7003322259136212,0.034563609831281046,0.5933173035187934,0.014490307185704439,0.44707142583878495,0.29966777408637874
ctt_test04,max_classifier_normality,test_upper_bound_no_val_dump,0.44751381215469616,0.21528239202657806,0.29071332436069985,0.6449099759158773,0.17321629846553716,0.0030605608477753546,0.7847176079734219
ctt_test04,half_classifier_half_normality,test_upper_bound_no_val_dump,0.44751381215469616,0.21528239202657806,0.29071332436069985,0.6698142323451204,0.17315336775105653,0.0030605608477753546,0.7847176079734219
road,classifier_score_only,test_upper_bound_no_val_dump,0.9989669421487604,0.7068713450292398,0.8279109589041096,0.9335428097343808,0.7794071003229952,3.725574204124211e-05,0.29312865497076024
road,normality_score_only,test_upper_bound_no_val_dump,0.9989669421487604,0.7068713450292398,0.8279109589041096,0.9027677353400017,0.7750322150443708,3.725574204124211e-05,0.29312865497076024
road,max_classifier_normality,test_upper_bound_no_val_dump,0.9989669421487604,0.7068713450292398,0.8279109589041096,0.9335428097343808,0.7794071003229952,3.725574204124211e-05,0.29312865497076024
road,half_classifier_half_normality,test_upper_bound_no_val_dump,0.9989669421487604,0.7068713450292398,0.8279109589041096,0.929948713168151,0.7786969886046466,3.725574204124211e-05,0.29312865497076024
