dataset,model,precision,recall,f1,auroc,aupr,fpr,fnr,threshold,train_rows,train_positive,test_rows,test_positive,protocol
ctt_test01,LogisticRegression,0.8597674418604652,0.35053729456384325,0.49802424786708577,0.6040325128389797,0.35625362982564845,0.0006415587501485089,0.6494627054361568,0.4250350892543793,81192,21192,5702670,63280,official_sample_level_train_neg_sampled_test_full
ctt_test01,GaussianNB,0.9774324036619119,0.3627528445006321,0.5291304097274246,0.6566695313151285,0.36192793146093255,9.398179590345765e-05,0.6372471554993678,1.5227641370074707e-10,81192,21192,5702670,63280,official_sample_level_train_neg_sampled_test_full
ctt_test01,MLP,0.2956405740040408,0.3607300884955752,0.3249580047262478,0.6920333968099216,0.35479609048062544,0.009643773528697252,0.6392699115044248,0.05430891364812851,81192,21192,5702670,63280,official_sample_level_train_neg_sampled_test_full
ctt_test01,GradientBoosting,0.8425119827839186,0.40832806573957015,0.5500643966407306,0.41869107154012764,0.40273088734139695,0.000856475611723963,0.5916719342604299,0.04505324935585055,81192,21192,5702670,63280,official_sample_level_train_neg_sampled_test_full
ctt_test01,RandomForest,0.8972281735404392,0.4235461441213654,0.575446581930608,0.7114855681985864,0.42403628159800544,0.000544385119667198,0.5764538558786346,0.03333333333333333,81192,21192,5702670,63280,official_sample_level_train_neg_sampled_test_full
ctt_test01,IsolationForest,0.012364471806753102,0.9877370417193426,0.024423214323044524,0.45271706552411123,0.009975923747588652,0.8853129505141514,0.012262958280657396,-0.11383353431159182,81192,21192,5702670,63280,official_sample_level_train_neg_sampled_test_full
ctt_test01,BIRCH,0.021457792151690216,0.9419563843236409,0.041959740274367587,0.701172470245911,0.017205925983006038,0.4820140121537968,0.05804361567635904,1.2259972095489502,81192,21192,5702670,63280,official_sample_level_train_neg_sampled_test_full
ctt_test02,LogisticRegression,0.21620489915555866,0.037742055346080515,0.06426552573577078,0.7220692102482857,0.06922985512973744,0.003574617067833698,0.9622579446539195,0.4250350892543793,81192,21192,6447917,164167,official_sample_level_train_neg_sampled_test_full
ctt_test02,GaussianNB,0.28141176470588236,0.03642632197701121,0.0645032548256093,0.5054301994215551,0.059042929888151484,0.002430077581062264,0.9635736780229888,1.5227641370074707e-10,81192,21192,6447917,164167,official_sample_level_train_neg_sampled_test_full
ctt_test02,MLP,0.025584040740156015,0.03849738376165734,0.030739598634227962,0.936119774065648,0.17515827070358697,0.03830658444400239,0.9615026162383427,0.05430891364812851,81192,21192,6447917,164167,official_sample_level_train_neg_sampled_test_full
ctt_test02,GradientBoosting,0.9362617644873912,0.9980263999463961,0.9661579648783479,0.9980967425009822,0.9349964229025688,0.001775054704595186,0.0019736000536039523,0.04505324935585055,81192,21192,6447917,164167,official_sample_level_train_neg_sampled_test_full
ctt_test02,RandomForest,0.4487083264743549,0.9796244068539962,0.6154947204053749,0.9806735251805484,0.4688315275447395,0.0314444400238711,0.020375593146003766,0.03333333333333333,81192,21192,6447917,164167,official_sample_level_train_neg_sampled_test_full
ctt_test02,IsolationForest,0.027006521975922758,0.9998050765379156,0.05259242846543762,0.37430334302328633,0.021684432564401855,0.9410735627610901,0.00019492346208434096,-0.11383353431159182,81192,21192,6447917,164167,official_sample_level_train_neg_sampled_test_full
ctt_test02,BIRCH,0.02832670692534036,0.9991776666443317,0.055091566824285135,0.3774198652175461,0.019841702537755877,0.8954345733041575,0.0008223333556683133,1.2259972095489502,81192,21192,6447917,164167,official_sample_level_train_neg_sampled_test_full
ctt_test03,LogisticRegression,0.6638742730545555,0.4604561824729892,0.543763645127449,0.6907960583635622,0.430185947097477,0.0005635879249400716,0.5395438175270107,0.4250350892543793,81192,21192,8635275,20825,official_sample_level_train_neg_sampled_test_full
ctt_test03,GaussianNB,0.9004366812227074,0.396062424969988,0.5501417375354344,0.7027197325173298,0.3778508844605921,0.00010586862771273847,0.603937575030012,1.5227641370074707e-10,81192,21192,8635275,20825,official_sample_level_train_neg_sampled_test_full
ctt_test03,MLP,0.0791478812477974,0.3127490996398559,0.12632620206761447,0.7104457546383598,0.16818045900415374,0.008796382821886481,0.687250900360144,0.05430891364812851,81192,21192,8635275,20825,official_sample_level_train_neg_sampled_test_full
ctt_test03,GradientBoosting,0.8084413334257399,0.5601440576230492,0.6617688772905203,0.7283812888165092,0.5196987402630996,0.0003208562357434311,0.4398559423769508,0.04505324935585055,81192,21192,8635275,20825,official_sample_level_train_neg_sampled_test_full
ctt_test03,RandomForest,0.7893941385201735,0.5768547418967587,0.6665926809644036,0.7890517019711785,0.5474522674684986,0.00037204928927557767,0.4231452581032413,0.03333333333333333,81192,21192,8635275,20825,official_sample_level_train_neg_sampled_test_full
ctt_test03,IsolationForest,0.0027186723114093246,1.0,0.0054226023439703135,0.6245242394690175,0.10704697313591299,0.8867848788953444,0.0,-0.11383353431159182,81192,21192,8635275,20825,official_sample_level_train_neg_sampled_test_full
ctt_test03,BIRCH,0.0045713736522385055,0.9181752701080432,0.009097453274507481,0.8896968482526189,0.3200907690049571,0.48333300442860544,0.08182472989195679,1.2259972095489502,81192,21192,8635275,20825,official_sample_level_train_neg_sampled_test_full
ctt_test04,LogisticRegression,0.013339613181604097,0.06163998876720023,0.021932727976718337,0.3367693039666594,0.01914343788053455,0.00491742167816584,0.9383600112327998,0.4250350892543793,81192,21192,13220555,14244,official_sample_level_train_neg_sampled_test_full
ctt_test04,GaussianNB,0.010539698918391037,0.04015725919685482,0.01669707363351091,0.5208076567774168,0.0016796613864500229,0.004066162003908586,0.9598427408031451,1.5227641370074707e-10,81192,21192,13220555,14244,official_sample_level_train_neg_sampled_test_full
