dataset,model,precision,recall,f1,auroc,aupr,fpr,fnr,threshold,train_rows,train_positive,test_rows,test_positive,protocol,granularity,seed,label_ratio,epochs,aux_loss_weight,accuracy,macro_f1,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature,note
ctt_test01,RandomForest,0.8972281735404392,0.4235461441213654,0.575446581930608,0.7114855681985864,0.42403628159800544,0.000544385119667198,0.5764538558786346,0.03333333333333333,81192.0,21192.0,5702670.0,63280.0,official_sample_level_train_neg_sampled_test_full,official_sample_level,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctt_test02,GradientBoosting,0.9362617644873912,0.9980263999463961,0.9661579648783479,0.9980967425009822,0.9349964229025688,0.001775054704595186,0.0019736000536039523,0.04505324935585055,81192.0,21192.0,6447917.0,164167.0,official_sample_level_train_neg_sampled_test_full,official_sample_level,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctt_test03,RandomForest,0.7893941385201735,0.5768547418967587,0.6665926809644036,0.7890517019711785,0.5474522674684986,0.00037204928927557767,0.4231452581032413,0.03333333333333333,81192.0,21192.0,8635275.0,20825.0,official_sample_level_train_neg_sampled_test_full,official_sample_level,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctt_test04,GradientBoosting,0.6336088154269972,0.2260600954787981,0.3332298458035806,0.48117108486567933,0.14242040947467038,0.00014099319635892265,0.7739399045212019,0.04505324935585055,81192.0,21192.0,13220555.0,14244.0,official_sample_level_train_neg_sampled_test_full,official_sample_level,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctt_test01,transformer,1.0,0.9306777030522504,0.9640943193997856,0.9968966598253644,0.98438087210754,0.0,0.0693222969477496,0.6055496573451536,,,,,,current_window_100_deep,42.0,1.0,15.0,0.2,0.9976500298130546,0.9814397915078557,0.9715468184169684,0.9850511408339888,3.630488845323023e-05,2.597585080366116e-07,0.9736161407139162,0.9812304483837332,0.0003812013287589,2.0429632741070241e-07,0.9741334712881532,0.9743855109961188,0.0008894697671041,1.813609173950681e-07,,,,,,,,,
ctt_test01,concat_fusion,1.0,0.6880496637351268,0.8152007355194606,0.9875688953576576,0.975534988105138,0.0,0.3119503362648732,2.895897769121824e-06,,,,,,current_window_100_deep,42.0,1.0,15.0,0.2,0.9894251341587458,0.9048787819282248,0.9555095706156234,0.9764736981231829,5.445733267984534e-05,1.9529724681888186e-07,0.9622348680807036,0.9753539590980598,0.0003812013287589,1.2949816152740826e-07,0.9632695292291774,0.97359477124183,0.0005445733267984,1.2079743783033337e-07,,,,,,,,,
ctt_test01,cmf_can,1.0,0.9394723228142784,0.9687916777807416,0.9907451786831104,0.9781093030763408,0.0,0.0605276771857216,5.481837160914888e-07,,,,,,current_window_100_deep,42.0,1.0,15.0,0.2,0.9979481603591596,0.9838654431335369,0.9653388515261252,0.9815886375591796,5.445733267984534e-05,1.6003291136712505e-07,0.9679255043973098,0.976768467762986,0.0004901159941186,1.200778569909744e-07,0.9684428349715468,0.9701995335579164,0.0009802319882372,1.0197000221978669e-07,,,,,,,,,
ctt_test02,transformer,0.0869794493989918,1.0,0.160038811123953,0.1151742375223511,0.0488543960236108,1.0,0.0,0.6055488467219846,,,,,,current_window_100_deep,42.0,1.0,15.0,0.2,0.0869794493989918,0.0800194055619765,0.0,0.0,0.0,1.000000000001,0.0005349500713266,0.0010640184429863,0.0004756484957616,0.9999972581863404,0.0005349500713266,0.0010640184429863,0.0004756484957616,0.9999972581863404,,,,,,,,,
ctt_test02,concat_fusion,0.0869794493989918,1.0,0.160038811123953,0.93873470836008,0.8291933931589583,1.0,0.0,2.8958961138414665e-06,,,,,,current_window_100_deep,42.0,1.0,15.0,0.2,0.0869794493989918,0.0800194055619765,0.2694365192582025,0.4241998877035373,8.493723138600574e-05,0.0698953568935394,0.4299215406562054,0.599155069582505,0.0004926359420388,0.0482848137617111,0.5381597717546363,0.6950713956701982,0.0009852718840776,0.0372380055487155,,,,,,,,,
ctt_test02,cmf_can,0.0869794493989918,1.0,0.160038811123953,0.9683574023354516,0.9324805949532672,1.0,0.0,5.481834659804459e-07,,,,,,current_window_100_deep,42.0,1.0,15.0,0.2,0.0869794493989918,0.0800194055619765,0.7680099857346647,0.8683467741935484,8.493723138600574e-05,0.0004529231227934,0.8074179743223966,0.8909878000787091,0.0004756484957616,0.0003289463056717,0.829172610556348,0.9015122140364482,0.0009852718840776,0.0002767667756415,,,,,,,,,
