ablation,attack_f1_mean,attack_f1_std,aupr_mean,recall_at_fpr_1e_3_mean
only_timing,0.6013349506010226,0.0014895323092265786,0.4239275633897797,0.492020031826266
without_can_id,0.48054981677715786,0.0010219229724755814,0.2653320197261271,0.35603294954600767
full_safe_can,0.48030397674919983,0.001368150817424122,0.2619088802646046,0.35603294954600767
without_payload_delta_l1,0.48030397674919983,0.001368150817424122,0.2619088802646046,0.35603294954600767
without_payload_statistics,0.48030397674919983,0.001368150817424122,0.2619088802646046,0.35603294954600767
without_payload_bytes,0.4551213802247473,0.0030490201773363196,0.32442004474394553,0.43484976130300473
without_delta_t_same_id,0.008546069584072719,0.0008255692841063147,0.05945559087435178,0.06683515866329683
only_id,0.0026136995095673216,3.7211103123552456e-06,0.043729767210803815,0.05497051390058972
only_payload,0.001585688376886385,1.9648231508399872e-05,0.0134546233720975,0.02604605447907891
