protocol,negative_cap,negative_ratio,seed,model,granularity,window_size,setting,precision,recall,f1,macro_f1,auroc,aupr,fpr,fnr,num_positive,num_negative,recall_at_fpr_1e_3,num_train_pos,num_train_neg,num_test_pos,num_test_neg,fit_time,inference_time,status,notes
B_2x_negative_cap,120000,5.662514156285391,42,ExtraTrees,sample,1,ctt_test01,0.7114966132344377,0.3668457648546144,0.4840939660295911,0.7398594728186612,0.6911144060506863,0.38899031918830573,0.0016691521600740505,0.6331542351453856,63280,5639390,0.3668457648546144,21192,120000,63280,5639390,0.19374585151672363,58.12576413154602,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,ExtraTrees,sample,1,ctt_test02,0.06018298421445827,0.03778469485341147,0.046423386070738974,0.5131222911872784,0.8212143250287587,0.15336836798565376,0.015415317286652078,0.9622153051465885,164167,6283750,0.036091297276553753,21192,120000,164167,6283750,0.19374585151672363,65.72396802902222,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,ExtraTrees,sample,1,ctt_test03,0.3454684203438524,0.3695558223289316,0.35710639877499883,0.677748959548842,0.730851300569912,0.3280897115031423,0.0016926211191660523,0.6304441776710684,20825,8614450,0.36672268907563027,21192,120000,20825,8614450,0.19374585151672363,90.29150629043579,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,ExtraTrees,sample,1,ctt_test04,0.003016349188713175,0.05146026397079472,0.005698670180717036,0.4979648942686721,0.5170377445020556,0.028082747205516623,0.01834547134320856,0.9485397360292053,14244,13206311,0.029345689413086212,21192,120000,14244,13206311,0.19374585151672363,133.48115277290344,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,RandomForest,sample,1,ctt_test01,0.8845790928085192,0.41480720606826804,0.5647739742238097,0.7805988585950738,0.7071860864739589,0.41541656651455605,0.0006073351905081933,0.585192793931732,63280,5639390,0.41482300884955753,21192,120000,63280,5639390,0.424713134765625,56.791112184524536,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,RandomForest,sample,1,ctt_test02,0.6461725165093225,0.9989583777494868,0.7847393190306321,0.8887644371180017,0.9914457294244453,0.6541515168315275,0.01429082952058882,0.0010416222505131969,164167,6283750,0.037534949167615905,21192,120000,164167,6283750,0.424713134765625,64.6265959739685,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,RandomForest,sample,1,ctt_test03,0.7348737163474882,0.5085714285714286,0.6011294945653717,0.8001570088215393,0.7542280410625556,0.48944334252787697,0.00044355704659032206,0.49142857142857144,20825,8614450,0.5087635054021609,21192,120000,20825,8614450,0.424713134765625,86.70515727996826,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,RandomForest,sample,1,ctt_test04,0.021298932251387924,0.4002386969952261,0.040445532262069456,0.5150523480754367,0.688880162362859,0.030106605383280194,0.019836349454438865,0.5997613030047739,14244,13206311,0.043456894130862116,21192,120000,14244,13206311,0.424713134765625,133.11880588531494,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,MLP,sample,1,ctt_test01,0.3526623528494582,0.35742730720606825,0.355028842757917,0.673871064999128,0.6701464157043875,0.3534725052253625,0.007361966453818587,0.6425726927939317,63280,5639390,0.32778128950695323,21192,120000,63280,5639390,2.4518558979034424,60.35848116874695,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
B_2x_negative_cap,120000,5.662514156285391,42,MLP,sample,1,ctt_test02,0.03357237715803453,0.03849738376165734,0.03586660121390285,0.5043892639222107,0.9504761213106234,0.2134368133750332,0.028952456733638353,0.9615026162383427,164167,6283750,0.03425779846132292,21192,120000,164167,6283750,2.4518558979034424,68.74147701263428,completed_lightweight_large_negative,large-negative lightweight completion: capped negatives with constrained tree/MLP settings for final evidence closure
