experiment,setting,seed,ablation,features_used,num_features,threshold_type,threshold,fit_time_sec,num_train_pos,num_train_neg,auroc,aupr,recall_at_fpr_1e_3,num_test_pos,num_test_neg,precision,recall,f1,actual_fpr,fnr,tp,fp,tn,fn
multiseed_feature_removal,ctt_test04,42,full_safe_can,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,16,validation_best_f1,0.052634630435393216,4.519138336181641,21192,120000,0.6094257048150244,0.25465970711336267,0.35495647290087057,14244,13206311,0.7402730876523271,0.35397360292052793,0.47893611968653527,0.00013395110867826752,0.6460263970794721,5042,1769,13204542,9202
multiseed_feature_removal,ctt_test04,42,without_delta_t_same_id,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|payload_sum|payload_mean|payload_std|payload_delta_l1,15,validation_best_f1,0.05982045509692849,4.092332124710083,21192,120000,0.5955910499489654,0.05699995416184326,0.06683515866329683,14244,13206311,0.004802651834189836,0.248595900028082,0.009423254761857241,0.055561314586639675,0.751404099971918,3541,733760,12472551,10703
multiseed_feature_removal,ctt_test04,42,without_payload_delta_l1,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std,15,validation_best_f1,0.052634630435393216,4.317590236663818,21192,120000,0.6094257048150244,0.25465970711336267,0.35495647290087057,14244,13206311,0.7402730876523271,0.35397360292052793,0.47893611968653527,0.00013395110867826752,0.6460263970794721,5042,1769,13204542,9202
multiseed_feature_removal,ctt_test04,42,without_payload_statistics,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_delta_l1,13,validation_best_f1,0.052634630435393216,3.4921607971191406,21192,120000,0.6094257048150244,0.25465970711336267,0.35495647290087057,14244,13206311,0.7402730876523271,0.35397360292052793,0.47893611968653527,0.00013395110867826752,0.6460263970794721,5042,1769,13204542,9202
multiseed_feature_removal,ctt_test04,42,without_can_id,dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,15,validation_best_f1,0.04302018283177614,4.401317834854126,21192,120000,0.6094335869532983,0.26492912549793,0.35495647290087057,14244,13206311,0.7395056311247623,0.35495647290087057,0.47967363977040944,0.00013485976515319078,0.6450435270991295,5056,1781,13204530,9188
multiseed_feature_removal,ctt_test04,42,without_payload_bytes,can_id|dlc|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,8,validation_best_f1,0.03882773668706993,3.3175673484802246,21192,120000,0.7453854383577188,0.37524872512549645,0.4909435551811289,14244,13206311,0.736267215450372,0.326523448469531,0.45240990224210886,0.00012615180726850974,0.6734765515304689,4651,1666,13204645,9593
multiseed_feature_removal,ctt_test04,42,only_timing,delta_t_global|delta_t_same_id,2,validation_best_f1,0.03820647130930645,1.7041246891021729,21192,120000,0.7454068799856067,0.42456816625514404,0.4909435551811289,14244,13206311,0.7708333333333334,0.4909435551811289,0.5998455995882657,0.00015742473428045122,0.5090564448188711,6993,2079,13204232,7251
multiseed_feature_removal,ctt_test04,42,only_payload,data0|data1|data2|data3|data4|data5|data6|data7|payload_sum|payload_mean|payload_std|payload_delta_l1,12,validation_best_f1,0.06852017221715809,3.2341809272766113,21192,120000,0.4854682374560498,0.01348047808158394,0.02604605447907891,14244,13206311,0.0007952585232030886,0.09133670317326593,0.0015767881274277508,0.12377756362090822,0.9086632968267341,1301,1634645,11571666,12943
multiseed_feature_removal,ctt_test04,42,only_id,can_id,1,validation_best_f1,0.07183042116438455,0.6372926235198975,21192,120000,0.7554872182446817,0.04380969235077112,0.05497051390058972,14244,13206311,0.0013113986089588814,0.2554759898904802,0.0026094027414862767,0.2098436876126876,0.7445240101095199,3639,2771261,10435050,10605
multiseed_feature_removal,ctt_test04,2024,full_safe_can,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,16,validation_best_f1,0.04263219452475683,4.5763325691223145,21192,120000,0.6106966038349781,0.2668335647938965,0.35748385285032297,14244,13206311,0.7380779823162777,0.35748385285032297,0.48167242113228964,0.0001368285208488578,0.6425161471496771,5092,1807,13204504,9152
multiseed_feature_removal,ctt_test04,2024,without_delta_t_same_id,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|payload_sum|payload_mean|payload_std|payload_delta_l1,15,validation_best_f1,0.06127557667774626,4.090886354446411,21192,120000,0.6173626927803162,0.06055751286728473,0.06683515866329683,14244,13206311,0.00428532802513624,0.2581437798371244,0.008430701786565905,0.06469384220922861,0.7418562201628756,3677,854367,12351944,10567
multiseed_feature_removal,ctt_test04,2024,without_payload_delta_l1,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std,15,validation_best_f1,0.04263219452475683,4.317239046096802,21192,120000,0.6106966038349781,0.2668335647938965,0.35748385285032297,14244,13206311,0.7380779823162777,0.35748385285032297,0.48167242113228964,0.0001368285208488578,0.6425161471496771,5092,1807,13204504,9152
multiseed_feature_removal,ctt_test04,2024,without_payload_statistics,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_delta_l1,13,validation_best_f1,0.04263219452475683,3.497612714767456,21192,120000,0.6106966038349781,0.2668335647938965,0.35748385285032297,14244,13206311,0.7380779823162777,0.35748385285032297,0.48167242113228964,0.0001368285208488578,0.6425161471496771,5092,1807,13204504,9152
multiseed_feature_removal,ctt_test04,2024,without_can_id,dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,15,validation_best_f1,0.04263219452475683,4.434032678604126,21192,120000,0.6106966038349781,0.2668335647938965,0.35748385285032297,14244,13206311,0.7380779823162777,0.35748385285032297,0.48167242113228964,0.0001368285208488578,0.6425161471496771,5092,1807,13204504,9152
multiseed_feature_removal,ctt_test04,2024,without_payload_bytes,can_id|dlc|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,8,validation_best_f1,0.04004553179591724,3.3913347721099854,21192,120000,0.5967946787051255,0.26281342809911884,0.34358326312833476,14244,13206311,0.7298556124825337,0.33003369839932606,0.4545322697606961,0.0001317551888638697,0.6699663016006739,4701,1740,13204571,9543
