dataset,model,granularity,threshold_type,fpr_budget,recall_at_fpr,precision_at_fpr,f1_at_fpr,actual_fpr,aupr,auroc,source
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,best_test_upper_bound,0.0005,0.0612244897959183,0.1111111111111111,0.0789473684210526,0.0004804708614442,,,final_grain_can_e1_low_fpr
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,best_test_upper_bound,0.001,0.2244897959183673,0.1833333333333333,0.2018348623853211,0.0009809613421152,,,final_grain_can_e1_low_fpr
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,best_test_upper_bound,0.005,0.3265306122448979,0.060377358490566,0.1019108280254777,0.0049848851874837,,,final_grain_can_e1_low_fpr
"0        ctt_test04
1        ctt_test04
2        ctt_test04
3        ctt_test04
4        ctt_test04
            ...    
49995    ctt_test04
49996    ctt_test04
49997    ctt_test04
49998    ctt_test04
49999    ctt_test04
Name: dataset, Length: 50000, dtype: str",RandomForest,unknown,best_test_upper_bound,0.01,0.3469387755102041,0.0329457364341085,0.0601769911504424,0.0099897899941943,,,final_grain_can_e1_low_fpr
ctt_test01,predict_all_normal,none,formal_trivial,0.0001,0.0,0.0,0.0,0.0,0.0068988940321512,,derived_trivial_baseline
ctt_test01,predict_all_normal,none,formal_trivial,0.0005,0.0,0.0,0.0,0.0,0.0068988940321512,,derived_trivial_baseline
ctt_test01,predict_all_normal,none,formal_trivial,0.001,0.0,0.0,0.0,0.0,0.0068988940321512,,derived_trivial_baseline
ctt_test01,predict_all_normal,none,formal_trivial,0.005,0.0,0.0,0.0,0.0,0.0068988940321512,,derived_trivial_baseline
ctt_test01,predict_all_normal,none,formal_trivial,0.01,0.0,0.0,0.0,0.0,0.0068988940321512,,derived_trivial_baseline
ctt_test02,predict_all_normal,none,formal_trivial,0.0001,0.0,0.0,0.0,0.0,0.012497707013081102,,derived_trivial_baseline
