dataset,Model,model,precision,recall,f1,macro_f1,auroc,aupr,fpr,fnr,recall_at_fpr_1em04,recall_at_fpr_5em04,recall_at_fpr_1em03,exceeds_transformer_f1,exceeds_old_cmf_f1,exceeds_old_cmf_aupr,selection_metric,source
road,Transformer,transformer,0.9989669421487604,0.7068713450292398,0.8279109589041096,0.9102389696430576,0.9335419178297376,0.7794058319471616,3.725574204124211e-05,0.2931286549707602,0.7068713450292398,0.7083333333333334,0.7090643274853801,False,True,False,,road_main_20ep.csv
road,CMF-CAN,cmf_can,1.0,0.652046783625731,0.7893805309734513,0.8902957973466197,0.943067350483829,0.805957074624345,0.0,0.347953216374269,0.6827485380116959,0.7076023391812866,0.7083333333333334,False,False,False,,road_main_20ep.csv
road,CAN-Transformer+ same-ID,can_transformer_plus_sameid,0.9989561586638832,0.6995614035087719,0.822871883061049,0.9076276853790816,0.939066654335234,0.8078131371418161,3.725574204124211e-05,0.300438596491228,0.7013888888888888,0.706140350877193,0.7083333333333334,False,True,True,f1,transformer_rescue_raw.csv
road,TFS-CAN gate,tfscan_gate,0.9989281886387996,0.6812865497076024,0.8100825727944372,0.9010038127285688,0.9249443996177256,0.7840375461116382,3.725574204124211e-05,0.3187134502923976,0.6860380116959064,0.7090643274853801,0.7112573099415205,False,True,False,f1,transformer_rescue_raw.csv
