dataset,feature_protocol,model,negative_protocol,seed,source,auroc,aupr,threshold,accuracy,binary_f1_attack_positive,binary_precision_attack_positive,binary_recall_attack_positive,binary_f1_normal_positive,binary_precision_normal_positive,binary_recall_normal_positive,macro_f1,weighted_f1,micro_f1,balanced_accuracy,mcc,confusion_matrix_tn_fp_fn_tp,num_positive,num_negative,positive_rate
ctt_test04,SAFE_CAN,RandomForest,A_capped,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.6790209897251585,0.0458748506937329,0.0666666666666666,0.9884914816359828,0.05706600891191609,0.031295670674923524,0.3232238135355237,0.9942104098162566,0.9992626272407833,0.9892090228679303,0.5256382093640863,0.9932007181016136,0.9884914816359828,0.656216418201727,0.09771087807130807,"13063802,142509,9640,4604",14244,13206311,0.0010774131645759199
ctt_test04,SAFE_CAN,ExtraTrees,A_capped,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.5378220029791998,0.0332663341223521,0.0998109304875124,0.9914642010112285,0.015356694122574505,0.008768084173608174,0.061780398764392,0.9957135209227569,0.9989814172674772,0.9924669349373948,0.5055351075226657,0.9946572715715805,0.9914642010112285,0.5271236668508934,0.02050340924570937,"13106827,99484,13364,880",14244,13206311,0.0010774131645759199
ctt_test04,SAFE_CAN,IsolationForest,A_capped,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.7940719037595616,0.1645497872201949,-0.114092717602974,0.01611467899796945,0.002185333259486539,0.001093861856090969,1.0,0.029660475794607313,1.0,0.015053484655934575,0.015922904527046925,0.029630873714341373,0.01611467899796945,0.5075267423279672,0.004057885245590062,"198801,13007510,0,14244",14244,13206311,0.0010774131645759199
ctt_test04,SAFE_CAN,BIRCH,A_capped,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.7832661576425786,0.3197762726081165,1.2292927503585815,0.18857687895856112,0.0024851708961809303,0.0012442334440042806,0.938149396237012,0.31615231033242985,0.9996448452779136,0.18776840860403787,0.1593187406143054,0.3158143612271064,0.18857687895856112,0.5629589024205249,0.010580682444662386,"2479728,10726583,881,13363",14244,13206311,0.0010774131645759199
ctt_test04,SAFE_CAN,LinearSVM,A_capped,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.2937491357379974,0.0076714778793781,-0.2227479517459869,0.9970641928421311,0.02653557723658847,0.020642291333359923,0.0371384442572311,0.9985298796014839,0.9989605854613227,0.998099544982698,0.5125327284190362,0.9974826401442232,0.9970641928421311,0.5176189946199645,0.026282426858315132,"13181213,25098,13715,529",14244,13206311,0.0010774131645759199
ctt_test04,P1_public_default,MLP,B_2x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.3387758446646207,0.0070505235204283,0.0001025274032144,0.8646745919516995,0.0017319679206508718,0.0008729218189395913,0.1089581578208368,0.9274176577813988,0.9988908132736757,0.8654896889827901,0.46457481285102487,0.9264203118328834,0.8646745919516995,0.4872239234018135,-0.0024570464196718086,"11429926,1776385,12692,1552",14244,13206311,0.0010774131645759199
ctt_test04,P1_public_default,GradientBoosting,B_2x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.5952780761074237,0.0203805344092604,0.1692521042693135,0.9768663267162384,0.006884010910507873,0.003608928352558262,0.074417298511654,0.9882968566743772,0.998980106428184,0.977839685889572,0.4975904337924425,0.9872394695544673,0.9768663267162384,0.526128492200613,0.01163164434426542,"12913655,292656,13184,1060",14244,13206311,0.0010774131645759199
ctt_test04,P1_public_default,HistGradientBoosting,B_2x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.5592720790099024,0.0030840756177576,4.993595120518963e-05,0.9908395676278342,0.018653571891611737,0.010543769008098017,0.0808059533838809,0.9953983064326818,0.9990014026734463,0.9918211073478431,0.5070259391621468,0.9943459487972571,0.9908395676278342,0.536313530365862,0.026329408717444696,"13098298,108013,13093,1151",14244,13206311,0.0010774131645759199
ctt_test04,SAFE_CAN,MLP,B_2x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.4635374868733956,0.0018608150549244,0.0834882706403732,0.9795321754646458,0.008130081300813009,0.004288973972231891,0.0778573434428531,0.9896593954761136,0.9989866521215693,0.980504699609149,0.4988947383884633,0.988601882871604,0.9795321754646458,0.529181021526001,0.013826504659844044,"12948850,257461,13135,1109",14244,13206311,0.0010774131645759199
ctt_test04,SAFE_CAN,GradientBoosting,B_2x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.6103406466955011,0.2636050023882967,0.0419307558810394,0.9991711391843988,0.48120443139855523,0.7388775806921252,0.3567818028643639,0.99958523826733,0.9993066275193498,0.9998640044142532,0.7403948348329427,0.9990267279617462,0.9991711391843988,0.6783229036393086,0.5130987262290838,"13204515,1796,9162,5082",14244,13206311,0.0010774131645759199
ctt_test04,SAFE_CAN,HistGradientBoosting,B_2x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.4596299691250783,0.1361093258730779,4.993766476315787e-05,0.9989703911825186,0.30903553299493847,0.5579178885631457,0.2137040157259196,0.9994848117492595,0.9991524845935699,0.9998173600485406,0.654260172372099,0.9987409126068577,0.9989703911825186,0.6067606878872301,0.34488611523170043,"13203899,2412,11200,3044",14244,13206311,0.0010774131645759199
ctt_test04,P1_public_default,MLP,C_5x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.3374249249654105,0.0053827669483255,3.811961590827195e-08,0.866665506856558,0.001683158447960275,0.0008484233941046565,0.1043246279135074,0.9285621596455933,0.9988876169656635,0.8674877488497735,0.4651226590467768,0.927563528007734,0.866665506856558,0.48590618838164046,-0.002727708725020554,"11456313,1749998,12758,1486",14244,13206311,0.0010774131645759199
ctt_test04,P1_public_default,GradientBoosting,C_5x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.621941588366822,0.0272541844389865,0.0660236334263799,0.9629626744111726,0.004343317269566277,0.0022364337676370437,0.0749789385004212,0.9811303725877981,0.9989660212905759,0.9639204316784604,0.4927368449286822,0.9800779693554108,0.9629626744111726,0.5194496850894408,0.00683920641835681,"12729833,476478,13176,1068",14244,13206311,0.0010774131645759199
ctt_test04,P1_public_default,HistGradientBoosting,C_5x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.532501168768056,0.0118937084381227,2.205712473675685e-05,0.9911695083905329,0.019320587345855476,0.010973282442748197,0.080735748385285,0.9955647858340604,0.9990016586921607,0.9921514796978507,0.507442686589958,0.9945129674827684,0.9911695083905329,0.5364436140415678,0.02696378700435003,"13102661,103650,13094,1150",14244,13206311,0.0010774131645759199
ctt_test04,SAFE_CAN,MLP,C_5x_negative_cap,42.0,public_protocol_reproduction_confusion_reconstructed_from_recall_fpr_counts,0.363865221443542,0.001586420274712,4.961219019605778e-05,0.9648800674404365,0.0036180956284563477,0.0018660887620725783,0.0591828138163437,0.982125009706404,0.9989504893487317,0.9658569300692676,0.4928715526674302,0.9810707534755481,0.9648800674404365,0.5125198719428057,0.0045218256000353774,"12755407,450904,13401,843",14244,13206311,0.0010774131645759199
