baseline,accuracy,binary_f1_attack_positive,binary_precision_attack_positive,binary_recall_attack_positive,binary_f1_normal_positive,binary_precision_normal_positive,binary_recall_normal_positive,macro_f1,weighted_f1,micro_f1,balanced_accuracy,mcc,confusion_matrix_tn_fp_fn_tp,num_positive,num_negative,positive_rate
predict_all_normal,0.9989225868354241,0.0,0.0,0.0,0.9994610030565108,0.9989225868354241,1.0,0.4997305015282554,0.9983841706143375,0.9989225868354241,0.5,,"13206311,0,14244,0",14244,13206311,0.0010774131645759199
predict_all_attack,0.0010774131645759199,0.002152507189568954,0.0010774131645759199,1.0,0.0,0.0,0.0,0.001076253594784477,2.319139582885906e-06,0.0010774131645759199,0.5,,"0,13206311,0,14244",14244,13206311,0.0010774131645759199
random_by_base_rate_expected,0.9978474953091026,0.0010774131645759199,0.0010774131645759199,0.0010774131645759199,0.9989225868354241,0.9989225868354241,0.9989225868354241,0.5,0.9978474953091026,0.9978474953091026,0.5,0.0,"13192082,14229,14229,15",14244,13206311,0.0010774131645759199
random_1_percent_attack_expected,0.9889441350987155,0.0019452432595388647,0.0010774131645759197,0.01,0.9944412794271318,0.998922586835424,0.99,0.4981932613433353,0.9933719511319753,0.9889441350987155,0.5,0.0,"13074248,132063,14102,142",14244,13206311,0.0010774131645759197
