model,local_model,feature_protocol,negative_protocol,seed,reported_f1,reported_precision,reported_recall,status,abs_diff_reported_f1_vs_attack_f1,abs_diff_reported_f1_vs_normal_f1,abs_diff_reported_f1_vs_macro_f1,abs_diff_reported_f1_vs_weighted_f1,abs_diff_reported_f1_vs_accuracy,abs_diff_reported_precision_vs_attack_precision,abs_diff_reported_precision_vs_normal_precision,abs_diff_reported_recall_vs_attack_recall,abs_diff_reported_recall_vs_normal_recall,abs_diff_reported_recall_vs_accuracy,best_f1_hypothesis,best_f1_hypothesis_abs_diff
BIRCH,BIRCH,SAFE_CAN,A_capped,42.0,0.9984,0.9979,0.999,matched_when_reported_target_available,0.995914829103819,0.6822476896675701,0.8390812593856946,0.6825856387728936,0.8098231210414388,0.9966557665559957,0.0017448452779136314,0.06085060376298801,0.8112315913959621,0.8104231210414389,normal_f1,0.6822476896675701
BIRCH,BIRCH,P1_public_default,A_capped,42.0,0.9984,0.9979,0.999,matched_when_reported_target_available,0.9961280627442776,0.7191926641984259,0.8576603634713518,0.7194910380425563,0.8353466334809696,0.9967625704697545,0.001332528125093213,0.11455742768885147,0.8367247060136627,0.8359466334809695,normal_f1,0.7191926641984259
GradientBoosting,GradientBoosting,P1_public_default,B_2x_negative_cap,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.9913159890894921,0.00990314332562281,0.5006095662075575,0.01096053044553269,0.021333673283761567,0.9943910716474418,0.0009801064281840244,0.9239827014883459,0.020560314110427913,0.021533673283761545,normal_f1,0.00990314332562281
GradientBoosting,GradientBoosting,SAFE_CAN,B_2x_negative_cap,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.5169955686014447,0.0013852382673300578,0.2578051651670573,0.0008267279617462098,0.0009711391843988393,0.25912241930787483,0.0013066275193498456,0.6416181971356361,0.001464004414253206,0.0007711391843988613,weighted_f1,0.0008267279617462098
GradientBoosting,GradientBoosting,P1_public_default,C_5x_negative_cap,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.9938566827304337,0.01706962741220186,0.5054631550713178,0.01812203064458917,0.03523732558882742,0.995763566232363,0.0009660212905758803,0.9234210614995788,0.03447956832153953,0.035437325588827395,normal_f1,0.01706962741220186
GradientBoosting,GradientBoosting,SAFE_CAN,C_5x_negative_cap,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.5185757293989036,0.0013848225916162082,0.25859545340364365,0.0008246102478415285,0.0009703071467122015,0.2584242867592119,0.0013045864449980904,0.6435137320977253,0.0014652159562199563,0.0007703071467122236,weighted_f1,0.0008246102478415285
GradientBoosting,GradientBoosting,P1_public_default,A_capped,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.9942740673173401,0.019286735545105738,0.5067804014312229,0.020337199731651823,0.039499173900036655,0.9959846639670653,0.0009620584600393833,0.9228594215108116,0.0387466191277791,0.03969917390003663,normal_f1,0.019286735545105738
GradientBoosting,GradientBoosting,P3_no_subdivision,A_capped,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.9930820465442265,0.047798082708602974,0.5204400646264147,0.04881654409550207,0.09268574587072931,0.9954116596956827,0.0010791553272379018,0.7728313395113733,0.09215237339178206,0.09288574587072929,normal_f1,0.047798082708602974
GradientBoosting,GradientBoosting,P5_arbitration_payload_only,A_capped,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.9919067809287672,0.03785792674981836,0.5148823538392928,0.03888583154495939,0.0744719114288317,0.9948085925123363,0.0010956669920334505,0.7742354394832911,0.07391737953164945,0.07467191142883167,normal_f1,0.03785792674981836
GradientBoosting,GradientBoosting,P7_public_plus_delta,A_capped,42.0,0.9982,0.998,0.9984,matched_when_reported_target_available,0.8022797772600643,0.0012644542127652203,0.40050766152364947,0.0003987050794572733,0.0007296213358667369,0.48414008941867637,0.001052749447689405,0.8773665824206683,0.001476498440783347,0.000529621335866759,weighted_f1,0.0003987050794572733
