Setting,Pipeline,P,R,F1,AUPR
Test01,GRAIN-W100,0.9988412514484356,0.8918779099844801,0.9423339710303362,0.8959658008443454
Test01,Raw-Trans,1.0,0.9306777030522504,0.9640943193997856,0.98438087210754
Test02,GRAIN-W100,0.9836034677723332,0.9306348074179744,0.956386292834891,0.9353957929975344
Test02,Raw-Trans,0.0869794493989918,1.0,0.160038811123953,0.0488543960236108
Test03,GRAIN-W100,0.9995979899497488,0.6622719403382608,0.7966997757129125,0.9249902867151728
Test03,Raw-Trans,1.0,0.0133173525103209,0.0262846628991983,0.2707812715770379
Test04,GRAIN-W100,0.9364508393285372,0.518936877076412,0.6678067550235144,0.784533638387578
Test04,Raw-Trans,0.0113239146634707,0.9794019933554816,0.022388966522875,0.1732558303780162
