Variant,P,R,F1,FNR,FPR,AUPR,R@1e-3
Timing only,0.7708333333333334,0.4909435551811289,0.5998455995882657,0.5090564448188711,0.0001574247342804,0.424568166255144,0.4909435551811289
w/o CAN ID,0.7395056311247623,0.3549564729008705,0.4796736397704094,0.6450435270991295,0.0001348597651531,0.26492912549793,0.3549564729008705
Full safe features,0.7402730876523271,0.3539736029205279,0.4789361196865352,0.6460263970794721,0.0001339511086782,0.2546597071133626,0.3549564729008705
w/o payload stats,0.7402730876523271,0.3539736029205279,0.4789361196865352,0.6460263970794721,0.0001339511086782,0.2546597071133626,0.3549564729008705
w/o payload delta,0.7402730876523271,0.3539736029205279,0.4789361196865352,0.6460263970794721,0.0001339511086782,0.2546597071133626,0.3549564729008705
w/o same-ID timing,0.0048026518341898,0.248595900028082,0.0094232547618572,0.751404099971918,0.0555613145866396,0.0569999541618432,0.0668351586632968
