dataset,model,event_recall,events,mean_detection_delay_windows,median_detection_delay_windows,false_alarm_windows,false_alarm_windows_per_100k,note
ctt_test02,window100_transformer,1.0,593,0.0,0.0,58867,91302.05506010081,contiguous positive windows; no official event boundary files
ctt_test04,window100_transformer,1.0,463,0.0021598272138228943,0.0,128693,97347.20121028744,contiguous positive windows; no official event boundary files
road,window100_transformer,0.16417910447761194,67,0.0,0.0,2,3.544905085166345,contiguous positive windows; no official event boundary files
road,can_transformer_plus_sameid,0.16417910447761194,67,0.0,0.0,2,3.544905085166345,contiguous positive windows; no official event boundary files
