granularity,feature,single_feature_auc,tree_feature_importance,effect_size,mutual_information,permutation_importance,train_test_shift,feature_missing_rate,aggregation_distortion,leakage_risk
sample,delta_t_same_id,0.9932036758916504,0.4802099169949528,-0.6006707549095154,,,,0.0,low,past-only/audited
sample,payload_delta_l1,0.7604557717844762,0.0393615476801978,-0.0455827750265598,,,,0.0,low,past-only/audited
sample,payload_sum,0.928570626946354,0.0751687926621771,-1.537981390953064,,,,0.0,low,low
sample,payload_std,0.9307254409777308,0.0282807619344803,-1.9772052764892576,,,,0.0,low,low
sample,can_id,0.9369316575591986,0.0244556306422893,-1.3957394361495972,,,,0.0,low,low
sample,dlc,0.6816079887184912,0.0571327921091742,0.8889108300209045,,,,0.0,low,low
sample,data0,0.832043579528762,0.0029664017181123,-0.8632828593254089,,,,0.0,low,low
sample,data1,0.8545622433750514,0.0405902317958671,-1.2628430128097534,,,,0.0,low,low
sample,data2,0.7982992279217345,0.0203966347991657,-0.9474095106124878,,,,0.0,low,low
sample,data3,0.8269086080263235,0.1034872612899025,-1.2199299335479736,,,,0.0,low,low
sample,data4,0.6914309195604912,0.0177080636390532,-0.5655823349952698,,,,0.0,low,low
sample,data5,0.6950811598801341,0.0032374241605733,-0.8661025166511536,,,,0.0,low,low
sample,data6,0.7157865515012634,0.0175034804346304,-0.8134725689888,,,,0.0,low,low
sample,data7,0.7093,0.0039292725784086,-0.7345088124275208,,,,0.0,low,low
short_window,delta_t_same_id,0.9932036758916504,0.4802099169949528,-0.6006707549095154,,,,0.0,low,past-only/audited
short_window,payload_delta_l1,0.7604557717844762,0.0393615476801978,-0.0455827750265598,,,,0.0,low,past-only/audited
short_window,payload_sum,0.928570626946354,0.0751687926621771,-1.537981390953064,,,,0.0,low,low
short_window,payload_std,0.9307254409777308,0.0282807619344803,-1.9772052764892576,,,,0.0,low,low
short_window,can_id,0.9369316575591986,0.0244556306422893,-1.3957394361495972,,,,0.0,low,low
short_window,dlc,0.6816079887184912,0.0571327921091742,0.8889108300209045,,,,0.0,low,low
short_window,data0,0.832043579528762,0.0029664017181123,-0.8632828593254089,,,,0.0,low,low
short_window,data1,0.8545622433750514,0.0405902317958671,-1.2628430128097534,,,,0.0,low,low
short_window,data2,0.7982992279217345,0.0203966347991657,-0.9474095106124878,,,,0.0,low,low
short_window,data3,0.8269086080263235,0.1034872612899025,-1.2199299335479736,,,,0.0,low,low
short_window,data4,0.6914309195604912,0.0177080636390532,-0.5655823349952698,,,,0.0,low,low
short_window,data5,0.6950811598801341,0.0032374241605733,-0.8661025166511536,,,,0.0,low,low
short_window,data6,0.7157865515012634,0.0175034804346304,-0.8134725689888,,,,0.0,low,low
short_window,data7,0.7093,0.0039292725784086,-0.7345088124275208,,,,0.0,low,low
aggregate_window,delta_t_same_id,0.9932036758916504,0.4802099169949528,-0.6006707549095154,,,,0.0,low,past-only/audited
aggregate_window,payload_delta_l1,0.7604557717844762,0.0393615476801978,-0.0455827750265598,,,,0.0,low,past-only/audited
aggregate_window,payload_sum,0.928570626946354,0.0751687926621771,-1.537981390953064,,,,0.0,low,low
aggregate_window,payload_std,0.9307254409777308,0.0282807619344803,-1.9772052764892576,,,,0.0,low,low
aggregate_window,can_id,0.9369316575591986,0.0244556306422893,-1.3957394361495972,,,,0.0,low,low
aggregate_window,dlc,0.6816079887184912,0.0571327921091742,0.8889108300209045,,,,0.0,low,low
aggregate_window,data0,0.832043579528762,0.0029664017181123,-0.8632828593254089,,,,0.0,low,low
aggregate_window,data1,0.8545622433750514,0.0405902317958671,-1.2628430128097534,,,,0.0,low,low
aggregate_window,data2,0.7982992279217345,0.0203966347991657,-0.9474095106124878,,,,0.0,low,low
aggregate_window,data3,0.8269086080263235,0.1034872612899025,-1.2199299335479736,,,,0.0,low,low
aggregate_window,data4,0.6914309195604912,0.0177080636390532,-0.5655823349952698,,,,0.0,low,low
aggregate_window,data5,0.6950811598801341,0.0032374241605733,-0.8661025166511536,,,,0.0,low,low
aggregate_window,data6,0.7157865515012634,0.0175034804346304,-0.8134725689888,,,,0.0,low,low
aggregate_window,data7,0.7093,0.0039292725784086,-0.7345088124275208,,,,0.0,low,low
old_window100_deep,delta_t_same_id,0.9932036758916504,0.4802099169949528,-0.6006707549095154,,,,0.0,high,past-only/audited
old_window100_deep,payload_delta_l1,0.7604557717844762,0.0393615476801978,-0.0455827750265598,,,,0.0,high,past-only/audited
old_window100_deep,payload_sum,0.928570626946354,0.0751687926621771,-1.537981390953064,,,,0.0,high,low
old_window100_deep,payload_std,0.9307254409777308,0.0282807619344803,-1.9772052764892576,,,,0.0,high,low
old_window100_deep,can_id,0.9369316575591986,0.0244556306422893,-1.3957394361495972,,,,0.0,high,low
old_window100_deep,dlc,0.6816079887184912,0.0571327921091742,0.8889108300209045,,,,0.0,high,low
old_window100_deep,data0,0.832043579528762,0.0029664017181123,-0.8632828593254089,,,,0.0,high,low
