dataset,policy,alpha_supervised,threshold,precision,recall,f1,auroc,aupr,fpr,fnr,recall_at_fpr_1em04,recall_at_fpr_5em04,recall_at_fpr_1em03
ctt_test03,supervised_only,,0.0490788711594229,0.8084413334257399,0.5601440576230492,0.6617688772905203,0.7283831430615649,0.5208897577478726,0.0003208562357434,0.4398559423769508,0.4432172869147659,0.5601440576230492,0.5601440576230492
ctt_test03,normality_only,,0.0894260630011558,0.0024197893569007,1.0,0.0048278962219074,0.3296824206754365,0.0017198857243841,0.9966156864338408,0.0,0.0,0.0,0.0
ctt_test03,max_supervised_normality,,0.5245394355797115,0.0025097798735998,0.999951980792317,0.0050069926942484,0.335566060541078,0.0019191627056252,0.9607482776033291,4.801920768307323e-05,0.0,0.0,0.0
ctt_test03,val_selected_alpha_mix,0.5,0.5245394355797115,0.8099007151287926,0.5601440576230492,0.6622572953332577,0.7393705185507389,0.4705454650830859,0.0003178380511814,0.4398559423769508,0.3786794717887154,0.5601440576230492,0.5601440576230492
ctt_test04,supervised_only,,0.0490788711594229,0.6336088154269972,0.2260600954787981,0.3332298458035806,0.4811709764720543,0.1419788211430613,0.0001409931963589,0.7739399045212019,0.1176635776467284,0.2266919404661612,0.2266919404661612
ctt_test04,normality_only,,0.0894260630011558,0.0010915918353496,0.993681550126369,0.0021807880034164,0.5281394368773321,0.0011423592979935,0.9807607135709586,0.006318449873631,0.0,0.0,0.0
ctt_test04,max_supervised_normality,,0.5245394355797115,0.001146133904189,0.9885565852288682,0.0022896132275611,0.5282572344758764,0.001142502649979,0.9292200524431083,0.0114434147711317,0.0,0.0,0.0
ctt_test04,val_selected_alpha_mix,0.5,0.5245394355797115,0.6398566593669122,0.2256388654872227,0.3336274458919396,0.5118374431831779,0.1441619487184523,0.0001369799635946,0.7743611345127773,0.1199101376017972,0.2262707104745858,0.2262707104745858
