dataset,model,granularity,window_size,f1,auroc,aupr,mean_attack_ratio,precision,recall,fpr,fnr,candidate,policy,alpha_supervised,threshold,recall_at_fpr_1em04,recall_at_fpr_5em04,recall_at_fpr_1em03,seed,label_ratio,epochs,aux_loss_weight,accuracy,macro_f1,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,source,scope,Model,exceeds_transformer_f1,exceeds_old_cmf_f1,exceeds_old_cmf_aupr,selection_metric,metric,mean,std,n,seeds
ctt_test04,GradientBoosting,sample,1.0,0.3883776726495897,0.5925827110506519,0.2422355206604559,,,,,,GradientBoosting:sample,,,,,,,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,GradientBoosting,window_5,5.0,0.5168307289874028,0.7874765482740954,0.5140487763254977,0.2784478545596716,0.8738361266294227,0.3669240543446388,0.00020578053468,0.6330759456553612,GradientBoosting:window_5,,,,,,,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,GradientBoosting,window_10,10.0,0.6001249888402821,0.8452561599829853,0.6184722776882597,0.1919417868211831,0.8891534391534391,0.4529039213044064,0.0003187210992607,0.5470960786955936,GradientBoosting:window_10,,,,,,,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,GradientBoosting,window_20,20.0,0.641630351192002,0.8947361684329831,0.7227739499342077,0.1383987563155849,0.942394578313253,0.486397201710066,0.0002332758021333,0.5136027982899339,GradientBoosting:window_20,,,,,,,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,GradientBoosting,window_50,50.0,0.6274193548387097,0.920239716922698,0.8235315589679248,0.1120251671254423,0.9915038232795242,0.4589068029885961,3.8187907417237256e-05,0.5410931970114039,GradientBoosting:window_50,,,,,,,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,GradientBoosting,window_100,100.0,0.6678067550235144,0.9024154739312792,0.784533638387578,0.0946445182724252,0.9364508393285372,0.518936877076412,0.0004055243123302,0.481063122923588,GradientBoosting:window_100,,,,,,,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,supervised_only,normality,,0.3332298458035806,0.4811709764720543,0.1419788211430613,,0.6336088154269972,0.2260600954787981,0.0001409931963589,0.7739399045212019,normality:supervised_only,supervised_only,,0.0490788711594229,0.1176635776467284,0.2266919404661612,0.2266919404661612,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,normality_only,normality,,0.0021807880034164,0.5281394368773321,0.0011423592979935,,0.0010915918353496,0.993681550126369,0.9807607135709586,0.006318449873631,normality:normality_only,normality_only,,0.0894260630011558,0.0,0.0,0.0,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,max_supervised_normality,normality,,0.0022896132275611,0.5282572344758764,0.001142502649979,,0.001146133904189,0.9885565852288682,0.9292200524431083,0.0114434147711317,normality:max_supervised_normality,max_supervised_normality,,0.5245394355797115,0.0,0.0,0.0,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,val_selected_alpha_mix,normality,,0.3336274458919396,0.5118374431831779,0.1441619487184523,,0.6398566593669122,0.2256388654872227,0.0001369799635946,0.7743611345127773,normality:val_selected_alpha_mix,val_selected_alpha_mix,0.5,0.5245394355797115,0.1199101376017972,0.2262707104745858,0.2262707104745858,,,,,,,,,,,,,,,,test04,,,,,,,,,,,
ctt_test04,transformer,old_window100_deep,,0.022388966522875,0.6453118473827439,0.1732558303780162,,0.0113239146634707,0.9794019933554816,0.9846818929568844,0.0205980066445182,old:transformer,,,0.6055499100688475,0.0,0.0584717607973421,0.0584717607973421,42.0,1.0,15.0,0.2,0.0262934947049924,0.0262779622560731,0.0,0.0,1.000000000001,0.1090458488228004,0.0001606794445082,0.9999998807907104,0.1090458488228004,0.0001606794445082,0.9999998807907104,test04,,,,,,,,,,,
ctt_test04,concat_fusion,old_window100_deep,,0.0238196217596399,0.7110974843282889,0.2231220253826226,,0.0120669999123037,0.9142857142857144,0.861961054363212,0.0857142857142857,old:concat_fusion,,,2.8958961138414665e-06,0.1023255813953488,0.1242524916943521,0.1654485049833887,42.0,1.0,15.0,0.2,0.146875945537065,0.133100151120978,0.1842105263157894,9.946822755269905e-05,0.1966325044631958,0.2135922330097087,0.0004514327250468,0.0280220843851566,0.2643312101910828,0.0009946822755269,0.0009583296487107,test04,,,,,,,,,,,
ctt_test04,cmf_can,old_window100_deep,,0.028243239786129,0.6845533646532422,0.1655882870835184,,0.0143988105330429,0.7335548172757476,0.5782088067638395,0.2664451827242525,old:cmf_can,,,5.481837160914888e-07,0.0033222591362126,0.015282392026578,0.1275747508305647,42.0,1.0,15.0,0.2,0.425340393343419,0.3101446461735255,0.0065832784726793,6.886261907494549e-05,0.0037202006205916,0.029040404040404,0.0004284785186885,0.0007515341276302,0.2104109589041095,0.0009793794712881,6.809673323004972e-06,test04,,,,,,,,,,,
