dataset,model,granularity,fpr_budget,threshold_type,recall_at_fpr,precision_at_fpr,f1_at_fpr,actual_fpr,threshold,num_positive,num_negative
ctt_test01,GradientBoosting,aggregate_window,0.0001,best_test_upper_bound,0.8918779099844801,0.9971081550028918,0.9415619879847078,9.076222113307556e-05,0.0805051088355135,1933,55089
ctt_test01,GradientBoosting,aggregate_window,0.0005,best_test_upper_bound,0.892395240558717,0.9845890410958904,0.9362279511533242,0.000490115994118608,0.0182252781666405,1933,55089
ctt_test01,GradientBoosting,aggregate_window,0.001,best_test_upper_bound,0.892395240558717,0.9691011235955056,0.9291677888499865,0.0009983844324638312,0.0005393937887791,1933,55089
ctt_test01,GradientBoosting,aggregate_window,0.005,best_test_upper_bound,0.892912571132954,0.862568715642179,0.8774783934926284,0.004991922162319157,0.0004456066907963,1933,55089
ctt_test01,GradientBoosting,aggregate_window,0.01,best_test_upper_bound,0.892912571132954,0.7583479789103691,0.8201473033974815,0.009983844324638313,0.0004456066907963,1933,55089
ctt_test02,GradientBoosting,aggregate_window,0.0001,best_test_upper_bound,0.6469329529243937,0.9986237269474264,0.7851964073152256,8.493723138600574e-05,0.9962897649649604,5608,58867
ctt_test02,GradientBoosting,aggregate_window,0.0005,best_test_upper_bound,0.9300998573466477,0.9944709246901812,0.9612088823366812,0.0004926359420388333,0.2406095499163714,5608,58867
ctt_test02,GradientBoosting,aggregate_window,0.001,best_test_upper_bound,0.9306348074179743,0.989008906575706,0.9589343132751493,0.0009852718840776666,0.2406095499163714,5608,58867
ctt_test02,GradientBoosting,aggregate_window,0.005,best_test_upper_bound,0.9306348074179743,0.9466715037184836,0.9385846596529089,0.004994309205497137,0.0004456066907963,5608,58867
ctt_test02,GradientBoosting,aggregate_window,0.01,best_test_upper_bound,0.9306348074179743,0.898742896504219,0.9144108628996933,0.009988618410994275,0.0004456066907963,5608,58867
ctt_test03,GradientBoosting,aggregate_window,0.0001,best_test_upper_bound,0.6739912105473432,0.9986187845303868,0.8048024171105987,8.878966995611254e-05,0.0765820521918866,7509,78838
ctt_test03,GradientBoosting,aggregate_window,0.0005,best_test_upper_bound,0.8208816087361832,0.9937127196517814,0.8990665110851809,0.0004946853040411984,0.0182252781666405,7509,78838
ctt_test03,GradientBoosting,aggregate_window,0.001,best_test_upper_bound,0.9218271407644161,0.9888571428571429,0.9541663794885933,0.0009893706080823968,0.0006527935223469,7509,78838
ctt_test03,GradientBoosting,aggregate_window,0.005,best_test_upper_bound,0.9302170728459183,0.9466052310611194,0.9383396023643203,0.00499758999467262,0.0004456066907963,7509,78838
ctt_test03,GradientBoosting,aggregate_window,0.01,best_test_upper_bound,0.9302170728459183,0.8986234401132124,0.9141473629106137,0.00999517998934524,0.0004456066907963,7509,78838
ctt_test04,GradientBoosting,aggregate_window,0.0001,best_test_upper_bound,0.4478405315614618,0.9810771470160117,0.614963503649635,9.946822755269903e-05,0.5034020356117962,1505,130695
ctt_test04,GradientBoosting,aggregate_window,0.0005,best_test_upper_bound,0.6245847176079734,0.9353233830845771,0.749003984063745,0.0004973411377634952,0.1463485960090879,1505,130695
ctt_test04,GradientBoosting,aggregate_window,0.001,best_test_upper_bound,0.8053156146179402,0.9031296572280179,0.8514225500526871,0.0009946822755269903,0.0006527935223469,1505,130695
ctt_test04,GradientBoosting,aggregate_window,0.005,best_test_upper_bound,0.8053156146179402,0.6498659517426274,0.7192878338278933,0.004996365583993267,0.0004456066907963,1505,130695
ctt_test04,GradientBoosting,aggregate_window,0.01,best_test_upper_bound,0.8053156146179402,0.4813343923749007,0.6025354213273677,0.009992731167986534,0.0004456066907963,1505,130695
