dataset,model,fpr_budget,recall_at_fpr,precision_at_fpr,f1_at_fpr,threshold_source
ctt_test03,normality_only,0.001,0.0,,,validation-selected alpha; score-derived budget
ctt_test03,max_supervised_normality,0.0001,0.0,,,validation-selected alpha; score-derived budget
ctt_test03,max_supervised_normality,0.0005,0.0,,,validation-selected alpha; score-derived budget
ctt_test03,max_supervised_normality,0.001,0.0,,,validation-selected alpha; score-derived budget
ctt_test03,val_selected_alpha_mix,0.0001,0.3786794717887154,,,validation-selected alpha; score-derived budget
ctt_test03,val_selected_alpha_mix,0.0005,0.5601440576230492,,,validation-selected alpha; score-derived budget
ctt_test03,val_selected_alpha_mix,0.001,0.5601440576230492,,,validation-selected alpha; score-derived budget
ctt_test04,supervised_only,0.0001,0.1176635776467284,,,validation-selected alpha; score-derived budget
ctt_test04,supervised_only,0.0005,0.2266919404661612,,,validation-selected alpha; score-derived budget
ctt_test04,supervised_only,0.001,0.2266919404661612,,,validation-selected alpha; score-derived budget
ctt_test04,normality_only,0.0001,0.0,,,validation-selected alpha; score-derived budget
ctt_test04,normality_only,0.0005,0.0,,,validation-selected alpha; score-derived budget
ctt_test04,normality_only,0.001,0.0,,,validation-selected alpha; score-derived budget
ctt_test04,max_supervised_normality,0.0001,0.0,,,validation-selected alpha; score-derived budget
ctt_test04,max_supervised_normality,0.0005,0.0,,,validation-selected alpha; score-derived budget
ctt_test04,max_supervised_normality,0.001,0.0,,,validation-selected alpha; score-derived budget
ctt_test04,val_selected_alpha_mix,0.0001,0.1199101376017972,,,validation-selected alpha; score-derived budget
ctt_test04,val_selected_alpha_mix,0.0005,0.2262707104745858,,,validation-selected alpha; score-derived budget
ctt_test04,val_selected_alpha_mix,0.001,0.2262707104745858,,,validation-selected alpha; score-derived budget
