dataset,model,seed,granularity,threshold,train_protocol,test_protocol,precision,recall,f1,auroc,aupr,fpr,fnr,negative_protocol,negative_cap_multiplier,fit_time,inference_time,recall_at_fpr_5em03,recall_at_fpr_1em02,num_train_pos,num_train_neg,num_test_pos,num_test_neg
ctt_test01,GradientBoosting,42,sample,0.0490788711594229,all positives + capped negative sampling,full official test folder,0.8425119827839186,0.4083280657395701,0.5500643966407306,0.4186910518013276,0.4027263997578778,0.0008564756117239,0.5916719342604299,A_capped_current,1,,,,,,,,
ctt_test01,RandomForest,42,sample,0.0571428571428571,all positives + capped negative sampling,full official test folder,0.9601947656725502,0.3739570164348925,0.5382769405743532,0.7117089660496765,0.4243284809122579,0.000173954984493,0.6260429835651075,A_capped_current,1,,,,,,,,
ctt_test01,MLP,42,sample,0.0543089136481285,all positives + capped negative sampling,full official test folder,0.2956405740040408,0.3607300884955752,0.3249580047262478,0.6920333968099216,0.3547960904806254,0.0096437735286972,0.6392699115044248,A_capped_current,1,,,,,,,,
ctt_test01,LogisticRegression,42,sample,0.4250350892543793,all positives + capped negative sampling,full official test folder,0.8597674418604652,0.3505372945638432,0.4980242478670857,0.6040325128389797,0.3562536298256484,0.0006415587501485,0.6494627054361568,A_capped_current,1,,,,,,,,
ctt_test01,GaussianNB,42,sample,1.5227641370074707e-10,all positives + capped negative sampling,full official test folder,0.977432403661912,0.3627528445006321,0.5291304097274246,0.6566695313151285,0.3619279314609325,9.398179590345764e-05,0.6372471554993678,A_capped_current,1,,,,,,,,
ctt_test01,IsolationForest,42,sample,-0.1138335343115918,all positives + capped negative sampling,full official test folder,0.0123644718067531,0.9877370417193426,0.0244232143230445,0.4527170655241112,0.0099759237475886,0.8853129505141514,0.0122629582806573,A_capped_current,1,,,,,,,,
ctt_test01,BIRCH,42,sample,1.2259972095489502,all positives + capped negative sampling,full official test folder,0.0214577921516902,0.9419563843236408,0.0419597402743675,0.701172470245911,0.017205925983006,0.4820140121537968,0.058043615676359,A_capped_current,1,,,,,,,,
ctt_test02,GradientBoosting,42,sample,0.0490788711594229,all positives + capped negative sampling,full official test folder,0.9362671146769068,0.998026399946396,0.9661608135321366,0.9980969031499822,0.9350078660430468,0.0017748955639546,0.0019736000536039,A_capped_current,1,,,,,,,,
ctt_test02,RandomForest,42,sample,0.0571428571428571,all positives + capped negative sampling,full official test folder,0.2563753965311251,0.0379065220172141,0.0660475482912332,0.9803320911357968,0.467157272852717,0.0028724885617664,0.9620934779827858,A_capped_current,1,,,,,,,,
ctt_test02,MLP,42,sample,0.0543089136481285,all positives + capped negative sampling,full official test folder,0.025584040740156,0.0384973837616573,0.0307395986342279,0.936119774065648,0.1751582707035869,0.0383065844440023,0.9615026162383428,A_capped_current,1,,,,,,,,
ctt_test02,LogisticRegression,42,sample,0.4250350892543793,all positives + capped negative sampling,full official test folder,0.2162048991555586,0.0377420553460805,0.0642655257357707,0.7220692102482857,0.0692298551297374,0.0035746170678336,0.9622579446539196,A_capped_current,1,,,,,,,,
ctt_test02,GaussianNB,42,sample,1.5227641370074707e-10,all positives + capped negative sampling,full official test folder,0.2814117647058823,0.0364263219770112,0.0645032548256093,0.5054301994215551,0.0590429298881514,0.0024300775810622,0.9635736780229888,A_capped_current,1,,,,,,,,
ctt_test02,IsolationForest,42,sample,-0.1138335343115918,all positives + capped negative sampling,full official test folder,0.0270065219759227,0.9998050765379156,0.0525924284654376,0.3743033430232863,0.0216844325644018,0.94107356276109,0.0001949234620843,A_capped_current,1,,,,,,,,
ctt_test02,BIRCH,42,sample,1.2259972095489502,all positives + capped negative sampling,full official test folder,0.0283267069253403,0.9991776666443316,0.0550915668242851,0.3774198652175461,0.0198417025377558,0.8954345733041575,0.0008223333556683,A_capped_current,1,,,,,,,,
ctt_test03,GradientBoosting,42,sample,0.0490788711594229,all positives + capped negative sampling,full official test folder,0.8084413334257399,0.5601440576230492,0.6617688772905203,0.7283831430615649,0.5208897577478726,0.0003208562357434,0.4398559423769508,A_capped_current,1,,,,,,,,
ctt_test03,RandomForest,42,sample,0.0571428571428571,all positives + capped negative sampling,full official test folder,0.8678492239467849,0.4698679471788715,0.6096573208722742,0.7893594826142125,0.5472636513168352,0.0001729651922061,0.5301320528211284,A_capped_current,1,,,,,,,,
ctt_test03,MLP,42,sample,0.0543089136481285,all positives + capped negative sampling,full official test folder,0.0791478812477974,0.3127490996398559,0.1263262020676144,0.7104457546383598,0.1681804590041537,0.0087963828218864,0.687250900360144,A_capped_current,1,,,,,,,,
ctt_test03,LogisticRegression,42,sample,0.4250350892543793,all positives + capped negative sampling,full official test folder,0.6638742730545555,0.4604561824729892,0.543763645127449,0.6907960583635622,0.430185947097477,0.00056358792494,0.5395438175270107,A_capped_current,1,,,,,,,,
ctt_test03,GaussianNB,42,sample,1.5227641370074707e-10,all positives + capped negative sampling,full official test folder,0.9004366812227074,0.396062424969988,0.5501417375354344,0.7027197325173298,0.3778508844605921,0.0001058686277127,0.603937575030012,A_capped_current,1,,,,,,,,
ctt_test03,IsolationForest,42,sample,-0.1138335343115918,all positives + capped negative sampling,full official test folder,0.0027186723114093,1.0,0.0054226023439703,0.6245242394690175,0.1070469731359129,0.8867848788953444,0.0,A_capped_current,1,,,,,,,,
ctt_test03,BIRCH,42,sample,1.2259972095489502,all positives + capped negative sampling,full official test folder,0.0045713736522385,0.9181752701080432,0.0090974532745074,0.8896968482526189,0.3200907690049571,0.4833330044286054,0.0818247298919567,A_capped_current,1,,,,,,,,
ctt_test04,GradientBoosting,42,sample,0.0490788711594229,all positives + capped negative sampling,full official test folder,0.6336088154269972,0.2260600954787981,0.3332298458035806,0.4811709764720543,0.1419788211430613,0.0001409931963589,0.7739399045212019,A_capped_current,1,,,,,,,,
ctt_test04,RandomForest,42,sample,0.0571428571428571,all positives + capped negative sampling,full official test folder,0.2290092035580235,0.3126930637461387,0.2643872614489656,0.6878662469146622,0.090360266559185,0.0011354419867894,0.6873069362538613,A_capped_current,1,,,,,,,,
ctt_test04,MLP,42,sample,0.0543089136481285,all positives + capped negative sampling,full official test folder,0.0032632362112541,0.0837545633249087,0.0062817245519071,0.4353845453358681,0.0014928229250575,0.0275924896816378,0.9162454366750912,A_capped_current,1,,,,,,,,
ctt_test04,LogisticRegression,42,sample,0.4250350892543793,all positives + capped negative sampling,full official test folder,0.013339613181604,0.0616399887672002,0.0219327279767183,0.3367693039666594,0.0191434378805345,0.0049174216781658,0.9383600112327998,A_capped_current,1,,,,,,,,
ctt_test04,GaussianNB,42,sample,1.5227641370074707e-10,all positives + capped negative sampling,full official test folder,0.010539698918391,0.0401572591968548,0.0166970736335109,0.5208076567774168,0.00167966138645,0.0040661620039085,0.9598427408031452,A_capped_current,1,,,,,,,,
ctt_test04,IsolationForest,42,sample,-0.1138335343115918,all positives + capped negative sampling,full official test folder,0.0011006196724603,0.9828699803426004,0.0021987771500879,0.7680212439096655,0.1382478183306528,0.9621238663847912,0.0171300196573996,A_capped_current,1,,,,,,,,
ctt_test04,BIRCH,42,sample,1.2259972095489502,all positives + capped negative sampling,full official test folder,0.0012554889106419,0.9435551811288964,0.002507641168863,0.7959119169472938,0.3227378744217656,0.8095790717029153,0.0564448188711036,A_capped_current,1,,,,,,,,
ctt_test01,GradientBoosting,2024,sample,0.0853243301812571,all positives + capped negative sampling,full official test folder,0.8888187892518138,0.979582806573957,0.9319962111530424,0.9892624839766844,0.9064886902578512,0.0013749714064819,0.0204171934260429,A_capped_current,1,,,,,,,,
ctt_test01,RandomForest,2024,sample,0.0139056260922905,all positives + capped negative sampling,full official test folder,0.9519547210607482,0.9462231352718078,0.949080274847637,0.972998774365674,0.9367011843054368,0.0005358735607929,0.0537768647281921,A_capped_current,1,,,,,,,,
ctt_test01,MLP,2024,sample,0.0192241501063108,all positives + capped negative sampling,full official test folder,0.1984205923207518,0.3656921618204804,0.2572565673184885,0.6574758888624318,0.3534535379789139,0.0165771475283674,0.6343078381795196,A_capped_current,1,,,,,,,,
ctt_test01,LogisticRegression,2024,sample,0.2033115029335022,all positives + capped negative sampling,full official test folder,0.7213946218380172,0.3573798988621997,0.4779718690887571,0.5974436250568287,0.354937552390864,0.0015487490668316,0.6426201011378002,A_capped_current,1,,,,,,,,
ctt_test01,GaussianNB,2024,sample,3.208074916827286e-10,all positives + capped negative sampling,full official test folder,0.9775156496188732,0.3627528445006321,0.5291426068715928,0.6566691466789423,0.3619061429659416,9.36271476170295e-05,0.6372471554993678,A_capped_current,1,,,,,,,,
ctt_test01,IsolationForest,2024,sample,-0.1183889713743407,all positives + capped negative sampling,full official test folder,0.0118971872435829,0.9999209860935524,0.0235145948428805,0.4381738572443668,0.0109625684458561,0.931875433335875,7.901390644753477e-05,A_capped_current,1,,,,,,,,
ctt_test01,BIRCH,2024,sample,0.7852981090545654,all positives + capped negative sampling,full official test folder,0.0129121146521015,0.999968394437421,0.0254950242236574,0.6526652582945055,0.0223059503660956,0.8577862144664582,3.1605562579013905e-05,A_capped_current,1,,,,,,,,
ctt_test02,GradientBoosting,2024,sample,0.0853243301812571,all positives + capped negative sampling,full official test folder,0.934952065738416,0.9980142172300158,0.9654544543866216,0.998072130019116,0.9349986378737238,0.0018140441615277,0.0019857827699842,A_capped_current,1,,,,,,,,
ctt_test02,RandomForest,2024,sample,0.0139056260922905,all positives + capped negative sampling,full official test folder,0.401015216008611,0.9985380740343676,0.5722239578879023,0.9987425385554588,0.9757353780805644,0.0389660632584046,0.0014619259656325,A_capped_current,1,,,,,,,,
ctt_test02,MLP,2024,sample,0.0192241501063108,all positives + capped negative sampling,full official test folder,0.221991049272347,0.998300511064952,0.3632144729070699,0.9725911419178384,0.3281496433685767,0.0914065645514223,0.0016994889350478,A_capped_current,1,,,,,,,,
ctt_test02,LogisticRegression,2024,sample,0.2033115029335022,all positives + capped negative sampling,full official test folder,0.103658840122791,0.0380527146137774,0.0556694232551507,0.7127546205360182,0.0673650393628707,0.0085964591207479,0.9619472853862224,A_capped_current,1,,,,,,,,
ctt_test02,GaussianNB,2024,sample,3.208074916827286e-10,all positives + capped negative sampling,full official test folder,0.281783055319951,0.0364263219770112,0.0645129969955067,0.5053296018913062,0.0590148484372394,0.0024256216431271,0.9635736780229888,A_capped_current,1,,,,,,,,
ctt_test02,IsolationForest,2024,sample,-0.1183889713743407,all positives + capped negative sampling,full official test folder,0.0267836618145646,1.0,0.052170019470765,0.4848021533235958,0.0275798956086622,0.9493063855182016,0.0,A_capped_current,1,,,,,,,,
ctt_test02,BIRCH,2024,sample,0.7852981090545654,all positives + capped negative sampling,full official test folder,0.0260640042834236,0.999865990119817,0.0508036836655533,0.4320100080513408,0.0219467372563187,0.9761083747762084,0.0001340098801829,A_capped_current,1,,,,,,,,
ctt_test03,GradientBoosting,2024,sample,0.0853243301812571,all positives + capped negative sampling,full official test folder,0.8003207698476343,0.4792316926770708,0.5994894128247484,0.7322008724905723,0.5265912570066635,0.0002890492138209,0.5207683073229292,A_capped_current,1,,,,,,,,
ctt_test03,RandomForest,2024,sample,0.0139056260922905,all positives + capped negative sampling,full official test folder,0.7887340646308924,0.6387515006002401,0.7058636243035289,0.819567335728933,0.6094466564988593,0.0004136073690136,0.3612484993997599,A_capped_current,1,,,,,,,,
ctt_test03,MLP,2024,sample,0.0192241501063108,all positives + capped negative sampling,full official test folder,0.0698912681757367,0.4941656662665066,0.1224623366732513,0.7067233511140933,0.2513613121211131,0.0158979389281962,0.5058343337334934,A_capped_current,1,,,,,,,,
ctt_test03,LogisticRegression,2024,sample,0.2033115029335022,all positives + capped negative sampling,full official test folder,0.4333348332808351,0.4624249699879952,0.4474075450659729,0.6903549215559437,0.4279594907138376,0.0014618460841957,0.5375750300120048,A_capped_current,1,,,,,,,,
ctt_test03,GaussianNB,2024,sample,3.208074916827286e-10,all positives + capped negative sampling,full official test folder,0.9011253141046652,0.396062424969988,0.5502701981453065,0.7027415343062045,0.3777549367848338,0.0001050560395614,0.603937575030012,A_capped_current,1,,,,,,,,
ctt_test03,IsolationForest,2024,sample,-0.1183889713743407,all positives + capped negative sampling,full official test folder,0.0025869796599423,1.0,0.0051606089295509,0.6194529672953755,0.0997487693737936,0.9320505661998154,0.0,A_capped_current,1,,,,,,,,
ctt_test03,BIRCH,2024,sample,0.7852981090545654,all positives + capped negative sampling,full official test folder,0.0027034890081615,0.9611524609843938,0.0053918121550399,0.914128534106792,0.3714697610480523,0.8571353945986104,0.0388475390156062,A_capped_current,1,,,,,,,,
ctt_test04,GradientBoosting,2024,sample,0.0853243301812571,all positives + capped negative sampling,full official test folder,0.5099818511796733,0.1183656276326874,0.1921367521367521,0.6097719703975658,0.2474304734910611,0.0001226686241146,0.8816343723673126,A_capped_current,1,,,,,,,,
ctt_test04,RandomForest,2024,sample,0.0139056260922905,all positives + capped negative sampling,full official test folder,0.0127754600023699,0.4389918562201629,0.024828369380065,0.7001155548376924,0.0523366422751728,0.0365886431116153,0.5610081437798371,A_capped_current,1,,,,,,,,
ctt_test04,MLP,2024,sample,0.0192241501063108,all positives + capped negative sampling,full official test folder,0.0023928901116802,0.0928110081437798,0.0046654926470847,0.393881809227126,0.0014896049299247,0.0417336832367494,0.9071889918562202,A_capped_current,1,,,,,,,,
ctt_test04,LogisticRegression,2024,sample,0.2033115029335022,all positives + capped negative sampling,full official test folder,0.0110767270410485,0.0854394832912103,0.0196110027877596,0.3347217285920371,0.0194188823367356,0.0082273543308195,0.9145605167087896,A_capped_current,1,,,,,,,,
ctt_test04,GaussianNB,2024,sample,3.208074916827286e-10,all positives + capped negative sampling,full official test folder,0.0105552582532154,0.0401572591968548,0.0167165923869365,0.5207041607315619,0.0016800576799417,0.0040601042940757,0.9598427408031452,A_capped_current,1,,,,,,,,
