setting,model,granularity,aupr,auroc,detection_rate_at_fpr_1e_4,detection_rate_at_fpr_1e_3,source
ctt_test01,GradientBoosting / sample,sample,0.9117100963025988,0.9897481766305908,,,final_grain_can_a1_negative_stability
ctt_test01,GradientBoosting / sample,sample,0.8088365679437188,0.8755417853308363,,,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_10,window_10,0.9329653782849036,0.9765395529309028,,,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_100,window_100,0.8959658008443454,0.9461581600772684,,,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_20,window_20,0.9413131660211788,0.972270347808666,,,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_5,window_5,0.9301390542701627,0.9824948317114256,,,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_50,window_50,0.9206990713250728,0.9589913253709828,,,final_grain_can_b1_granularity_full_matrix
ctt_test01,MLP / sample,sample,0.3565176808921402,0.6208282972235171,,,final_grain_can_a1_negative_stability
ctt_test01,Transformer,window100_deep,0.98438087210754,0.9968966598253644,,,cmf_tables_overall_main_results_refined
ctt_test01,transformer / old_window100_deep,old_window100_deep,0.98438087210754,0.9968966598253644,0.9715468184169684,0.9741334712881532,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / sample,sample,0.9459407282859518,0.998277110503329,,,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / sample,sample,0.9364948365791564,0.9981682653031722,,,final_grain_can_a1_negative_stability
ctt_test02,GradientBoosting / window_10,window_10,0.9901441834923794,0.9967256013347936,,,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / window_100,window_100,0.9353957929975344,0.9652049300331677,,,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / window_20,window_20,0.9866476296414944,0.9942406364995052,,,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / window_5,window_5,0.980603131662038,0.9974637582367644,,,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / window_50,window_50,0.970291855148474,0.9847852407983452,,,final_grain_can_b1_granularity_full_matrix
ctt_test02,MLP / sample,sample,0.1937327668633328,0.935832234977277,,,final_grain_can_a1_negative_stability
ctt_test02,transformer / old_window100_deep,old_window100_deep,0.0488543960236108,0.1151742375223511,0.0,0.0005349500713266,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / sample,sample,0.5969476747210563,0.7959460319363308,,,final_grain_can_a1_negative_stability
ctt_test03,GradientBoosting / sample,sample,0.5443757866734771,0.7500649073201824,,,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_10,window_10,0.6777720549468647,0.8478090651608308,,,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_100,window_100,0.9249902867151728,0.9597628266647094,,,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_20,window_20,0.7094153163550865,0.8527282504216144,,,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_5,window_5,0.6563350199972754,0.837446675461304,,,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_50,window_50,0.853070741558628,0.923402523710035,,,final_grain_can_b1_granularity_full_matrix
ctt_test03,MLP / sample,sample,0.2444864734963839,0.7027241072070918,,,final_grain_can_a1_negative_stability
ctt_test03,transformer / old_window100_deep,old_window100_deep,0.2707812715770379,0.6187847176131567,0.0753762152084165,0.1001464908776135,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / sample,sample,0.3319792997758654,0.6985227914609079,,,final_grain_can_a1_negative_stability
ctt_test04,GradientBoosting / sample,sample,0.2422355206604559,0.5925827110506519,,,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_10,window_10,0.6184722776882597,0.8452561599829853,,,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_100,window_100,0.784533638387578,0.9024154739312792,,,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_20,window_20,0.7227739499342077,0.8947361684329831,,,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_5,window_5,0.5140487763254977,0.7874765482740954,,,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_50,window_50,0.8235315589679248,0.920239716922698,,,final_grain_can_b1_granularity_full_matrix
ctt_test04,MLP / sample,sample,0.0017747409946736,0.4766925476379154,,,final_grain_can_a1_negative_stability
ctt_test04,transformer / old_window100_deep,old_window100_deep,0.1732558303780162,0.6453118473827439,0.0,0.0584717607973421,final_grain_can_b1_granularity_full_matrix
