setting,ablation,features_used,num_features,fit_eval_time_sec,threshold_source,precision,recall,f1,auroc,aupr,detection_rate_at_fpr_1e_3,num_pos,num_neg,tp,fp,tn,fn,fpr,fnr,accuracy
ctt_test04,only_timing,delta_t_global|delta_t_same_id,2,3.882606267929077,validation_f1,0.7708333333333334,0.4909435551811289,0.5998455995882657,0.7454068799856067,0.424568166255144,0.4909435551811289,14244,13206311,6993,2079,13204232,7251,0.00015742473428045122,0.5090564448188711,0.9992942807620406
ctt_test04,without_can_id,dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,15,9.705440998077393,validation_f1,0.7395056311247623,0.35495647290087057,0.47967363977040944,0.6094335869532983,0.26492912549793,0.3549564729008705,14244,13206311,5056,1781,13204530,9188,0.00013485976515319078,0.6450435270991295,0.9991703071467121
ctt_test04,full_safe_can,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,16,10.077155590057371,validation_f1,0.7402730876523271,0.35397360292052793,0.47893611968653527,0.6094257048150244,0.2546597071133626,0.3549564729008705,14244,13206311,5042,1769,13204542,9202,0.00013395110867826752,0.6460263970794721,0.9991701558671326
ctt_test04,without_payload_statistics,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_delta_l1,13,8.181854486465454,validation_f1,0.7402730876523271,0.35397360292052793,0.47893611968653527,0.6094257048150244,0.2546597071133626,0.3549564729008705,14244,13206311,5042,1769,13204542,9202,0.00013395110867826752,0.6460263970794721,0.9991701558671326
ctt_test04,without_payload_delta_l1,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std,15,9.74494457244873,validation_f1,0.7402730876523271,0.35397360292052793,0.47893611968653527,0.6094257048150244,0.2546597071133626,0.3549564729008705,14244,13206311,5042,1769,13204542,9202,0.00013395110867826752,0.6460263970794721,0.9991701558671326
ctt_test04,without_payload_bytes,can_id|dlc|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,8,6.942164421081543,validation_f1,0.736267215450372,0.326523448469531,0.45240990224210886,0.7453854383577188,0.3752487251254964,0.4909435551811289,14244,13206311,4651,1666,13204645,9593,0.00012615180726850974,0.6734765515304689,0.9991483716076972
ctt_test04,without_delta_t_same_id,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|payload_sum|payload_mean|payload_std|payload_delta_l1,15,10.835994005203249,validation_f1,0.004802651834189836,0.248595900028082,0.009423254761857241,0.5955910499489654,0.0569999541618432,0.0668351586632968,14244,13206311,3541,733760,12472551,10703,0.055561314586639675,0.751404099971918,0.943688975235911
ctt_test04,only_id,can_id,1,3.783756017684937,validation_f1,0.0013113986089588814,0.2554759898904802,0.0026094027414862767,0.7554872182446817,0.0438096923507711,0.0549705139005897,14244,13206311,3639,2771261,10435050,10605,0.2098436876126876,0.7445240101095199,0.7895802407690146
ctt_test04,only_payload,data0|data1|data2|data3|data4|data5|data6|data7|payload_sum|payload_mean|payload_std|payload_delta_l1,12,9.367189645767212,validation_f1,0.0007952585232030886,0.09133670317326593,0.0015767881274277508,0.4854682374560498,0.0134804780815839,0.0260460544790789,14244,13206311,1301,1634645,11571666,12943,0.12377756362090822,0.9086632968267341,0.875376790157448
