setting,model,threshold_selected_on,threshold,note,tp,fp,tn,fn,accuracy,precision,recall,f1,fnr,fpr,auroc,aupr,detection_rate_at_fpr_1e_4,detection_rate_at_fpr_1e_3
ctt_test04,Timing-threshold delta_t_same_id,validation_f1,7.152555099310121e-07,single timing threshold,11610,13205567,744,2634,0.0009344539620310948,0.0008784024001494419,0.8150800336983993,0.001754913550101686,0.18491996630160068,0.9999436632985548,0.3925870677854184,0.08982940614645582,0.028713844425723112,0.16975568660488627
ctt_test04,Payload-delta threshold,validation_f1,0.0,single payload-change threshold,14244,13206311,0,0,0.0010774131645759199,0.0010774131645759199,1.0,0.002152507189568954,0.0,1.0,0.5250580098009033,0.05329575640064134,0.06304408873911822,0.15641673687166527
ctt_test04,CAN-ID value threshold,validation_f1,0.04713064804673195,single CAN-ID numeric threshold,13199,13206311,0,1045,0.0009983695843328816,0.000998448505277427,0.9266357764672845,0.0019947476732603614,0.07336422353271553,1.0,0.7599492077502735,0.041533707271483575,0.02759056444818871,0.02983712440325751
ctt_test04,IsolationForest normal-only statistical,validation_f1,-0.11430316086518888,normal-only statistical anomaly baseline over safe CAN features,14244,12905244,301067,0,0.023850057732069493,0.0011025204713994857,1.0,0.0022026125174079685,0.0,0.9772027934220238,0.8040754932479955,0.09171127056594758,0.05539174389216512,0.20043527099129457
