dataset,model,Model,seed,precision,recall,f1,macro_f1,auroc,aupr,fpr,fnr,recall_at_fpr_1em04,recall_at_fpr_5em04,recall_at_fpr_1em03,selection_metric,source
road,cmf_can,CMF-CAN,42,1.0,0.652046783625731,0.7893805309734513,0.8902957973466197,0.943067350483829,0.805957074624345,0.0,0.347953216374269,0.6827485380116959,0.7076023391812866,0.7083333333333334,f1,road_main_20ep.csv
road,concat_fusion,Concat-Fusion,42,1.0,0.6509502923976608,0.7885764888200133,0.8898800502463634,0.8848564756580024,0.7538768220527791,0.0,0.3490497076023391,0.706140350877193,0.70796783625731,0.7083333333333334,f1,road_main_20ep.csv
road,reliable_cmf_can,Reliable-CMF-CAN,42,0.9988770353733858,0.6502192982456141,0.7876909453176887,0.8894188148547251,0.8167502047704126,0.7387333636604637,3.725574204124211e-05,0.3497807017543859,0.6933479532163743,0.7076023391812866,0.7083333333333334,f1,reliable_cmf_main_raw.csv
road,stats_only,Stats-only,42,0.2465890183028286,0.2708333333333333,0.2581431806305522,0.609187746696874,0.6720703356273937,0.2546414328634426,0.042173499990686,0.7291666666666666,0.0840643274853801,0.1052631578947368,0.1154970760233918,f1,road_main_20ep.csv
road,transformer,Transformer,42,0.9989669421487604,0.7068713450292398,0.8279109589041096,0.9102389696430576,0.9335419178297376,0.7794058319471616,3.725574204124211e-05,0.2931286549707602,0.7068713450292398,0.7083333333333334,0.7090643274853801,f1,road_main_20ep.csv
ctt_test01,cmf_can,CMF-CAN,42,1.0,0.9394723228142784,0.9687916777807416,0.9838654431335369,0.9907451786831104,0.9781093030763408,0.0,0.0605276771857216,0.9653388515261252,0.9679255043973098,0.9684428349715468,f1,ctt_generalization_15ep.csv
ctt_test01,concat_fusion,Concat-Fusion,42,1.0,0.6880496637351268,0.8152007355194606,0.9048787819282248,0.9875688953576576,0.975534988105138,0.0,0.3119503362648732,0.9555095706156234,0.9622348680807036,0.9632695292291774,f1,ctt_generalization_15ep.csv
ctt_test01,transformer,Transformer,42,1.0,0.9306777030522504,0.9640943193997856,0.9814397915078557,0.9968966598253644,0.98438087210754,0.0,0.0693222969477496,0.9715468184169684,0.9736161407139162,0.9741334712881532,f1,ctt_generalization_15ep.csv
ctt_test02,cmf_can,CMF-CAN,42,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.9683574023354516,0.9324805949532672,1.0,0.0,0.7680099857346647,0.8074179743223966,0.829172610556348,f1,ctt_generalization_15ep.csv
ctt_test02,wo_context,CMF-CAN -Ctx,42,0.8040113708149084,0.9078102710413696,0.8527638190954774,0.918869731101452,0.9704518139090932,0.9359482578635456,0.0210814208300066,0.0921897289586305,0.7803138373751783,0.8320256776034237,0.8532453637660485,f1,ctt_unknown_ablation.csv
ctt_test02,concat_fusion,Concat-Fusion,42,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.93873470836008,0.8291933931589583,1.0,0.0,0.2694365192582025,0.4299215406562054,0.5381597717546363,f1,ctt_generalization_15ep.csv
