model,aupr,recall_at_fpr_0_0001,recall_at_fpr_0_001,event_recall,threshold_type,event_boundary
GRAIN window100,0.784533638387578,0.4478405315614618,0.8053156146179402,0.3650107991360691,best-test,approximate
SAFE-CAN GradientBoosting,0.2646623611826009,0.1910980061780398,0.3548862679022746,0.475785225478154,best-test,approximate
Old window100 Transformer,0.173221021484981,0.0119601328903654,0.1461794019933555,1.0,stored,approximate
Public-default HistGradientBoosting,0.0118624612579317,0.0095478798090424,0.0108817747823645,0.1637129320933497,default,approximate
No-timestamp HistGradientBoosting,0.0118624612579317,0.0095478798090424,0.0108817747823645,0.1637129320933497,default,approximate
Predict all normal,0.0026724392684081,0.0,0.0,0.0,default,approximate
