dataset,model,seed,label_ratio,epochs,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test02,stats_only,42,1.0,5,0.10092283830942225,0.08801498127340825,0.9973252496433667,0.161754923793273,0.09616276526141006,0.8793596590043431,0.9119296646661141,0.9844734741026382,0.002674750356633381,4.752596032631407e-06,0.8377318116975749,0.9112598196101251,8.493723138600574e-05,1.7118425603257492e-05,0.8389800285306704,0.910762679055362,0.00032276147926682184,1.5924921171972528e-05,0.8393366619115549,0.9080736953795698,0.0008833472064144597,1.4925921277608722e-05
ctt_test02,cmf_can,42,1.0,5,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.270673090122204,0.8140182620984604,1.0,0.0,0.0004993513273075358,0.0012482168330955777,0.0024915465385299874,6.79497851088046e-05,0.9811563491821289,0.0112339514978602,0.022116903633491312,0.00044167360320722984,0.976947009563446,0.01658345221112696,0.032302882945467175,0.0009682844378004655,0.9754316806793213
ctt_test02,cmf_can_robust,42,1.0,5,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.9437402435017698,0.9750083752835613,1.0,0.0,4.971529165232195e-07,0.8468259629101283,0.9166184134337,8.493723138600574e-05,0.996528685092926,0.8687589158345221,0.9272052526405938,0.0004926359420388333,0.9907850027084351,0.8785663338088445,0.9302369489285377,0.0009852718840776666,0.9867788553237915
ctt_test03,stats_only,42,1.0,5,0.9194297427820306,0.9119402985074627,0.081369023838061,0.14940701797285733,0.5535595403513498,0.631486409781525,0.8979823753172373,0.000748370075344377,0.918630976161939,4.752596032631407e-06,0.04727660141163936,0.09020454834201498,8.878966995611254e-05,2.1967502107145265e-05,0.07058196830470102,0.13123684536337749,0.0004820010654760395,6.057513928681146e-06,0.0885603941936343,0.16121212121212122,0.000964002130952079,4.048843948112335e-06
ctt_test03,cmf_can,42,1.0,5,0.9144035114132512,1.0,0.015714475962178717,0.030942703553166383,0.4930834729152723,0.19248440716359233,0.6411979512811117,0.0,0.9842855240378213,0.0004993513273075358,0.034092422426421624,0.06588598635954189,7.61054313909536e-05,0.00038932726602070034,0.04727660141163936,0.08983930153106415,0.0004946853040411984,0.0003310560423415154,0.050872286589426025,0.0959437397965591,0.0009132651766914432,0.0003047672798857093
ctt_test03,cmf_can_robust,42,1.0,5,0.9175420107241711,0.951276102088167,0.05460114529231589,0.10327455919395466,0.5300293064976899,0.2509023321300582,0.7389422291329165,0.0002663690098683376,0.9453988547076841,4.971529165232195e-07,0.04980689838860035,0.09480354879594424,8.878966995611254e-05,6.226575237633369e-07,0.0589958716207218,0.11087473407583531,0.0004946853040411984,4.251237442076672e-07,0.06192568917299241,0.11555666003976142,0.0009386336538217611,3.9094305748221814e-07
ctt_test04,stats_only,42,1.0,5,0.01529500756429652,0.010648574231971583,0.9302325581395349,0.021056114545263127,0.015260902610550634,0.2008317409317321,0.6565362661843996,0.9952408278817093,0.06976744186046512,4.752596032631407e-06,0.14019933554817277,0.2443543717429068,8.416542331382226e-05,2.0782157662324607e-05,0.14352159468438538,0.2435174746335964,0.0004055243123302345,1.6928128388826735e-05,0.15083056478405316,0.24382384532760473,0.0009946822755269903,1.530103327240795e-05
ctt_test04,cmf_can,42,1.0,5,0.011444780635400907,0.011384955216654563,1.0,0.022513594171896155,0.011318004556319837,0.19181278580930905,0.7154319375371052,0.9999387887830445,0.0,0.0004993513273075358,0.004651162790697674,0.009204470742932281,6.886261907494549e-05,0.9986541271209717,0.0053156146179402,0.010262989095574087,0.0003519644974941658,0.9985750913619995,0.1920265780730897,0.3004158004158004,0.0009946822755269903,0.4787392318248749
ctt_test04,cmf_can_robust,42,1.0,5,0.012624810892586989,0.01139840649519828,1.0,0.02253989411491602,0.012523204380225262,0.18288456236700834,0.7572247703594341,0.9987451700524121,0.0,4.971527164343852e-07,0.0106312292358804,0.020901371652514697,7.651402119438387e-05,0.9940768480300903,0.015282392026578074,0.029040404040404044,0.00042847851868854967,0.9902145862579346,0.12956810631229235,0.2138157894736842,0.00094877386281036,0.09345849603414536
