label_ratio,Model,f1_mean,f1_std,precision_mean,recall_mean,auroc_mean,aupr_mean
0.01,CMF-CAN,0.465465479301589,0.1117034640185159,0.5553632464164319,0.4050925925925925,0.8107759108783825,0.4596791137294471
0.01,Concat-Fusion,0.3743807916334907,0.1033462918781932,0.4228505848347923,0.3365009746588693,0.765542721796668,0.3217331794950411
0.01,Transformer,0.3585325554403289,0.0441445989896442,0.4091970662303872,0.3210282651072124,0.7963195777308559,0.3473591430635601
0.05,CMF-CAN,0.789090608055187,0.0055620138742559,0.9869026775654725,0.6574074074074074,0.9156712182489662,0.7829728900704379
0.05,Concat-Fusion,0.7866017404432827,0.0265720589996708,0.9813319174980744,0.6567982456140351,0.871256335791014,0.7476617693111479
0.05,Transformer,0.8165714611639633,0.0055192720033897,0.985216786599892,0.6972465886939571,0.8425465778022808,0.7434272012108206
0.1,CMF-CAN,0.7720978835069,0.0168156002686735,0.9954144587068632,0.6308479532163743,0.9158190724362376,0.7750777468269913
0.1,Concat-Fusion,0.7911647335845643,0.0187904904746688,0.994718647955932,0.6569200779727096,0.8647178237025607,0.7503236334722976
0.1,Transformer,0.8149497459087435,0.010107365353219,0.990324101877622,0.692495126705653,0.8503257598873235,0.7469530600788348
0.2,CMF-CAN,0.7834830493993677,0.0073328759172975,0.9981060178040764,0.6448586744639376,0.9423420686065578,0.8062299969228715
0.2,Concat-Fusion,0.7856606111116268,0.0118627876379057,0.997726691314766,0.6480263157894738,0.8611485994745923,0.7523498548432777
0.2,Transformer,0.8127104473735239,0.0041808575406212,0.9957627464094516,0.6865253411306043,0.8318312127245134,0.7367296332857943
1.0,CMF-CAN,0.7904653825091303,0.0240856224170174,0.9996217611963828,0.6541179337231969,0.9459817237981292,0.8135167170203763
1.0,Concat-Fusion,0.7910413895920305,0.0166596524615351,0.9998095238095238,0.6546052631578947,0.8981120226058836,0.7675978627502417
1.0,Transformer,0.8256616385120698,0.002184465215723,0.998273033362536,0.7039473684210527,0.9074930302531512,0.7668282223244859
