Dataset,Model,bin_low,bin_high,count,mean_score,empirical_attack_rate
ctt_test03,Concat-Fusion,0.6000000000000001,0.7000000000000001,0,,
ctt_test03,Concat-Fusion,0.7000000000000001,0.8,0,,
ctt_test03,Concat-Fusion,0.8,0.9,0,,
ctt_test03,Concat-Fusion,0.9,1.0,0,,
ctt_test03,Transformer,0.0,0.1,86230,6.73080517727393e-06,0.0857242259074568
ctt_test03,Transformer,0.1,0.2,5,0.1716365218162536,1.0
ctt_test03,Transformer,0.2,0.30000000000000004,4,0.26063884422183037,1.0
ctt_test03,Transformer,0.30000000000000004,0.4,4,0.36737506836652756,1.0
ctt_test03,Transformer,0.4,0.5,1,0.4319686591625213,1.0
ctt_test03,Transformer,0.5,0.6000000000000001,3,0.550248940785726,1.0
ctt_test03,Transformer,0.6000000000000001,0.7000000000000001,1,0.6962875127792358,1.0
ctt_test03,Transformer,0.7000000000000001,0.8,8,0.7530729621648788,1.0
ctt_test03,Transformer,0.8,0.9,4,0.8722400218248367,1.0
ctt_test03,Transformer,0.9,1.0,87,0.994843772773085,1.0
ctt_test04,CMF-CAN,0.0,0.1,132199,3.4817757343776307e-06,0.01137678802411516
ctt_test04,CMF-CAN,0.1,0.2,1,0.1212286129593849,1.0
ctt_test04,CMF-CAN,0.2,0.30000000000000004,0,,
ctt_test04,CMF-CAN,0.30000000000000004,0.4,0,,
ctt_test04,CMF-CAN,0.4,0.5,0,,
ctt_test04,CMF-CAN,0.5,0.6000000000000001,0,,
ctt_test04,CMF-CAN,0.6000000000000001,0.7000000000000001,0,,
ctt_test04,CMF-CAN,0.7000000000000001,0.8,0,,
ctt_test04,CMF-CAN,0.8,0.9,0,,
ctt_test04,CMF-CAN,0.9,1.0,0,,
ctt_test04,Concat-Fusion,0.0,0.1,132016,4.170285286996936e-05,0.010150284813961944
ctt_test04,Concat-Fusion,0.1,0.2,18,0.15097795675198233,0.6666666666666666
ctt_test04,Concat-Fusion,0.2,0.30000000000000004,9,0.24698468546072638,0.3333333333333333
ctt_test04,Concat-Fusion,0.30000000000000004,0.4,6,0.329807976881663,0.6666666666666666
ctt_test04,Concat-Fusion,0.4,0.5,7,0.4464804530143738,0.5714285714285714
ctt_test04,Concat-Fusion,0.5,0.6000000000000001,5,0.5599543929100037,0.8
