dataset,model,seed,label_ratio,epochs,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test01,cmf_can,42,1.0,3,0.9962645996282137,0.9994192799070848,0.8903259182617693,0.9417236662106703,0.969897063064842,0.9718368233699098,0.9847329774045642,1.8152444226615113e-05,0.10967408173823073,0.0004993514576926962,0.9156751163993792,0.9546925566343042,9.076222113307556e-05,0.0004025546950288117,0.9384376616658044,0.9615690432016962,0.00047196354989199294,0.0003335041110403836,0.9518882565959649,0.9620915032679739,0.0009439270997839859,0.0003085777861997485
ctt_test02,cmf_can,42,1.0,5,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.27067310691179935,0.8140182424090168,1.0,0.0,0.0004993514576926962,0.0012482168330955777,0.0024915465385299874,6.79497851088046e-05,0.9811563491821289,0.0112339514978602,0.022116903633491312,0.00044167360320722984,0.9769470691680908,0.01658345221112696,0.032302882945467175,0.0009682844378004655,0.9754316806793213
ctt_test02,stats_only,42,1.0,5,0.963986041101202,0.7607936507936508,0.8546718972895863,0.8050050386294928,0.8925830032435924,0.8802159355989108,0.9147660274919887,0.02560008153974213,0.1453281027104137,0.005507172569632553,0.8364835948644793,0.9105201863354037,8.493723138600574e-05,0.007665432523936033,0.8377318116975749,0.9094076655052264,0.00044167360320722984,0.007150567602366209,0.838623395149786,0.9074770863482875,0.000917322098968862,0.006967043969780207
ctt_test02,cmf_can,42,1.0,5,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.9437402417659683,0.9750083707398436,1.0,0.0,4.971527164343852e-07,0.8468259629101283,0.9166184134337,8.493723138600574e-05,0.996528685092926,0.8687589158345221,0.9272052526405938,0.0004926359420388333,0.9907850027084351,0.8785663338088445,0.9302369489285377,0.0009852718840776666,0.9867788553237915
