dataset,model,seed,label_ratio,baseline_f1,baseline_aupr,baseline_recall_at_fpr_1em04,baseline_fpr,best_f1_score,best_f1_policy,best_f1,best_f1_aupr,best_f1_fpr,best_f1_recall_at_fpr_1em04,best_lowfpr_score,best_lowfpr_policy,best_lowfpr_recall_at_fpr_1em04,best_lowfpr_f1_at_1em04,best_lowfpr_actual_fpr_at_1em04
ctt_test02,cmf_can,42,1.0,0.160038811123953,0.9324805949532672,0.7680099857346647,1.0,ensemble_a0.75_stats_pca_recon,val_fpr_1em03,0.2839657282741738,0.929162930492078,0.0,0.8832025677603423,ensemble_a0.5_stats_pca_recon,val_f1,0.8883737517831669,0.9404436054742804,8.493723138600574e-05
ctt_test02,cmf_can,2024,1.0,0.160038811123953,0.9073007098311991,0.7519614835948645,1.0,ensemble_a0.25_stats_pca_recon,val_f1,0.2672640197744477,0.9203911257370692,0.0,0.8782097004279601,ensemble_a0.25_stats_pca_recon,val_f1,0.8782097004279601,0.9347124691592332,8.493723138600574e-05
ctt_test02,cmf_can,2026,1.0,0.160038811123953,0.931392573418716,0.8102710413694721,1.0,ensemble_a0.75_stats_pca_recon,val_fpr_1em03,0.4476124567474048,0.9330536922520408,0.0,0.8737517831669044,ensemble_a0.25_stats_pca_recon,val_f1,0.891583452211127,0.942240648261566,8.493723138600574e-05
ctt_test03,cmf_can,42,1.0,0.0846830761382476,0.3044429685189416,0.0832334531895059,0.0,stats_ledoit_mahal,val_fpr_1em03,0.856672384219554,0.8456502535105412,0.0104391283391258,0.2518311359701691,stats_ledoit_mahal,val_f1,0.2518311359701691,0.4020410332730945,8.878966995611254e-05
ctt_test03,cmf_can,2024,1.0,0.0584356819650937,0.2494043648468698,0.0611266480223731,0.0,stats_ledoit_mahal,val_fpr_1em03,0.856672384219554,0.8456502535105412,0.0104391283391258,0.2518311359701691,stats_ledoit_mahal,val_f1,0.2518311359701691,0.4020410332730945,8.878966995611254e-05
ctt_test03,cmf_can,2026,1.0,0.0797851937092443,0.1977728830262421,0.0713810094553202,0.0,stats_ledoit_mahal,val_fpr_1em03,0.856672384219554,0.8456502535105412,0.0104391283391258,0.2518311359701691,stats_ledoit_mahal,val_f1,0.2518311359701691,0.4020410332730945,8.878966995611254e-05
ctt_test04,cmf_can,42,1.0,0.028243239786129,0.1655882870835184,0.0033222591362126,0.5782088067638395,stats_tail_count,val_f1,0.235198702351987,0.1084623157172673,0.0051340908221431,0.0,stats_pca_recon,val_f1,0.132890365448505,0.2331002331002331,8.416542331382226e-05
ctt_test04,cmf_can,2024,1.0,0.0358893777498428,0.2773919660391631,0.0411960132890365,0.4666819694709055,stats_tail_count,val_f1,0.235198702351987,0.1084623157172673,0.0051340908221431,0.0,stats_pca_recon,val_f1,0.132890365448505,0.2331002331002331,8.416542331382226e-05
ctt_test04,cmf_can,2026,1.0,0.0211693282301702,0.2200726892424336,0.0,0.8489001109453307,ensemble_a0.75_stats_tail_count,val_fpr_1em03,0.2532833020637898,0.1241593884808796,0.0027315505566395,0.0,stats_pca_recon,val_f1,0.132890365448505,0.2331002331002331,8.416542331382226e-05
