dataset,label_ratio,model,n,seeds,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auroc_mean,auroc_std,aupr_mean,aupr_std,fpr_mean,fpr_std,recall_at_fpr_1em04_mean,recall_at_fpr_1em04_std,f1_at_fpr_1em04_mean,f1_at_fpr_1em04_std,recall_at_fpr_5em04_mean,recall_at_fpr_5em04_std,f1_at_fpr_5em04_mean,f1_at_fpr_5em04_std,recall_at_fpr_1em03_mean,recall_at_fpr_1em03_std,f1_at_fpr_1em03_mean,f1_at_fpr_1em03_std
ctt_test01,0.01,cmf_can,3,"42,2024,2026",0.6565083442995029,0.3152070109555563,0.9489475153193002,0.04063577097438997,0.5500948439386101,0.32992403323428,0.9205152188305011,0.0977491622420141,0.6959848209936151,0.3509016259747715,0.0007079453248379332,0.00011336197786121156,0.46749439558544575,0.31077806284874937,0.5947240902449148,0.295378095694569,0.514571477841007,0.3169110404278039,0.6316228078893739,0.30307986734022924,0.5595792377996206,0.3334813895631116,0.6614817872138355,0.3146407592591151
ctt_test01,0.01,concat_fusion,3,"42,2024,2026",0.6731526680539197,0.19850218091203614,0.8269181659099751,0.2545046166735076,0.5849284359372305,0.20926410734691936,0.9403160624455477,0.04140916417559764,0.7380652354602161,0.2229761276583606,0.0050947860129366,0.007439852585079325,0.5940679427487497,0.32753699023601257,0.7029863690352746,0.30164342628109075,0.6033798930850147,0.32414149302606793,0.7080972959703131,0.2933691590343325,0.6111398516985687,0.3185384332096536,0.7106997907355995,0.2833632519488253
ctt_test01,0.01,transformer,3,"42,2024,2026",0.7800775907642468,0.13882442992227767,0.9839181286549707,0.027854618250376703,0.6628729091222625,0.18587532270119847,0.9646663549604947,0.009262227233201002,0.8430109120622814,0.0361705421901543,0.0004659127351497667,0.0008069845291727778,0.7478875668218659,0.03466243534196166,0.8545295502422671,0.02259007434999093,0.7544404207622003,0.03779110762667356,0.8538033890833073,0.02453613586355912,0.7582341783066046,0.039379471535348105,0.8491154629223887,0.024861424139389195
ctt_test01,0.05,cmf_can,3,"42,2024,2026",0.9044536554245717,0.02516009504923439,0.9757870746429331,0.02419215501933009,0.8429039489567168,0.027051657137778323,0.9848223873484244,0.0035223558875915207,0.9408226592767722,0.02914749680607567,0.0007321485838067666,0.0007252653048313262,0.622693567856527,0.36256914394893974,0.717541351634089,0.32826449899015264,0.724435247456458,0.250204263913537,0.8156131013470089,0.1858869901138011,0.833074668046215,0.09244211476910874,0.8932540329912534,0.05665935544967003
ctt_test01,0.05,concat_fusion,3,"42,2024,2026",0.8252560226196421,0.14181323194180637,0.97023965034795,0.027414719024683603,0.73029832729781,0.19041794635677908,0.9830220211060369,0.002093763006090634,0.9335779017795884,0.007900611279164157,0.0006716404363847,0.0004516275592087088,0.6116571822728056,0.3576750162598765,0.7094723156835014,0.3279851328198048,0.6940851871012242,0.2637373051134153,0.7917190754806832,0.2049143187628274,0.7335747542679772,0.22715407619334188,0.818910813148634,0.16472009141452984
ctt_test01,0.05,transformer,3,"42,2024,2026",0.8900949578710443,0.020251415583074646,0.9748492337843957,0.00928011255100892,0.8191067425418175,0.02919749475881612,0.9731467283352684,0.00901781048154159,0.9164889900303663,0.03290344416778661,0.0007381993985489667,0.0002607472928826017,0.7939299879289532,0.013131775384373805,0.8838999535151837,0.008031353804805061,0.8161752026211415,0.02963872297731481,0.8919845171639743,0.017606414473666742,0.8273840317296086,0.039321661367643194,0.8915775843685808,0.02366636251434964
ctt_test01,0.1,cmf_can,3,"42,2024,2026",0.9175446876300725,0.03694548579111958,0.9825955502052403,0.02525897811172904,0.8613554061045008,0.053852100071073314,0.9846833626018411,0.0035753072166514227,0.9479239304863599,0.025627880974151588,0.0005324716973140101,0.0007669989472787669,0.6902914295568201,0.3409229418120696,0.7783589388909573,0.2769795582612383,0.8599758579065356,0.08504123713060148,0.9164083613693358,0.04964118346077727,0.8837730643214347,0.06395330309069136,0.9235384918972214,0.035929353907390056
ctt_test01,0.1,concat_fusion,3,"42,2024,2026",0.9230826684409053,0.019275774719162996,0.9865298877926082,0.02078688607436959,0.8673909294705983,0.020958806144836674,0.9848291377788391,0.001285927728698602,0.9537476174396929,0.013770576537515516,0.00041750621721212524,0.0006446034926959514,0.7020175892395241,0.32146132640397834,0.7915400399710424,0.2555955598437128,0.8454906018279015,0.10363712372389423,0.907398137562153,0.06320543324584828,0.8920503535092257,0.04086693247699505,0.9291513948012549,0.023293915159422997
ctt_test01,0.1,transformer,3,"42,2024,2026",0.9102304559828328,0.01797244563356285,0.9950003677150053,0.007079629722314616,0.8389377478875669,0.02624826101313119,0.9788913289667986,0.007859064981400916,0.9455328291083132,0.027539715617015872,0.00014521955381291513,0.00020456765723799838,0.8484221417485774,0.04682056055434682,0.9162506872020981,0.027433286104744284,0.8692878082428005,0.051474608773713314,0.9229765182325597,0.02932835525003235,0.884117951370926,0.05693457420464602,0.9240627047934455,0.031979663695903104
ctt_test01,0.2,cmf_can,3,"42,2024,2026",0.9184382703579405,0.04486956628633205,0.990276386414401,0.009344038615651565,0.857906535609588,0.07294238795343369,0.9843708863831003,0.001363150530065422,0.9584215694476611,0.01675911028155997,0.0002843882928836,0.00025692816769904185,0.678737713398862,0.3554866694180629,0.7659565632164894,0.29486055829504504,0.8558372133126402,0.10694780020309823,0.9131038438947466,0.0632581828959091,0.9020520779444733,0.05034967043929467,0.9341285921691854,0.027716296536821828
ctt_test01,0.2,concat_fusion,3,"42,2024,2026",0.9422465025936995,0.023478056472807887,0.9964606234289572,0.0037269705229350824,0.8941196758061735,0.04020671567625491,0.9859449653012696,0.0009591974789312906,0.9657969535327026,0.008629842788909808,0.00010891466535965853,0.00011336197786119587,0.8910156923607518,0.05449515512743379,0.940499376025908,0.030269167555723862,0.9103293671322642,0.04089639163039489,0.9463376751882312,0.023079447314494326,0.9196413174685292,0.03239139436062821,0.9451256062086907,0.018864707864933595
ctt_test01,0.2,transformer,3,"42,2024,2026",0.9199870936315717,0.014814601336428491,0.9998046111762408,0.00033842336998219925,0.8522158992929816,0.025868253089617006,0.9826928730614726,0.002226436656367075,0.966317632493514,0.004883368934300106,6.050814742205039e-06,1.0480318560685907e-05,0.8961889981031211,0.02415625431509563,0.9438519637038657,0.013342499888725228,0.9168822210725986,0.02494120036111702,0.9496026969061538,0.013467814514613204,0.9277461631315744,0.022705646171895865,0.9490948580426487,0.012199318353856877
