dataset,model,seed,label_ratio,calibration,threshold_policy,val_threshold,val_ece,test_ece,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,temperature,platt_coef,platt_intercept
ctt_test01,cmf_can,42,1.0,raw,val_f1,8.835110747895722e-07,0.012395015532336073,0.022872834789647318,0.9852863806951703,1.0,0.5659596482152095,0.7228278823918071,0.8576352406365297,0.9825685832790748,0.9949239971809901,0.0,0.4340403517847905,8.835110747895722e-07,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,2.818119924086204e-07,0.9699948266942576,0.9801359121798223,0.00032674399607907203,1.2356294121218525e-07,0.9705121572684946,0.9722726094843225,0.0009076222113307557,9.007458601217877e-08,,,
ctt_test01,cmf_can,42,1.0,raw,val_fpr_1em04,1.877959903140436e-07,0.012395015532336073,0.022872834789647318,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.9906390271867459,0.9825685832790748,0.9949239971809901,0.0001452195538129209,0.03155716502845318,1.877959903140436e-07,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,2.818119924086204e-07,0.9699948266942576,0.9801359121798223,0.00032674399607907203,1.2356294121218525e-07,0.9705121572684946,0.9722726094843225,0.0009076222113307557,9.007458601217877e-08,,,
ctt_test01,cmf_can,42,1.0,raw,val_fpr_5em04,1.877959903140436e-07,0.012395015532336073,0.022872834789647318,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.9906390271867459,0.9825685832790748,0.9949239971809901,0.0001452195538129209,0.03155716502845318,1.877959903140436e-07,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,2.818119924086204e-07,0.9699948266942576,0.9801359121798223,0.00032674399607907203,1.2356294121218525e-07,0.9705121572684946,0.9722726094843225,0.0009076222113307557,9.007458601217877e-08,,,
ctt_test01,cmf_can,42,1.0,raw,val_fpr_1em03,1.0122375471155465e-07,0.012395015532336073,0.022872834789647318,0.9984391989056856,0.9837355718782791,0.9699948266942576,0.976816879395676,0.9880046467664827,0.9825685832790748,0.9949239971809901,0.0005627257710250685,0.03000517330574237,1.0122375471155465e-07,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,2.818119924086204e-07,0.9699948266942576,0.9801359121798223,0.00032674399607907203,1.2356294121218525e-07,0.9705121572684946,0.9722726094843225,0.0009076222113307557,9.007458601217877e-08,,,
ctt_test01,cmf_can,42,1.0,temperature,val_f1,0.0233369775116444,0.00319894843658341,0.013994031114914212,0.9852863806951703,1.0,0.5659596482152095,0.7228278823918071,0.8576352406365297,0.9825685927547426,0.9949239783993613,0.0,0.4340403517847905,0.0233369775116444,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,0.01728973723948002,0.9699948266942576,0.9801359121798223,0.00032674399607907203,0.01391099113970995,0.9705121572684946,0.9722726094843225,0.0009076222113307557,0.012795950286090374,3.7329885959625244,,
ctt_test01,cmf_can,42,1.0,temperature,val_fpr_1em04,0.015536105260252953,0.00319894843658341,0.013994031114914212,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.9906390271867459,0.9825685927547426,0.9949239783993613,0.0001452195538129209,0.03155716502845318,0.015536105260252953,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,0.01728973723948002,0.9699948266942576,0.9801359121798223,0.00032674399607907203,0.01391099113970995,0.9705121572684946,0.9722726094843225,0.0009076222113307557,0.012795950286090374,3.7329885959625244,,
ctt_test01,cmf_can,42,1.0,temperature,val_fpr_5em04,0.015536105260252953,0.00319894843658341,0.013994031114914212,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.9906390271867459,0.9825685927547426,0.9949239783993613,0.0001452195538129209,0.03155716502845318,0.015536105260252953,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,0.01728973723948002,0.9699948266942576,0.9801359121798223,0.00032674399607907203,0.01391099113970995,0.9705121572684946,0.9722726094843225,0.0009076222113307557,0.012795950286090374,3.7329885959625244,,
ctt_test01,cmf_can,42,1.0,temperature,val_fpr_1em03,0.0131969153881073,0.00319894843658341,0.013994031114914212,0.9984391989056856,0.9837355718782791,0.9699948266942576,0.976816879395676,0.9880046467664827,0.9825685927547426,0.9949239783993613,0.0005627257710250685,0.03000517330574237,0.0131969153881073,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,0.01728973723948002,0.9699948266942576,0.9801359121798223,0.00032674399607907203,0.01391099113970995,0.9705121572684946,0.9722726094843225,0.0009076222113307557,0.012795950286090374,3.7329885959625244,,
ctt_test01,cmf_can,42,1.0,platt,val_f1,0.9999787664413452,0.005633976015401453,0.003674698669796938,0.9852863806951703,1.0,0.5659596482152095,0.7228278823918071,0.8576352406365297,0.9825685843015631,0.9949239971809903,0.0,0.4340403517847905,0.9999787664413452,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,0.9952111840248108,0.9699948266942576,0.9801359121798223,0.00032674399607907203,0.8060619235038757,0.9705121572684946,0.9722726094843225,0.0009076222113307557,0.4811909794807434,,4.744818210601807,76.89814758300781
ctt_test01,cmf_can,42,1.0,platt,val_fpr_1em04,0.9680414795875549,0.005633976015401453,0.003674698669796938,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.9906390271867459,0.9825685843015631,0.9949239971809903,0.0001452195538129209,0.03155716502845318,0.9680414795875549,0.9679255043973098,0.9831844456121912,3.6304888453230226e-05,0.9952111840248108,0.9699948266942576,0.9801359121798223,0.00032674399607907203,0.8060619235038757,0.9705121572684946,0.9722726094843225,0.0009076222113307557,0.4811909794807434,,4.744818210601807,76.89814758300781
