label_ratio,Model,f1_mean,f1_std,precision_mean,recall_mean,auroc_mean,aupr_mean,Dataset
0.01,CMF-CAN,0.465465479301589,0.1117034640185159,0.5553632464164319,0.4050925925925925,0.8107759108783825,0.4596791137294471,ROAD
0.01,Concat-Fusion,0.3743807916334907,0.1033462918781932,0.4228505848347923,0.3365009746588693,0.765542721796668,0.3217331794950411,ROAD
0.01,Transformer,0.3585325554403289,0.0441445989896442,0.4091970662303872,0.3210282651072124,0.7963195777308559,0.3473591430635601,ROAD
0.05,CMF-CAN,0.789090608055187,0.0055620138742559,0.9869026775654725,0.6574074074074074,0.9156712182489662,0.7829728900704379,ROAD
0.05,Concat-Fusion,0.7866017404432827,0.0265720589996708,0.9813319174980744,0.6567982456140351,0.871256335791014,0.7476617693111479,ROAD
0.05,Transformer,0.8165714611639633,0.0055192720033897,0.985216786599892,0.6972465886939571,0.8425465778022808,0.7434272012108206,ROAD
0.1,CMF-CAN,0.7720978835069,0.0168156002686735,0.9954144587068632,0.6308479532163743,0.9158190724362376,0.7750777468269913,ROAD
0.1,Concat-Fusion,0.7911647335845643,0.0187904904746688,0.994718647955932,0.6569200779727096,0.8647178237025607,0.7503236334722976,ROAD
0.1,Transformer,0.8149497459087435,0.010107365353219,0.990324101877622,0.692495126705653,0.8503257598873235,0.7469530600788348,ROAD
0.2,CMF-CAN,0.7834830493993677,0.0073328759172975,0.9981060178040764,0.6448586744639376,0.9423420686065578,0.8062299969228715,ROAD
0.2,Concat-Fusion,0.7856606111116268,0.0118627876379057,0.997726691314766,0.6480263157894738,0.8611485994745923,0.7523498548432777,ROAD
0.2,Transformer,0.8127104473735239,0.0041808575406212,0.9957627464094516,0.6865253411306043,0.8318312127245134,0.7367296332857943,ROAD
1.0,CMF-CAN,0.7904653825091303,0.0240856224170174,0.9996217611963828,0.6541179337231969,0.9459817237981292,0.8135167170203763,ROAD
1.0,Concat-Fusion,0.7910413895920305,0.0166596524615351,0.9998095238095238,0.6546052631578947,0.8981120226058836,0.7675978627502417,ROAD
1.0,Transformer,0.8256616385120698,0.002184465215723,0.998273033362536,0.7039473684210527,0.9074930302531512,0.7668282223244859,ROAD
0.01,CMF-CAN,0.6565083442995029,0.3152070109555563,0.9489475153193002,0.5500948439386101,0.9205152188305012,0.6959848209936151,CT&T KV-KA
0.01,Concat-Fusion,0.6731526680539197,0.1985021809120361,0.8269181659099751,0.5849284359372305,0.9403160624455476,0.7380652354602161,CT&T KV-KA
0.01,Transformer,0.7800775907642468,0.1388244299222776,0.9839181286549707,0.6628729091222625,0.9646663549604948,0.8430109120622814,CT&T KV-KA
0.05,CMF-CAN,0.9044536554245716,0.0251600950492343,0.9757870746429332,0.8429039489567168,0.9848223873484244,0.9408226592767722,CT&T KV-KA
0.05,Concat-Fusion,0.8252560226196421,0.1418132319418063,0.97023965034795,0.73029832729781,0.9830220211060368,0.9335779017795884,CT&T KV-KA
0.05,Transformer,0.8900949578710443,0.0202514155830746,0.9748492337843956,0.8191067425418175,0.9731467283352684,0.9164889900303664,CT&T KV-KA
0.1,CMF-CAN,0.9175446876300724,0.0369454857911195,0.9825955502052404,0.8613554061045008,0.9846833626018412,0.94792393048636,CT&T KV-KA
0.1,Concat-Fusion,0.9230826684409053,0.0192757747191629,0.9865298877926082,0.8673909294705983,0.9848291377788392,0.9537476174396928,CT&T KV-KA
0.1,Transformer,0.9102304559828328,0.0179724456335628,0.9950003677150052,0.8389377478875669,0.9788913289667986,0.9455328291083132,CT&T KV-KA
0.2,CMF-CAN,0.9184382703579403,0.044869566286332,0.990276386414401,0.857906535609588,0.9843708863831004,0.9584215694476612,CT&T KV-KA
0.2,Concat-Fusion,0.9422465025936996,0.0234780564728078,0.9964606234289572,0.8941196758061735,0.9859449653012696,0.9657969535327026,CT&T KV-KA
0.2,Transformer,0.9199870936315716,0.0148146013364284,0.9998046111762408,0.8522158992929816,0.9826928730614726,0.966317632493514,CT&T KV-KA
1.0,CMF-CAN,0.8012104069805415,0.152757876104803,1.0,0.6880496637351268,0.9919568801599766,0.9803111763575486,CT&T KV-KA
1.0,Concat-Fusion,0.936746705140236,0.0218142755596473,0.9998123123123124,0.8817037420244871,0.984300998377233,0.9722810806347416,CT&T KV-KA
1.0,Transformer,0.9082459792778876,0.025473754752588,0.9998031108485922,0.8327297809967235,0.9846735914594624,0.9725175500907394,CT&T KV-KA
