dataset,model,seed,label_ratio,epochs,aux_loss_weight,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test02,cmf_can,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.8052438817376351,0.9609348015995923,1.0,0.0,8.834164123072749e-07,0.04814550641940086,0.09178990311065784,8.493723138600574e-05,0.07257196307182312,0.106811697574893,0.19211032713277743,0.0004926359420388333,0.03800693526864052,0.15353067047075605,0.26382717940861034,0.0009852718840776666,0.028965221717953682
ctt_test02,concat_fusion,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.8478827358712511,0.9514842881146496,1.0,0.0,4.341912917880295e-06,0.35306704707560627,0.5215329909126828,8.493723138600574e-05,0.21897101402282715,0.5196148359486448,0.6815577125482399,0.0004926359420388333,0.16485680639743805,0.5937945791726106,0.740329035126723,0.0009852718840776666,0.13973172008991241
ctt_test02,frame_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.31011525206834933,0.8557927779459426,1.0,0.0,1.7847983235697057e-06,0.0005349500713266762,0.0010683760683760685,8.493723138600574e-05,0.09625007212162018,0.0016048502139800285,0.0031880977683315624,0.0004926359420388333,0.043512336909770966,0.005171184022824536,0.010186160871092378,0.0009682844378004655,0.029004868119955063
ctt_test02,stats_only,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.10458317177200466,0.08657994923857867,0.9732524964336662,0.1590141009206386,0.10081645976680997,0.8547503891951407,0.8855980415316163,0.9781711315337965,0.02674750356633381,4.31519761150441e-07,0.8182952924393724,0.8996275240148991,8.493723138600574e-05,8.766603968979325e-06,0.8206134094151213,0.8994429785986514,0.0003907112643756264,8.038420673983637e-06,0.8216833095577746,0.8974583698510078,0.0009003346526916608,7.603648100484861e-06
ctt_test02,wo_stats,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.6905296209624207,0.947236663200759,1.0,0.0,1.9337933917996233e-05,0.00891583452211127,0.017658484901995408,8.493723138600574e-05,0.7174463868141174,0.056169757489300996,0.10584677419354838,0.0004926359420388333,0.6213377714157104,0.08416547788873038,0.1537960247637667,0.0009852718840776666,0.584265947341919
ctt_test02,wo_context,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9727336176812718,0.8040113708149084,0.9078102710413695,0.8527638190954774,0.918869731101452,0.9359482578635455,0.9704518139090932,0.021081420830006626,0.09218972895863053,3.9559183933306904e-05,0.7803138373751783,0.876163780158174,8.493723138600574e-05,0.0001388977252645418,0.8320256776034237,0.9058435255290235,0.00047564849576163217,9.33013143367134e-05,0.8532453637660485,0.9157018467132332,0.0009852718840776666,8.157080446835607e-05
ctt_test02,wo_xattn,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.9061111906539266,0.965508164127908,1.0,0.0,2.3311186566843956e-07,0.3209700427960057,0.4856333468231485,8.493723138600574e-05,9.436231630388647e-05,0.5,0.6643762587371164,0.0004926359420388333,7.598305091960356e-05,0.5855920114122682,0.733854748603352,0.0009852718840776666,6.866373587399721e-05
ctt_test02,wo_gate,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.9226291078418614,0.9698586148901582,1.0,0.0,1.3733331388721436e-06,0.4304564907275321,0.6014700386196586,8.493723138600574e-05,0.0004096826887689531,0.6492510699001427,0.7849520319068665,0.00047564849576163217,0.00025922301574610174,0.7198644793152639,0.8321137792435329,0.0009852718840776666,0.00021412585920188576
ctt_test03,cmf_can,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9139634266390263,1.0,0.010653882008256758,0.02108314665963895,0.4880437689023339,0.24068280666570668,0.671911986985853,0.0,0.9893461179917432,8.834164123072749e-07,0.04128379278199494,0.07922310247891642,8.878966995611254e-05,2.2950732159188192e-07,0.0688507124783593,0.1282083075015499,0.0004946853040411984,1.212696503216648e-07,0.07897190038620322,0.1450055018950972,0.0009766863695172378,8.657466565864524e-08
ctt_test03,concat_fusion,42,1.0,20,0.2,ce,2.0,,none,f1,balanced,0.0,0.1,0.9145656479090183,1.0,0.01757890531362365,0.03455045151158225,0.4949278585464705,0.32518097664053913,0.7855826135302444,0.0,0.9824210946863764,4.341912917880295e-06,0.07830603276068718,0.14511352418558734,8.878966995611254e-05,6.38517406059691e-07,0.08123585031295778,0.1495647909770749,0.0004820010654760395,4.845342687076482e-07,0.08349980023971235,0.1527219583485568,0.00095131789238692,4.2604139594004664e-07
