dataset,model,seed,label_ratio,baseline_f1,baseline_aupr,baseline_recall_at_fpr_1em04,baseline_actual_fpr_at_1em04,best_f1_score,best_f1_policy,best_f1,best_f1_aupr,best_f1_fpr,best_f1_recall_at_fpr_1em04,best_lowfpr_score,best_lowfpr_policy,best_lowfpr_f1_at_1em04,best_lowfpr_aupr,best_lowfpr_recall_at_fpr_1em04,best_lowfpr_actual_fpr_at_1em04
ctt_test01,cmf_can,42,1.0,0.7228278823918071,0.9825685832790748,0.9679255043973098,3.630488845323023e-05,model_attack_prob,val_fpr_1em04,0.981904012588513,0.9825685832790748,0.0001452195538129,0.9679255043973098,model_attack_prob,val_f1,0.9831844456121912,0.9825685832790748,0.9679255043973098,3.630488845323023e-05
ctt_test02,cmf_can,42,1.0,0.160038811123953,0.9324805949532672,0.7680099857346647,8.493723138600574e-05,ensemble_a0.75_stats_robust_mean,val_fpr_1em03,0.20544,0.9270298005949468,0.0,0.7355563480741797,model_attack_prob,val_f1,0.8683467741935484,0.9324805949532672,0.7680099857346647,8.493723138600574e-05
ctt_test03,cmf_can,42,1.0,0.0846830761382476,0.3044429685189416,0.0832334531895059,8.878966995611254e-05,stats_diag_mahal,val_fpr_1em04,0.2968590543145481,0.8144621144850611,1.2684238565158933e-05,0.2233320015980823,stats_diag_mahal,val_f1,0.3648428151854672,0.8144621144850611,0.2233320015980823,8.878966995611254e-05
ctt_test04,cmf_can,42,1.0,0.028243239786129,0.1655882870835184,0.0033222591362126,6.886261907494549e-05,ensemble_a0.25_isolation_forest,val_fpr_1em03,0.2182920667003537,0.1041861835811303,0.0019740617468151,0.0073089700996677,isolation_forest,val_f1,0.2024866785079928,0.1775156028056262,0.1136212624584717,9.946822755269905e-05
road,cmf_can,42,0.01,0.5899399710204927,0.5974429548402761,0.0932017543859649,9.313935510310526e-05,model_attack_prob,val_f1,0.5899399710204927,0.5974429548402761,0.0124806735838161,0.0932017543859649,model_attack_prob,val_f1,0.1702269692923898,0.5974429548402761,0.0932017543859649,9.313935510310526e-05
road,cmf_can,42,0.05,0.7840282373703948,0.7586424281757222,0.4652777777777778,9.313935510310526e-05,model_attack_prob,val_fpr_1em03,0.7970702283498492,0.7586424281757222,0.0010431607771547,0.4652777777777778,model_attack_prob,val_f1,0.6342800199302442,0.7586424281757222,0.4652777777777778,9.313935510310526e-05
