dataset,method,score_source,threshold_policy,threshold,precision,recall,f1,aupr,auroc,fpr,attack_events,event_recall,median_detection_delay_s,p90_detection_delay_s,false_alarm_windows,false_alarm_events,test_duration_h,false_alarm_events_per_hour,false_alarm_windows_per_hour,calibration,val_threshold,val_ece,test_ece,accuracy,macro_f1,fnr,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test02,supervised:cmf_can,cmf_can,saved_val_threshold,5.481834659804459e-07,0.08697944939899185,1.0,0.16003881112395302,0.9324812391796663,0.9683571554601179,1.0,2788,1.0,0.0,0.0,58867,600,0.6786022650533252,884.170346753634,86747.42633724363,,,,,,,,,,,,,,,,,,,
ctt_test02,supervised:concat_fusion,concat_fusion,saved_val_threshold,2.8958961138414665e-06,0.08697944939899185,1.0,0.16003881112395302,0.8291944995338495,0.9387364925266021,1.0,2788,1.0,0.0,0.0,58867,600,0.6786022650533252,884.170346753634,86747.42633724363,,,,,,,,,,,,,,,,,,,
ctt_test02,supervised:transformer,transformer,saved_val_threshold,0.6055488467219846,0.08697944939899185,1.0,0.16003881112395302,0.04885424906777305,0.11517925075765585,1.0,2788,1.0,0.0,0.0,58867,600,0.6786022650533252,884.170346753634,86747.42633724363,,,,,,,,,,,,,,,,,,,
ctt_test02,normality:stats_robust_mean,stats_robust_mean,val_f1,0.21916452451046564,0.08699633699633699,0.9994650499286734,0.1600605402935633,0.5277688912729446,0.9147854427981431,0.9992525523638032,2788,0.9989239598278336,0.0,0.0,58823,629,0.6786022650533252,926.9052468467263,86682.58717848168,stats_robust_mean,0.21916452451046564,0.01729025136890764,0.4805455962644085,0.08761535478867778,0.08077712148941668,0.0005349500713266762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,normality:stats_robust_mean,stats_robust_mean,val_fpr_1em04,0.17571263830440606,0.08699633699633699,0.9994650499286734,0.1600605402935633,0.5277688912729446,0.9147854427981431,0.9992525523638032,2788,0.9989239598278336,0.0,0.0,58823,629,0.6786022650533252,926.9052468467263,86682.58717848168,stats_robust_mean,0.17571263830440606,0.01729025136890764,0.4805455962644085,0.08761535478867778,0.08077712148941668,0.0005349500713266762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,normality:stats_robust_mean,stats_robust_mean,val_fpr_1em03,0.16519789777464586,0.08699633699633699,0.9994650499286734,0.1600605402935633,0.5277688912729446,0.9147854427981431,0.9992525523638032,2788,0.9989239598278336,0.0,0.0,58823,629,0.6786022650533252,926.9052468467263,86682.58717848168,stats_robust_mean,0.16519789777464586,0.01729025136890764,0.4805455962644085,0.08761535478867778,0.08077712148941668,0.0005349500713266762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,normality:stats_robust_mean_rollmean9,stats_robust_mean_rollmean9,val_f1,0.2945172296894231,0.08697944939899185,1.0,0.16003881112395302,0.4326157514218884,0.8883751133839339,1.0,2788,1.0,0.0,0.0,58867,600,0.6786022650533252,884.170346753634,86747.42633724363,stats_robust_mean_rollmean9,0.2945172296894231,0.01975062741002664,0.6197670306459964,0.08697944939899185,0.08001940556197651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,normality:stats_robust_mean_rollmean9,stats_robust_mean_rollmean9,val_fpr_1em04,0.37901409586083035,0.08697944939899185,1.0,0.16003881112395302,0.4326157514218884,0.8883751133839339,1.0,2788,1.0,0.0,0.0,58867,600,0.6786022650533252,884.170346753634,86747.42633724363,stats_robust_mean_rollmean9,0.37901409586083035,0.01975062741002664,0.6197670306459964,0.08697944939899185,0.08001940556197651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,normality:stats_robust_mean_rollmean9,stats_robust_mean_rollmean9,val_fpr_1em03,0.08689809564195175,0.08697944939899185,1.0,0.16003881112395302,0.4326157514218884,0.8883751133839339,1.0,2788,1.0,0.0,0.0,58867,600,0.6786022650533252,884.170346753634,86747.42633724363,stats_robust_mean_rollmean9,0.08689809564195175,0.01975062741002664,0.6197670306459964,0.08697944939899185,0.08001940556197651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,normality:stats_robust_mean_rollmax9,stats_robust_mean_rollmax9,val_f1,0.16519872382314074,0.08697944939899185,1.0,0.16003881112395302,0.3621812406936306,0.8776400045466258,1.0,2788,1.0,0.0,0.0,58867,600,0.6786022650533252,884.170346753634,86747.42633724363,stats_robust_mean_rollmax9,0.16519872382314074,0.08528940893417955,0.5224116795605714,0.08697944939899185,0.08001940556197651,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
