dataset,label_ratio,raw_val_f1_f1_mean,raw_val_f1_f1_std,raw_val_f1_aupr_mean,raw_val_f1_recall_at_fpr_1em04_mean,raw_val_f1_ece_mean,raw_val_f1_n,best_f1_policy_f1_mean,best_f1_policy_f1_std,best_f1_policy_aupr_mean,best_f1_policy_recall_at_fpr_1em04_mean,best_f1_policy_ece_mean,best_f1_policy_n,best_ece_policy_f1_mean,best_ece_policy_f1_std,best_ece_policy_aupr_mean,best_ece_policy_recall_at_fpr_1em04_mean,best_ece_policy_ece_mean,best_ece_policy_n,best_f1_policies,best_ece_policies
ctt_test01,1.0,0.8012104069805415,0.1247262835493528,0.9803111763575486,0.9689601655457838,0.024855394102288233,3,0.982423016192077,0.0007272840976999953,0.9803111763575486,0.9689601655457838,0.024855394102288233,3,0.8938786986648471,0.12096399515919759,0.980311176698378,0.9689601655457838,0.0032309942227175333,3,42:raw/val_fpr_1em04; 2024:raw/val_fpr_1em04; 2026:raw/val_fpr_1em04,42:platt/val_f1; 2024:platt/val_f1; 2026:platt/val_f1
ctt_test02,1.0,0.160038811123953,0.0,0.9324805949532672,0.7680099857346647,0.086784115032961,1,0.160038811123953,0.0,0.9324805949532672,0.7680099857346647,0.086784115032961,1,0.160038811123953,0.0,0.9324805949532672,0.7680099857346647,0.086784115032961,1,42:raw/val_f1,42:raw/val_f1
ctt_test03,1.0,0.0846830761382476,0.0,0.3044429685189416,0.0832334531895059,0.0869629573959378,1,0.1563184806428049,0.0,0.3044429685189416,0.0832334531895059,0.0869629573959378,1,0.0846830761382476,0.0,0.3044429685189416,0.0832334531895059,0.0745941143412825,1,42:raw/val_fpr_1em03,42:platt/val_f1
ctt_test04,1.0,0.028243239786129,0.0,0.1655882870835184,0.0033222591362126,0.0113798645801899,1,0.028243239786129,0.0,0.1655882870835184,0.0033222591362126,0.0113798645801899,1,0.0282381829343155,0.0,0.1655878849394245,0.0033222591362126,0.0073166312543187,1,42:raw/val_f1,42:temperature/val_f1
road,0.01,0.46546547930158905,0.09120549644890158,0.4596791124898698,0.06859161793372316,0.07730125077691023,3,0.46546547930158905,0.09120549644890158,0.4596791124898698,0.06859161793372316,0.07730125077691023,3,0.46546547930158905,0.09120549644890158,0.4596790906144241,0.06859161793372316,0.06960758840973513,3,42:raw/val_f1; 2024:raw/val_f1; 2026:raw/val_f1,42:raw/val_f1; 2024:platt/val_f1; 2026:temperature/val_f1
road,0.05,0.789090608055187,0.004541365311402518,0.7829728900704379,0.5337475633528266,0.0163960571900976,3,0.8032342270890392,0.004393709344601552,0.7829728900704379,0.5337475633528266,0.0163960571900976,3,0.789090608055187,0.004541365311402518,0.7829784795177993,0.533869395711501,0.010629716717858598,3,42:raw/val_fpr_1em03; 2024:raw/val_fpr_1em03; 2026:raw/val_fpr_5em04,42:platt/val_f1; 2024:platt/val_f1; 2026:platt/val_f1
