dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test01,transformer,42,0.01,15,0.2,0.9916523447090596,1.0,0.7537506466632178,0.8595870206489675,0.92764266173338,0.8637439610358757,0.9715128048872277,0.0,0.24624935333678222,0.4821604073047647,0.7723745473357475,0.8705539358600584,7.260977690646045e-05,0.41354891657829285,0.7754785307811691,0.8682305241818709,0.0003812013287589174,0.40233099460601807,0.7780651836523539,0.8616442280148955,0.000980231988237216,0.3911890685558319
ctt_test01,concat_fusion,42,0.01,15,0.2,0.968064957384869,0.5346964064436184,0.446456285566477,0.48660840146602763,0.7350641580169219,0.484076782417163,0.8941809226976614,0.01363248561418795,0.553543714433523,0.34356512427330016,0.21624418003103985,0.3548387096774194,9.076222113307556e-05,0.3787679076194763,0.2296947749612002,0.3695380774032459,0.00047196354989199294,0.37162449955940247,0.24418003103983446,0.383739837398374,0.0009983844324638312,0.36607152223587036
ctt_test01,cmf_can,42,0.01,15,0.2,0.9714671530286556,0.9026315789473685,0.17744438696326953,0.2965845222654561,0.6410113811620842,0.2908014832233261,0.8076493949211865,0.0006716404363847592,0.8225556130367304,0.512136328220368,0.1712364200724263,0.29188712522045857,7.260977690646045e-05,0.5424036979675293,0.17589239524055872,0.29565217391304344,0.000490115994118608,0.5184349417686462,0.18158303155716504,0.30141691713181623,0.0008168599901976801,0.5033608675003052
ctt_test01,transformer,42,0.05,15,0.2,0.9921784574374802,0.9643972517176764,0.7987584066218314,0.8737973967176005,0.9348807814282057,0.8889570803723522,0.9647265469504989,0.0010346893209170615,0.20124159337816866,0.01905379131436354,0.7832384893947232,0.8774268328020863,7.260977690646045e-05,0.05612022057175636,0.7946197620279358,0.878969957081545,0.00047196354989199294,0.025401532649993896,0.7987584066218314,0.8742921857304644,0.0009983844324638312,0.019324535503983498
ctt_test01,concat_fusion,42,0.05,15,0.2,0.9822875381431728,0.9391056137012369,0.5106052767718572,0.6615281501340483,0.8262169834048596,0.9244917720062318,0.9853954946647637,0.0011617564305033672,0.48939472322814276,0.03369184881448752,0.19865494050698396,0.330749354005168,9.076222113307556e-05,0.08486834913492203,0.38954992240041386,0.5551050497604127,0.000490115994118608,0.04810285195708275,0.47128815312984995,0.6287094547964113,0.000980231988237216,0.03553298860788345
ctt_test01,cmf_can,42,0.05,15,0.2,0.9921609203465329,0.9486714975845411,0.8127263321262287,0.8754527723599889,0.9357029377168193,0.9074042152316215,0.9807576015097499,0.0015429577592622847,0.18727366787377134,0.003189110569655962,0.20434557682359028,0.3386198028289756,9.076222113307556e-05,0.011286568827927113,0.4355923435075013,0.6009992862241257,0.000490115994118608,0.005364644341170788,0.7263321262286602,0.8278301886792454,0.0009983844324638312,0.003790697082877159
ctt_test01,transformer,42,0.1,15,0.2,0.9933359054400056,0.986833855799373,0.8142783238489395,0.8922902494331065,0.9444259166380851,0.9160790281929097,0.9711847508725404,0.0003812013287589174,0.18572167615106053,0.0009052196634002338,0.801345059493016,0.8884427874964153,9.076222113307556e-05,0.001294093206524849,0.817899637868598,0.8934727324102854,0.00045381110566537785,0.0008293393766507506,0.826176927056389,0.8911830357142857,0.000980231988237216,0.0006300653330981731
ctt_test01,concat_fusion,42,0.1,15,0.2,0.9938094068955842,0.9625292740046838,0.8504914640455251,0.9030486130184016,0.9499256180677635,0.941010541090571,0.9847187925794197,0.0011617564305033672,0.1495085359544749,0.007907492630183725,0.33109156751163993,0.4965089216446858,9.076222113307556e-05,0.019336707890033722,0.7263321262286602,0.8347205707491083,0.000490115994118608,0.01080536749213934,0.8473874806001035,0.9034749034749034,0.0009983844324638312,0.008441356010735035
ctt_test01,cmf_can,42,0.1,15,0.2,0.9927747185296903,0.9534883720930233,0.827211588204863,0.8858725761772853,0.9410709205387939,0.9217004694439521,0.9807144554130096,0.001415890649675979,0.1727884117951371,0.0006558921351097694,0.2990170719089498,0.45945945945945943,9.076222113307556e-05,0.00218951259739697,0.7703052250387998,0.8634386778776458,0.000490115994118608,0.0010246357414871454,0.8215209518882566,0.8881431767337807,0.0009983844324638312,0.000763008720241487
ctt_test01,transformer,42,0.2,15,0.2,0.9945284276244256,1.0,0.8385928608380755,0.9122115925717501,0.9546939038069177,0.9634774819574937,0.9852627883711328,0.0,0.16140713916192448,4.002261164714713e-05,0.8799793067770305,0.9348722176422094,9.076222113307556e-05,1.205437547469046e-05,0.9022245214692188,0.9416846652267818,0.000490115994118608,7.33831893739989e-06,0.9151577858251423,0.941708810220921,0.0009983844324638312,5.736328603234142e-06
