dataset,setting,model,fpr_budget,threshold,recall,precision,f1,actual_fpr,available_from_scores
ctt_test01,ctt_test01,cmf_can,0.0001,2.242480974246064e-07,0.9679255043973098,0.996803409696324,0.9821522309711287,0.00010891466535969068,True
ctt_test01,ctt_test01,cmf_can,0.0005,1.0631939062477613e-07,0.9699948266942576,0.9852863899106674,0.9775808133472368,0.0005082684383452232,True
ctt_test01,ctt_test01,cmf_can,0.001,8.726316735874208e-08,0.9705121572684946,0.9710144927536232,0.9707632600258732,0.0010165368766904463,True
ctt_test01,ctt_test01,cmf_can,0.005,5.644362843781892e-08,0.9725814795654423,0.8719851576994434,0.9195402298850575,0.005010074606545772,True
ctt_test01,ctt_test01,cmf_can,0.01,4.883419535417489e-08,0.9772374547335747,0.7741803278688525,0.8639378001372054,0.010001996768864927,True
ctt_test01,ctt_test01,concat_fusion,0.0001,6.727674417561502e-07,0.934299017071909,0.9966887417218543,0.9644859813084111,0.00010891466535969068,True
ctt_test01,ctt_test01,concat_fusion,0.0005,4.810584641745663e-07,0.9446456285566477,0.9848975188781014,0.9643517296012675,0.0005082684383452232,True
ctt_test01,ctt_test01,concat_fusion,0.001,4.181829069693777e-07,0.9477496120020693,0.9703389830508474,0.9589112797696937,0.0010165368766904463,True
ctt_test01,ctt_test01,concat_fusion,0.005,2.3838055085434467e-07,0.959130884635282,0.8704225352112676,0.9126261383214374,0.005010074606545772,True
ctt_test01,ctt_test01,concat_fusion,0.01,1.6804926872282524e-07,0.966890843248836,0.7723140495867769,0.8587181254307373,0.010001996768864927,True
ctt_test01,ctt_test01,transformer,0.0001,0.0356221944093704,0.9487842731505431,0.9967391304347826,0.9721706864564006,0.00010891466535969068,True
ctt_test01,ctt_test01,transformer,0.0005,0.0023876568302512,0.967408173823073,0.9852476290832455,0.9762464108587836,0.0005082684383452232,True
ctt_test01,ctt_test01,transformer,0.001,0.0008202588069252,0.9684428349715468,0.970954356846473,0.9696969696969697,0.0010165368766904463,True
ctt_test01,ctt_test01,transformer,0.005,1.5032946976134554e-05,0.9715468184169684,0.871866295264624,0.9190114998776608,0.005010074606545772,True
ctt_test01,ctt_test01,transformer,0.01,3.544020046319929e-06,0.9756854630108639,0.7739023389413213,0.8631578947368421,0.010001996768864927,True
ctt_test02,ctt_test02,cmf_can,0.0001,0.0004523389216046,0.7680099857346647,0.9986088569441224,0.8682592480596714,0.00010192467766320689,True
ctt_test02,ctt_test02,cmf_can,0.0005,0.0003286428400315,0.8074179743223966,0.9934181658622203,0.8908125122958882,0.0005096233883160344,True
ctt_test02,ctt_test02,cmf_can,0.001,0.0002765420649666,0.829172610556348,0.9874708005946061,0.9014248328002327,0.0010022593303548677,True
ctt_test02,ctt_test02,cmf_can,0.005,0.0001893077860586,0.8796362339514978,0.9435730680948737,0.9104835732742709,0.005011296651774339,True
ctt_test02,ctt_test02,cmf_can,0.01,0.0001575929200043,0.894793152639087,0.8949527376493669,0.8948729380294248,0.010005605857271477,True
ctt_test02,ctt_test02,concat_fusion,0.0001,0.0699105560779571,0.26943651925820256,0.996044825313118,0.424140350877193,0.00010192467766320689,True
ctt_test02,ctt_test02,concat_fusion,0.0005,0.0482977218925952,0.4297432239657632,0.9877049180327869,0.598906560636183,0.0005096233883160344,True
ctt_test02,ctt_test02,concat_fusion,0.001,0.0372412577271461,0.5381597717546363,0.9808254793630159,0.6949913644214162,0.0010022593303548677,True
ctt_test02,ctt_test02,concat_fusion,0.005,0.0198587849736213,0.6990014265335235,0.930011862396204,0.7981268451593199,0.005011296651774339,True
ctt_test02,ctt_test02,concat_fusion,0.01,0.014343149960041,0.7384094151212554,0.8754756871035941,0.8011220739021087,0.010005605857271477,True
ctt_test02,ctt_test02,transformer,0.0001,0.999997854232788,0.0,0.0,0.0,0.00010192467766320689,True
ctt_test02,ctt_test02,transformer,0.0005,0.9999971389770508,0.0005349500713266762,0.07317073170731707,0.0010621348911311738,0.0006455229585336437,True
ctt_test02,ctt_test02,transformer,0.001,0.9999969005584716,0.0007132667617689016,0.06349206349206349,0.0014106859460412625,0.0010022593303548677,True
ctt_test02,ctt_test02,transformer,0.005,0.9999959468841552,0.005349500713266762,0.09202453987730061,0.010111223458038422,0.00502828409805154,True
ctt_test02,ctt_test02,transformer,0.01,0.999995231628418,0.00962910128388017,0.07637906647807638,0.0171021377672209,0.01109280241901235,True
ctt_test03,ctt_test03,cmf_can,0.0001,1.5338638092998738e-07,0.08323345318950592,0.9873617693522907,0.15352493244902973,0.00010147390852127146,True
ctt_test03,ctt_test03,cmf_can,0.0005,1.1963527413172417e-07,0.08496470901584766,0.9410029498525073,0.15585684621961646,0.0005073695426063573,True
ctt_test03,ctt_test03,cmf_can,0.001,1.0669175054545121e-07,0.0869623118923958,0.8920765027322405,0.15847591311734016,0.0010020548466475557,True
ctt_test03,ctt_test03,cmf_can,0.005,7.380475608442795e-08,0.09868158210147823,0.6522887323943662,0.17142857142857146,0.005010274233237778,True
ctt_test03,ctt_test03,cmf_can,0.01,6.27845224698831e-08,0.11532827273937941,0.5232628398791541,0.1890004364906155,0.010007864227910399,True
ctt_test03,ctt_test03,concat_fusion,0.0001,1.9200649603590136e-07,0.07977094153682247,0.9868204283360791,0.14760965993100048,0.00010147390852127146,True
ctt_test03,ctt_test03,concat_fusion,0.0005,1.237556261912687e-07,0.08469836196564123,0.9408284023668639,0.1554062309102016,0.0005073695426063573,True
ctt_test03,ctt_test03,concat_fusion,0.001,1.075572626518806e-07,0.08682913836729259,0.8919288645690835,0.15825242718446605,0.0010020548466475557,True
ctt_test03,ctt_test03,concat_fusion,0.005,5.868156449650997e-08,0.1053402583566387,0.6669477234401349,0.18194364577343297,0.005010274233237778,True
ctt_test03,ctt_test03,concat_fusion,0.01,4.0946257939822324e-08,0.13650286323078972,0.5650496141124587,0.21988630269226642,0.010007864227910399,True
ctt_test03,ctt_test03,transformer,0.0001,2.3206702337574825e-07,0.07537621520841657,0.9860627177700348,0.14004701224792776,0.00010147390852127146,True
ctt_test03,ctt_test03,transformer,0.0005,1.933751718752319e-07,0.09042482354507923,0.9443671766342142,0.1650461837627613,0.0005073695426063573,True
ctt_test03,ctt_test03,transformer,0.001,1.7509556471395626e-07,0.10014649087761353,0.9049338146811071,0.18033573141486808,0.0010020548466475557,True
ctt_test03,ctt_test03,transformer,0.005,1.4937448611362925e-07,0.12944466640031962,0.7110460863204097,0.21901757548445247,0.005010274233237778,True
ctt_test03,ctt_test03,transformer,0.01,1.4050873176074674e-07,0.14795578638966572,0.5847368421052631,0.23615687108088,0.010007864227910399,True
ctt_test04,ctt_test04,cmf_can,0.0001,0.0031214964110404,0.0033222591362126247,0.2631578947368421,0.006561679790026247,0.00010711962967213742,True
ctt_test04,ctt_test04,cmf_can,0.0005,0.0006494759581983,0.015282392026578074,0.25842696629213485,0.028858218318695113,0.0005049925398829335,True
ctt_test04,ctt_test04,cmf_can,0.001,6.735238457622472e-06,0.12757475083056477,0.5944272445820433,0.21006564551422316,0.0010023336776464288,True
ctt_test04,ctt_test04,cmf_can,0.005,2.647954033818678e-06,0.2431893687707641,0.3588235294117647,0.28990099009900994,0.005004016986112705,True
ctt_test04,ctt_test04,cmf_can,0.01,2.08019287128991e-06,0.2956810631229236,0.2539954337899543,0.27325759901750074,0.010000382570105971,True
ctt_test04,ctt_test04,concat_fusion,0.0001,0.1921614557504654,0.10232558139534884,0.9166666666666666,0.18410041841004182,0.00010711962967213742,True
ctt_test04,ctt_test04,concat_fusion,0.0005,0.0240019094198942,0.12425249169435217,0.7391304347826086,0.21274175199089876,0.0005049925398829335,True
ctt_test04,ctt_test04,concat_fusion,0.001,0.0009505429770797,0.1654485049833887,0.6552631578947369,0.26419098143236075,0.0010023336776464288,True
ctt_test04,ctt_test04,concat_fusion,0.005,9.793040953809395e-05,0.2292358803986711,0.34534534534534533,0.2755591054313099,0.005004016986112705,True
ctt_test04,ctt_test04,concat_fusion,0.01,5.457402221509256e-05,0.2571428571428571,0.22845336481700118,0.24195060956548922,0.010000382570105971,True
ctt_test04,ctt_test04,transformer,0.0001,0.9999998807907104,0.05847176079734219,0.8073394495412844,0.10904584882280048,0.00016067944450820612,True
ctt_test04,ctt_test04,transformer,0.0005,0.9999997615814208,0.14883720930232558,0.5973333333333334,0.23829787234042554,0.0011553617200351965,True
ctt_test04,ctt_test04,transformer,0.001,0.9999997615814208,0.14883720930232558,0.5973333333333334,0.23829787234042554,0.0011553617200351965,True
ctt_test04,ctt_test04,transformer,0.005,0.9999995231628418,0.2558139534883721,0.3075079872204473,0.27928908233587235,0.006633765637553081,True
ctt_test04,ctt_test04,transformer,0.01,0.9999994039535522,0.28039867109634553,0.21421319796954313,0.2428776978417266,0.011844370480890622,True
road,road,cmf_can,0.0001,0.9999942779541016,0.6827485380116959,0.9967982924226254,0.8104121475054229,0.00011176722612372631,True
road,road,cmf_can,0.0005,0.7778083086013794,0.7076023391812866,0.9862455425369333,0.8240051074696744,0.0005029525175567685,True
road,road,cmf_can,0.001,0.0118813076987862,0.7083333333333334,0.9728915662650602,0.8197969543147209,0.001005905035113537,True
road,road,cmf_can,0.005,1.7513060811324976e-05,0.7189327485380117,0.879695885509839,0.7912308930008045,0.005010897304547063,True
road,road,cmf_can,0.01,5.954730568191735e-06,0.72953216374269,0.7879984208448481,0.7576390206870373,0.010003166738073506,True
