metric,mean,std,n
f1,0.9318765710900707,0.002876768033242727,3
aupr,0.9349629661614601,0.015604733516622973,3
auroc,0.9898886208592504,0.002133330605976982,3
recall_at_fpr_1em04,0.1622760534948271,0.007285466835489523,3
recall_at_fpr_5em04,0.2038607115821347,0.03684704180072963,3
recall_at_fpr_1em03,0.23358566742366893,0.04828359245907613,3
fpr,0.0293551994815674,0.0014701239036368646,3
fnr,0.0039111784002018,0.0029959825364512054,3
