dataset,model,seed,label_ratio,epochs,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
road,transformer,42,1.0,5,0.9848809798117656,0.996309963099631,0.6907894736842105,0.8158860349665443,0.9040014251354139,0.7832744911337068,0.9377204468281584,0.00013039509714434736,0.3092105263157895,0.9999998807907104,0.0,0.0,0.0,1.000000000001,0.7043128654970761,0.8219236510983152,0.0004843246465361474,0.9999995231628418,0.7076023391812866,0.81999152901313,0.0009313935510310527,0.9999865293502808
road,stats_only,42,1.0,5,0.9217107711941013,0.22808152701391135,0.2576754385964912,0.24197700360391283,0.6003504365563275,0.19080665481440567,0.6642884471904758,0.044446100255201834,0.7423245614035088,0.8741918578743936,0.007675438596491228,0.015211879753712423,7.451148408248421e-05,0.9942892789840698,0.023757309941520467,0.045985143261407846,0.0004843246465361474,0.9907253384590149,0.04422514619883041,0.08319009969061533,0.0009686492930722948,0.9874314069747925
road,concat_fusion,42,1.0,5,0.9755224303869264,0.9318036966220523,0.5343567251461988,0.6792102206736353,0.8332429900600355,0.6642474686739245,0.8031552290993925,0.0019931821992064526,0.4656432748538012,0.3765985667705536,0.35928362573099415,0.5279269602577874,9.313935510310526e-05,0.920110285282135,0.46016081871345027,0.6263681592039801,0.00046569677551552634,0.7024913430213928,0.5007309941520468,0.6588122144746333,0.0009872771640929159,0.5597063302993774
road,cmf_can,42,1.0,5,0.9640014888601358,0.7166564228641672,0.42616959064327486,0.5344946137978455,0.7578857028426886,0.5266762919360375,0.775458338902631,0.008587448540506306,0.5738304093567251,0.9027040883898739,0.2013888888888889,0.3348526283804315,7.451148408248421e-05,0.9921448826789856,0.2708333333333333,0.42306594347701965,0.0004843246465361474,0.9855925440788269,0.3055555555555556,0.4612413793103448,0.0009872771640929159,0.9794122576713562
road,cmf_can,42,1.0,5,0.9831262517946082,0.9911894273127754,0.6578947368421053,0.7908611599297012,0.8910348131990637,0.772240675619966,0.8945782975443999,0.00029804593632993685,0.34210526315789475,0.9999995231628418,0.6078216374269005,0.7552225249772934,9.313935510310526e-05,0.9999997615814209,0.6772660818713451,0.8032076289553532,0.00046569677551552634,0.9999991655349731,0.7054093567251462,0.8186638388123012,0.0009127656800104316,0.9999852180480957
