dataset,setting,model,attack_type,gate_frame,gate_window,gate_context
ctt_test01,ctt_test01,cmf_can,DoS-3,0.40174659432434456,0.3338103588761353,0.2644430439283208
ctt_test01,ctt_test01,cmf_can,DoS-4,0.41546370748106765,0.31984313456619445,0.26469315772081314
ctt_test01,ctt_test01,cmf_can,force-neutral-3,0.5989498879577293,0.26884619207655797,0.13220390976696714
ctt_test01,ctt_test01,cmf_can,force-neutral-4,0.4409914977696477,0.24777911451398107,0.31122938954100315
ctt_test01,ctt_test01,cmf_can,normal,0.5119112903871773,0.2501949079579667,0.2378938015096015
ctt_test01,ctt_test01,cmf_can,rpm-3,0.5921633005449453,0.28153862834898463,0.1262980681872859
ctt_test01,ctt_test01,cmf_can,rpm-4,0.4862850909350348,0.22541874989134364,0.28829615721937085
ctt_test01,ctt_test01,cmf_can,standstill-3,0.46171363611725996,0.2454600236820478,0.2928263392761675
ctt_test01,ctt_test01,cmf_can,standstill-4,0.510875501884864,0.24516094046143383,0.24396354418534497
road,road,cmf_can,fuzzing,0.16705203571302046,0.606638385749915,0.22630958609721238
road,road,cmf_can,malfunction,0.37921761508498875,0.4794420786201954,0.14134030975401396
road,road,cmf_can,masquerade,0.5350297744855408,0.18063702754491615,0.2843331957528414
road,road,cmf_can,normal,0.3803216227617091,0.46812867868855523,0.1515496987737402
road,road,cmf_can,spoof,0.4853042388909069,0.2655587628224682,0.24913699850019874
