dataset,model,seed,label_ratio,calibration,threshold_policy,val_threshold,val_ece,test_ece,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,temperature,platt_coef,platt_intercept
ctt_test01,cmf_can,42,1.0,raw,val_f1,8.835110747895722e-07,0.012395015532336,0.0228728347896473,0.9852863806951704,1.0,0.5659596482152095,0.7228278823918071,0.8576352406365297,0.9825685832790748,0.99492399718099,0.0,0.4340403517847905,8.835110747895722e-07,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,2.818119924086204e-07,0.9699948266942576,0.9801359121798224,0.000326743996079,1.2356294121218525e-07,0.9705121572684946,0.9722726094843224,0.0009076222113307,9.007458601217877e-08,,,
ctt_test01,cmf_can,42,1.0,raw,val_fpr_1em04,1.877959903140436e-07,0.012395015532336,0.0228728347896473,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.990639027186746,0.9825685832790748,0.99492399718099,0.0001452195538129,0.0315571650284531,1.877959903140436e-07,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,2.818119924086204e-07,0.9699948266942576,0.9801359121798224,0.000326743996079,1.2356294121218525e-07,0.9705121572684946,0.9722726094843224,0.0009076222113307,9.007458601217877e-08,,,
ctt_test01,cmf_can,42,1.0,raw,val_fpr_5em04,1.877959903140436e-07,0.012395015532336,0.0228728347896473,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.990639027186746,0.9825685832790748,0.99492399718099,0.0001452195538129,0.0315571650284531,1.877959903140436e-07,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,2.818119924086204e-07,0.9699948266942576,0.9801359121798224,0.000326743996079,1.2356294121218525e-07,0.9705121572684946,0.9722726094843224,0.0009076222113307,9.007458601217877e-08,,,
ctt_test01,cmf_can,42,1.0,raw,val_fpr_1em03,1.0122375471155465e-07,0.012395015532336,0.0228728347896473,0.9984391989056856,0.9837355718782792,0.9699948266942576,0.976816879395676,0.9880046467664828,0.9825685832790748,0.99492399718099,0.000562725771025,0.0300051733057423,1.0122375471155465e-07,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,2.818119924086204e-07,0.9699948266942576,0.9801359121798224,0.000326743996079,1.2356294121218525e-07,0.9705121572684946,0.9722726094843224,0.0009076222113307,9.007458601217877e-08,,,
ctt_test01,cmf_can,42,1.0,temperature,val_f1,0.0233369775116444,0.0031989484365834,0.0139940311149142,0.9852863806951704,1.0,0.5659596482152095,0.7228278823918071,0.8576352406365297,0.9825685927547426,0.9949239783993612,0.0,0.4340403517847905,0.0233369775116444,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,0.01728973723948,0.9699948266942576,0.9801359121798224,0.000326743996079,0.0139109911397099,0.9705121572684946,0.9722726094843224,0.0009076222113307,0.0127959502860903,3.732988595962525,,
ctt_test01,cmf_can,42,1.0,temperature,val_fpr_1em04,0.0155361052602529,0.0031989484365834,0.0139940311149142,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.990639027186746,0.9825685927547426,0.9949239783993612,0.0001452195538129,0.0315571650284531,0.0155361052602529,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,0.01728973723948,0.9699948266942576,0.9801359121798224,0.000326743996079,0.0139109911397099,0.9705121572684946,0.9722726094843224,0.0009076222113307,0.0127959502860903,3.732988595962525,,
ctt_test01,cmf_can,42,1.0,temperature,val_fpr_5em04,0.0155361052602529,0.0031989484365834,0.0139940311149142,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.990639027186746,0.9825685927547426,0.9949239783993612,0.0001452195538129,0.0315571650284531,0.0155361052602529,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,0.01728973723948,0.9699948266942576,0.9801359121798224,0.000326743996079,0.0139109911397099,0.9705121572684946,0.9722726094843224,0.0009076222113307,0.0127959502860903,3.732988595962525,,
ctt_test01,cmf_can,42,1.0,temperature,val_fpr_1em03,0.0131969153881073,0.0031989484365834,0.0139940311149142,0.9984391989056856,0.9837355718782792,0.9699948266942576,0.976816879395676,0.9880046467664828,0.9825685927547426,0.9949239783993612,0.000562725771025,0.0300051733057423,0.0131969153881073,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,0.01728973723948,0.9699948266942576,0.9801359121798224,0.000326743996079,0.0139109911397099,0.9705121572684946,0.9722726094843224,0.0009076222113307,0.0127959502860903,3.732988595962525,,
ctt_test01,cmf_can,42,1.0,platt,val_f1,0.9999787664413452,0.0056339760154014,0.0036746986697969,0.9852863806951704,1.0,0.5659596482152095,0.7228278823918071,0.8576352406365297,0.9825685843015632,0.9949239971809904,0.0,0.4340403517847905,0.9999787664413452,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,0.9952111840248108,0.9699948266942576,0.9801359121798224,0.000326743996079,0.8060619235038757,0.9705121572684946,0.9722726094843224,0.0009076222113307,0.4811909794807434,,4.744818210601807,76.89814758300781
ctt_test01,cmf_can,42,1.0,platt,val_fpr_1em04,0.9680414795875548,0.0056339760154014,0.0036746986697969,0.9987899407246326,0.9957446808510638,0.9684428349715468,0.981904012588513,0.990639027186746,0.9825685843015632,0.9949239971809904,0.0001452195538129,0.0315571650284531,0.9680414795875548,0.9679255043973098,0.9831844456121912,3.630488845323023e-05,0.9952111840248108,0.9699948266942576,0.9801359121798224,0.000326743996079,0.8060619235038757,0.9705121572684946,0.9722726094843224,0.0009076222113307,0.4811909794807434,,4.744818210601807,76.89814758300781
