dataset,model,seed,label_ratio,score,threshold_policy,f1,aupr,recall_at_fpr_1em04,fpr,test_ece
ctt_test01,cmf_can,42,1.0,attack_prob,val_fpr_1em04,0.981904012588513,0.9825685832790748,0.9679255043973098,0.0001452195538129,0.0228728347896473
ctt_test02,cmf_can,42,1.0,energy_ood,val_fpr_1em04,0.2005055064090991,0.9328142834173848,0.7590941512125535,0.7513377613943296,0.2189045045464474
ctt_test03,cmf_can,42,1.0,attack_margin,val_fpr_5em04,0.3161901861509764,0.3044429685189416,0.0832334531895059,0.1852786727212765,0.0437777019503493
ctt_test04,cmf_can,42,1.0,energy_ood,val_fpr_1em04,0.3144752243464689,0.1793610804710041,0.0026578073089701,0.0050116683882321,0.0744271172565544
