dataset,model,seed,label_ratio,baseline_score,baseline_policy,baseline_f1,baseline_aupr,baseline_recall_at_fpr_1em04,baseline_fpr,best_f1_score,best_f1_policy,best_f1,best_f1_aupr,best_f1_recall_at_fpr_1em04,best_f1_fpr,best_lowfpr_score,best_lowfpr_policy,best_lowfpr_f1_at_1em04,best_lowfpr_aupr,best_lowfpr_recall_at_fpr_1em04,best_lowfpr_actual_fpr_at_1em04
ctt_test02,cmf_can,42,1.0,model_attack_prob,val_f1,0.160038811123953,0.9324805949532672,0.7680099857346647,1.0,ensemble_a0.75_stats_robust_mean,val_fpr_1em03,0.20544,0.9270298005949468,0.7355563480741797,0.0,model_attack_prob,val_f1,0.8683467741935484,0.9324805949532672,0.7680099857346647,8.493723138600574e-05
ctt_test02,cmf_can,2024,1.0,model_attack_prob,val_f1,0.160038811123953,0.9073007098311991,0.7519614835948645,1.0,ensemble_a0.75_stats_robust_mean,val_fpr_1em03,0.2137283006848224,0.9263409147004767,0.7243223965763196,0.0,ensemble_a0.75_stats_diag_mahal,val_f1,0.8730047184017669,0.9244478295955147,0.775320970042796,8.493723138600574e-05
ctt_test02,cmf_can,2026,1.0,model_attack_prob,val_f1,0.160038811123953,0.931392573418716,0.8102710413694721,1.0,ensemble_a0.75_stats_diag_mahal,val_f1,0.3044595616024187,0.932653910472866,0.880527817403709,0.0,ensemble_a0.75_stats_diag_mahal,val_f1,0.936025021324993,0.932653910472866,0.880527817403709,8.493723138600574e-05
ctt_test03,cmf_can,42,1.0,model_attack_prob,val_f1,0.0846830761382476,0.3044429685189416,0.0832334531895059,0.0,stats_diag_mahal,val_fpr_1em04,0.2968590543145481,0.8144621144850611,0.2233320015980823,1.2684238565158933e-05,stats_diag_mahal,val_f1,0.3648428151854672,0.8144621144850611,0.2233320015980823,8.878966995611254e-05
ctt_test03,cmf_can,2024,1.0,model_attack_prob,val_f1,0.0584356819650937,0.2494043648468698,0.0611266480223731,0.0,stats_diag_mahal,val_fpr_1em04,0.2968590543145481,0.8144621144850611,0.2233320015980823,1.2684238565158933e-05,stats_diag_mahal,val_f1,0.3648428151854672,0.8144621144850611,0.2233320015980823,8.878966995611254e-05
ctt_test03,cmf_can,2026,1.0,model_attack_prob,val_f1,0.0797851937092443,0.1977728830262421,0.0713810094553202,0.0,stats_diag_mahal,val_fpr_1em04,0.2968590543145481,0.8144621144850611,0.2233320015980823,1.2684238565158933e-05,stats_diag_mahal,val_f1,0.3648428151854672,0.8144621144850611,0.2233320015980823,8.878966995611254e-05
ctt_test04,cmf_can,42,1.0,model_attack_prob,val_f1,0.028243239786129,0.1655882870835184,0.0033222591362126,0.5782088067638395,ensemble_a0.25_isolation_forest,val_fpr_1em03,0.2182920667003537,0.1041861835811303,0.0073089700996677,0.0019740617468151,isolation_forest,val_f1,0.2024866785079928,0.1775156028056262,0.1136212624584717,9.946822755269905e-05
ctt_test04,cmf_can,2024,1.0,model_attack_prob,val_f1,0.0358893777498428,0.2773919660391631,0.0411960132890365,0.4666819694709055,ensemble_a0.75_isolation_forest,val_fpr_1em03,0.230811105062602,0.1295941932243403,0.0,0.0009181682543326,isolation_forest,val_f1,0.174383644016837,0.1612614195978847,0.0963455149501661,9.946822755269905e-05
ctt_test04,cmf_can,2026,1.0,model_attack_prob,val_f1,0.0211693282301702,0.2200726892424336,0.0,0.8489001109453307,ensemble_a0.25_stats_diag_mahal,val_f1,0.2338227297444263,0.101339829740964,0.0,0.0009105168522131,isolation_forest,val_f1,0.1799640071985602,0.1724460345749581,0.0996677740863787,9.181682543326065e-05
