dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
road,frame_only,42,1.0,20,0.2,0.9838352328116414,1.0,0.6666666666666666,0.8,0.8957886181865199,0.8041419198928077,0.9347450529385575,0.0,0.3333333333333333,0.9999916553497314,0.7057748538011696,0.826626712328767,9.313935510310526e-05,0.9995120763778687,0.7083333333333334,0.8248563524154076,0.00046569677551552634,0.9804782271385193,0.7101608187134503,0.8215644820295983,0.0009500214220516737,0.5591414570808411
road,wo_stats,42,1.0,20,0.2,0.9844378666761198,1.0,0.679093567251462,0.8088811493252068,0.9003849226172245,0.8003791273183097,0.9406298193488677,0.0,0.32090643274853803,0.9999992847442627,0.7035818713450293,0.8254716981132075,5.588361306186316e-05,0.9999896287918091,0.7068713450292398,0.823679727427598,0.0004843246465361474,0.9977335929870605,0.70796783625731,0.8197206940330088,0.0009872771640929159,0.20719143748283386
road,wo_context,42,1.0,20,0.2,0.983888406387919,0.9994532531437944,0.6681286549707602,0.8008762322015334,0.8962403936768937,0.7716970610740198,0.9077701425293576,1.8627871020621053e-05,0.33187134502923976,0.9999997615814209,0.7017543859649122,0.8238575413001502,9.313935510310526e-05,0.9999949932098389,0.7076023391812866,0.8259385665529011,0.00029804593632993685,0.9954083561897278,0.7083333333333334,0.8199703829067062,0.0009872771640929159,0.0005197181017138064
road,wo_xattn,42,1.0,20,0.2,0.9828958329640723,1.0,0.6472953216374269,0.785888617705791,0.8884903667679891,0.7959952728973596,0.9351803058086385,0.0,0.3527046783625731,0.999997615814209,0.7032163742690059,0.82486602357985,9.313935510310526e-05,0.9281439781188965,0.70796783625731,0.8251331203407881,0.0004098131624536632,0.0713866651058197,0.7097953216374269,0.822010582010582,0.0008755099379691895,0.0002439028030494228
road,wo_gate,42,1.0,20,0.2,0.9837466101845123,1.0,0.6648391812865497,0.7986827661909989,0.8951071080938833,0.7852412396188156,0.922854520657492,0.0,0.33516081871345027,0.9999973773956299,0.7065058479532164,0.8271287976037656,9.313935510310526e-05,0.9471548795700073,0.7076023391812866,0.8257624226914054,0.0003166738073505579,0.0616205558180809,0.70796783625731,0.8242553191489361,0.0005029525175567685,0.004008878488093615
