dataset,model,seed,label_ratio,epochs,aux_loss_weight,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
road,reliable_cmf_can,42,1.0,50,0.2,ce,2.0,,none,aupr,balanced,0.0,0.1,0.9830021801166273,0.9988770353733858,0.6502192982456141,0.7876909453176887,0.8894188148547251,0.7387333636604637,0.8167502047704126,3.725574204124211e-05,0.34978070175438597,0.9999957084655762,0.6933479532163743,0.8180250107805088,9.313935510310526e-05,0.9999746084213257,0.7076023391812866,0.825410360264336,0.0003539295493918,0.9973827004432678,0.7083333333333334,0.8222316504030548,0.0007451148408248421,0.8376075029373169
road,reliable_cmf_can,42,1.0,50,0.2,ce,2.0,,none,recall_at_fpr_1em03,balanced,0.0,0.1,0.9842606214218614,0.9551724137931035,0.7086988304093568,0.8136802349979018,0.9027317453026373,0.7387333636604637,0.8167502047704126,0.0016951362628765158,0.2913011695906433,0.02277650311589241,0.6933479532163743,0.8180250107805088,9.313935510310526e-05,0.9999746084213257,0.7076023391812866,0.825410360264336,0.0003539295493918,0.9973827004432678,0.7083333333333334,0.8222316504030548,0.0007451148408248421,0.8376075029373169
ctt_test02,reliable_cmf_can,42,1.0,50,0.2,ce,2.0,,none,recall_at_fpr_1em03,balanced,0.0,0.1,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.8327280855103231,0.9520923405470689,1.0,0.0,3.184606782724586e-07,0.13177603423680456,0.2326826196473552,8.493723138600574e-05,0.04354606196284294,0.3257845934379458,0.48954983922829587,0.0004926359420388333,0.023258525878190994,0.45399429386590584,0.6200681928884559,0.0009852718840776666,0.017188409343361855
