dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test01,transformer,42,1.0,15,0.2,0.9976500298130546,1.0,0.9306777030522504,0.9640943193997856,0.9814397915078557,0.9843808721075399,0.9968966598253645,0.0,0.0693222969477496,0.6055496573451536,0.9715468184169684,0.9850511408339889,3.6304888453230226e-05,2.597585080366116e-07,0.9736161407139162,0.9812304483837331,0.0003812013287589174,2.0429632741070236e-07,0.9741334712881531,0.9743855109961189,0.0008894697671041406,1.813609173950681e-07
ctt_test01,concat_fusion,42,1.0,15,0.2,0.9894251341587458,1.0,0.6880496637351268,0.8152007355194606,0.9048787819282249,0.975534988105138,0.9875688953576575,0.0,0.31195033626487323,2.8958977691218236e-06,0.9555095706156234,0.9764736981231827,5.445733267984534e-05,1.9529724681888183e-07,0.9622348680807036,0.9753539590980598,0.0003812013287589174,1.2949816152740823e-07,0.9632695292291774,0.9735947712418301,0.0005445733267984534,1.2079743783033337e-07
ctt_test01,cmf_can,42,1.0,15,0.2,0.9979481603591597,1.0,0.9394723228142783,0.9687916777807415,0.9838654431335367,0.9781093030763409,0.9907451786831105,0.0,0.060527677185721676,5.481837160914888e-07,0.9653388515261252,0.9815886375591795,5.445733267984534e-05,1.6003291136712505e-07,0.9679255043973098,0.976768467762986,0.000490115994118608,1.200778569909744e-07,0.9684428349715468,0.9701995335579165,0.000980231988237216,1.0197000221978669e-07
ctt_test02,transformer,42,1.0,15,0.2,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.048854396023610865,0.11517423752235117,1.0,0.0,0.6055488467219846,0.0,0.0,0.0,1.000000000001,0.0005349500713266762,0.0010640184429863452,0.00047564849576163217,0.9999972581863403,0.0005349500713266762,0.0010640184429863452,0.00047564849576163217,0.9999972581863403
ctt_test02,concat_fusion,42,1.0,15,0.2,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.8291933931589583,0.9387347083600799,1.0,0.0,2.8958961138414665e-06,0.26943651925820256,0.42419988770353734,8.493723138600574e-05,0.06989535689353943,0.4299215406562054,0.599155069582505,0.0004926359420388333,0.04828481376171112,0.5381597717546363,0.6950713956701982,0.0009852718840776666,0.03723800554871559
ctt_test02,cmf_can,42,1.0,15,0.2,0.08697944939899185,0.08697944939899185,1.0,0.16003881112395302,0.08001940556197651,0.9324805949532673,0.9683574023354515,1.0,0.0,5.481834659804459e-07,0.7680099857346647,0.8683467741935484,8.493723138600574e-05,0.00045292312279343605,0.8074179743223966,0.8909878000787091,0.00047564849576163217,0.0003289463056717068,0.829172610556348,0.9015122140364482,0.0009852718840776666,0.00027676677564159036
ctt_test03,transformer,42,1.0,15,0.2,0.9141950502044078,1.0,0.013317352510320948,0.026284662899198317,0.49070237627499214,0.27078127157703796,0.6187847176131567,0.0,0.986682647489679,0.6055492734912412,0.07537621520841657,0.14006434050977482,8.878966995611254e-05,2.3230683154906728e-07,0.09042482354507923,0.16508631169462676,0.0004820010654760395,1.9359180214451044e-07,0.10014649087761353,0.18035735699724187,0.0009893706080823968,1.7530476270621875e-07
ctt_test03,concat_fusion,42,1.0,15,0.2,0.9155153045270826,1.0,0.02849913437208683,0.05541887867409038,0.5055994927403706,0.3281309018456552,0.7924485771694834,0.0,0.9715008656279132,2.8958964685444003e-06,0.07977094153682247,0.14768244575936884,5.073695426063573e-05,2.0019798796511168e-07,0.08469836196564123,0.15542521994134897,0.0004946853040411984,1.252263643891638e-07,0.08682913836729259,0.15827163490714893,0.0009893706080823968,1.0795805138741343e-07
ctt_test03,cmf_can,42,1.0,15,0.2,0.9168818835628337,1.0,0.044213610334265546,0.08468307613824767,0.5205736600201955,0.3044429685189416,0.7792276774065259,0.0,0.9557863896657345,5.481834659804459e-07,0.08323345318950592,0.15354379068910454,8.878966995611254e-05,1.5679128750889504e-07,0.08496470901584766,0.15589492974954186,0.0004820010654760395,1.200090622432981e-07,0.0869623118923958,0.15849514563106798,0.0009893706080823968,1.0682981610443676e-07
ctt_test04,transformer,42,1.0,15,0.2,0.026293494704992437,0.011323914663470772,0.9794019933554817,0.022388966522875024,0.026277962256073158,0.17325583037801626,0.6453118473827439,0.9846818929568844,0.020598006644518274,0.6055499100688475,0.0,0.0,0.0,1.000000000001,0.05847176079734219,0.10904584882280048,0.00016067944450820612,0.9999998807907104,0.05847176079734219,0.10904584882280048,0.00016067944450820612,0.9999998807907104
