dataset,model,seed,label_ratio,epochs,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
road,transformer,42,0.01,5,0.8675800705436112,0.038409046597777344,0.0720029239766082,0.05009535918626828,0.48946233860068844,0.05103473145838392,0.4247175222251744,0.09187265987370304,0.9279970760233918,0.5278121024370194,0.0043859649122807015,0.00872093023255814,7.451148408248421e-05,0.6000159978866577,0.008406432748538011,0.01652892561983471,0.00044706890449490525,0.5870494246482849,0.011330409356725146,0.022009229676961308,0.0009313935510310527,0.5821964740753174
road,concat_fusion,42,0.01,5,0.7893971888902674,0.06612903225806452,0.2547514619883041,0.10500150647785478,0.4928293926796779,0.060816213134125385,0.5707360210900181,0.18335413445597304,0.7452485380116959,0.5137897133827211,0.0010964912280701754,0.0021889821233126595,3.725574204124211e-05,0.652339518070221,0.0025584795321637425,0.005059631369714492,0.00044706890449490525,0.64288330078125,0.003289473684210526,0.0064631956912028716,0.0007451148408248421,0.6406686305999756
road,cmf_can,42,0.01,5,0.7671351849554228,0.061467116357504216,0.26644736842105265,0.09989038092628118,0.4830796950538452,0.054549627713728836,0.5421431105527107,0.20734683233053294,0.7335526315789473,0.6094276174902916,0.0,0.0,0.0,1.000000000001,0.0007309941520467836,0.0014477017734346724,0.00046569677551552634,0.782162606716156,0.0010964912280701754,0.002148997134670487,0.0009872771640929159,0.7778220772743225
road,transformer,42,0.05,5,0.9478012726209256,0.4273801250868659,0.22478070175438597,0.2946107784431138,0.6337543184799062,0.26524823005352177,0.7349567141655591,0.015349365720991747,0.7752192982456141,0.8617296218872069,0.013157894736842105,0.025927259632697153,9.313935510310526e-05,0.9472535252571106,0.05701754385964912,0.10692254969156957,0.0004843246465361474,0.9360145330429077,0.07529239766081872,0.1375626043405676,0.0009872771640929159,0.9305933117866516
road,concat_fusion,42,0.05,5,0.9299704000425388,0.172859450726979,0.11732456140350878,0.13977792292619204,0.5516386958619135,0.1372436204011441,0.6282482520303018,0.028612409887673936,0.8826754385964912,0.7427453771233559,0.025950292397660817,0.050533807829181494,5.588361306186316e-05,0.9072265028953552,0.04203216374269006,0.07994438651372959,0.0004843246465361474,0.8863478899002075,0.04824561403508772,0.0905349794238683,0.0008941378089898105,0.878625750541687
road,cmf_can,42,0.05,5,0.9182899377869157,0.19558154645873943,0.22002923976608188,0.20708634330925352,0.5820059463593659,0.17092244497271936,0.6797597621482314,0.04612260864705773,0.7799707602339181,0.7691279351711274,0.015716374269005847,0.030890804597701146,9.313935510310526e-05,0.9337547421455383,0.02850877192982456,0.05500705218617771,0.0004098131624536632,0.9243028163909912,0.03983918128654971,0.07527624309392265,0.0009500214220516737,0.9162223935127258
