dataset,selection,method,score_source,threshold_policy,threshold,precision,recall,f1,aupr,auroc,fpr,attack_events,event_recall,median_detection_delay_s,p90_detection_delay_s,false_alarm_windows,false_alarm_events,test_duration_h,false_alarm_events_per_hour,false_alarm_windows_per_hour,calibration,val_threshold,val_ece,test_ece,accuracy,macro_f1,fnr,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test02,best_window_f1,normality:stats_robust_mean_rollmax9,stats_robust_mean_rollmax9,val_fpr_1em04,0.8975012898593462,0.3540056379012458,0.6941868758915835,0.4688949111713339,0.3621812406936306,0.8776400045466258,0.12067881835323696,2788,0.6327116212338594,0.0,0.0,7104,340,0.6786022650533252,501.0298631603926,10468.576905563026,stats_robust_mean_rollmax9,0.8975012898593462,0.08528940893417955,0.5224116795605714,0.863218301667313,0.6951978227582158,0.30581312410841655,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,best_event_recall,supervised:cmf_can,cmf_can,saved_val_threshold,5.481834659804459e-07,0.08697944939899185,1.0,0.16003881112395302,0.9324812391796663,0.9683571554601179,1.0,2788,1.0,0.0,0.0,58867,600,0.6786022650533252,884.170346753634,86747.42633724363,,,,,,,,,,,,,,,,,,,
ctt_test02,best_event_recall_under_10_false_alarm_events_per_hour,normality:stats_ledoit_mahal_rollmean9,stats_ledoit_mahal_rollmean9,val_fpr_1em04,0.9999999998359792,0.0,0.0,0.0,0.9158279611234298,0.9396280487165064,0.0,2788,0.0,,,0,0,0.6786022650533252,0.0,0.0,stats_ledoit_mahal_rollmean9,0.9999999998359792,0.016337527855151295,0.08694156912275508,0.9130205506010082,0.4772664623566993,1.0,0.8924750356633381,0.9427387455264645,8.493723138600574e-05,4.6811986746413734e-05,0.8931883024251069,0.9426931401148019,0.00016987446277201147,4.397810197230621e-05,0.8931883024251069,0.9426931401148019,0.00016987446277201147,4.397810197230621e-05
ctt_test03,best_window_f1,normality:stats_ledoit_mahal,stats_ledoit_mahal,val_fpr_1em03,3.788209178184623e-09,0.8841523863475429,0.8314023172193368,0.8569663692518874,0.8458564109387728,0.9184967587082923,0.010375707146300008,2623,0.9153640869233702,0.0,0.06791901588439941,818,814,1.654551300406456,491.97628372117157,494.3938575969513,stats_ledoit_mahal,3.788209178184623e-09,0.016174117990859535,0.08696306361793348,0.9758648244872433,0.9218934196313825,0.1685976827806632,0.2540950858969237,0.40492359932088284,8.878966995611254e-05,1.1173070175336706e-08,0.4153682247969104,0.5847942251804631,0.0004946853040411984,9.023632307040613e-09,0.49513916633373284,0.6577620521892967,0.0009893706080823968,8.726191626680305e-09
ctt_test03,best_event_recall,normality:stats_ledoit_mahal_rollmean9,stats_ledoit_mahal_rollmean9,val_f1,1.548497052855942e-08,0.713004916610431,0.9849513916633373,0.827200536852701,0.8822810736812622,0.989794140703412,0.037760978208478145,2623,0.9775066717499047,0.0,0.0,2977,2499,1.654551300406456,1510.3792788933756,1799.2793570490514,stats_ledoit_mahal_rollmean9,1.548497052855942e-08,0.016337527855151295,0.08696303283689186,0.9642141591485518,0.9036204219028252,0.015048608336662671,0.0,0.0,8.878966995611254e-05,7.552938211623918e-06,0.26022106805167133,0.4113251236711925,0.0004820010654760395,8.70482866776969e-08,0.3186842455719803,0.47955911823647296,0.0009893706080823968,7.589410973024394e-08
ctt_test03,best_event_recall_under_10_false_alarm_events_per_hour,normality:stats_ledoit_mahal,stats_ledoit_mahal,val_fpr_1em04,1.0871534063852019e-08,0.9949571356530509,0.26275136502863233,0.41571849978929626,0.8458564109387728,0.9184967587082923,0.00012684238565158933,2623,0.13495996950057187,0.0,0.13924641609191896,10,10,1.654551300406456,6.043934689449283,6.043934689449283,stats_ledoit_mahal,1.0871534063852019e-08,0.016174117990859535,0.08696306361793348,0.9357707853196984,0.6908680365516744,0.7372486349713677,0.2540950858969237,0.40492359932088284,8.878966995611254e-05,1.1173070175336706e-08,0.4153682247969104,0.5847942251804631,0.0004946853040411984,9.023632307040613e-09,0.49513916633373284,0.6577620521892967,0.0009893706080823968,8.726191626680305e-09
ctt_test04,best_window_f1,normality:stats_robust_mean,stats_robust_mean,val_f1,0.21916452451046564,0.09060402684563758,0.10764119601328903,0.09839052535681748,0.0345093053665596,0.5580766306987217,0.012441179846206817,681,0.11013215859030837,0.0,0.09151473045349151,1626,1435,1.9195711982912487,747.5627896883424,847.0641784203796,stats_robust_mean,0.21916452451046564,0.01729025136890764,0.10254118126505897,0.9775416036308623,0.5435098540145277,0.892358803986711,0.0,0.0,9.946822755269903e-05,0.9084477207953933,0.0,0.0,0.0004973411377634952,0.8572107271804064,0.011960132890365448,0.021978021978021976,0.0008799112437354145,0.3326792554218187
ctt_test04,best_event_recall,normality:stats_ledoit_mahal,stats_ledoit_mahal,val_f1,5.243461338807594e-08,0.011384266263237519,1.0,0.022512247111177594,0.18221328833366118,0.6108705681445693,1.0,681,1.0,0.0,0.0,130695,475,1.9195711982912487,247.4510976320297,68085.51832635394,stats_ledoit_mahal,5.243461338807594e-08,0.016174117990859535,0.011390813676606217,0.011384266263237519,0.011256123555588797,0.0,0.13089700996677742,0.2298716452742124,9.181682543326065e-05,1.7287546608460188e-06,0.15813953488372093,0.26327433628318586,0.0004973411377634952,1.3412865419155147e-06,0.1707641196013289,0.2725344644750795,0.00094877386281036,1.2636159064979052e-06
ctt_test04,best_event_recall_under_10_false_alarm_events_per_hour,normality:stats_robust_mean_rollmean9,stats_robust_mean_rollmean9,val_f1,0.2945172296894231,0.06748466257668712,0.007308970099667774,0.013189448441247002,0.0520373018346091,0.5725246792670771,0.0011630131221546348,681,0.00881057268722467,0.0,0.1060100793838501,152,16,1.9195711982912487,8.33519486760521,79.1843512422495,stats_robust_mean_rollmean9,0.2945172296894231,0.01975062741002664,0.13035240792502306,0.9875491679273828,0.503462254631841,0.9926910299003322,0.0,0.0,0.0,1.0,0.0,0.0,0.0004973411377634952,0.7892640236916171,0.0,0.0,0.0009946822755269903,0.3503795921754196
