dataset,model,seed,label_ratio,score,calibration,threshold_policy,val_threshold,val_ece,test_ece,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test03,cmf_can,2024,1.0,ensemble_a0.25_stats_tail_count,ensemble_a0.25_stats_tail_count,val_fpr_5em04,0.987404339189751,0.4822884561851633,0.4114791684241315,0.9161175257970746,0.7366548042704626,0.0551338393927287,0.1025895180275058,0.5292960103577328,0.5085211766818619,0.8764101510922376,0.0018772673076435,0.9448661606072712,0.987404339189751,0.0122519643094952,0.0241850683491062,8.878966995611254e-05,0.9978427152851987,0.0205087228658942,0.0399896130875097,0.0004946853040411,0.9962147820681426,0.0410174457317885,0.0780240658644711,0.0009893706080823,0.99255774637697
ctt_test03,cmf_can,2024,1.0,ensemble_a0.25_stats_tail_count,ensemble_a0.25_stats_tail_count,val_fpr_1em03,0.9853871856859092,0.4822884561851633,0.4114791684241315,0.9161638505101508,0.7170418006430869,0.0593953921960314,0.1097036034928053,0.532857185702699,0.5085211766818619,0.8764101510922376,0.0022324259874679,0.9406046078039686,0.9853871856859092,0.0122519643094952,0.0241850683491062,8.878966995611254e-05,0.9978427152851987,0.0205087228658942,0.0399896130875097,0.0004946853040411,0.9962147820681426,0.0410174457317885,0.0780240658644711,0.0009893706080823,0.99255774637697
ctt_test03,cmf_can,2024,1.0,ensemble_a0.5_stats_tail_count,ensemble_a0.5_stats_tail_count,val_f1,0.98922809579139,0.4818977064820848,0.4110884183626804,0.9159206457665002,0.7588357588357588,0.0486083366626714,0.0913642052565707,0.52364256503357,0.4269164257279406,0.8489015013587744,0.0014713716735584,0.9513916633373284,0.98922809579139,0.0187774670395525,0.0368290453180096,8.878966995611254e-05,0.996863207140918,0.0342255959515248,0.0658552210121716,0.0004946853040411,0.9946327292326776,0.0404847516313756,0.0770498035736915,0.0009893706080823,0.9923323668991136
ctt_test03,cmf_can,2024,1.0,ensemble_a0.5_stats_tail_count,ensemble_a0.5_stats_tail_count,val_fpr_1em04,0.9878769806586944,0.4818977064820848,0.4110884183626804,0.9159553893013076,0.7377358490566037,0.0520708483153549,0.0972757805697226,0.5266009038586975,0.4269164257279406,0.8489015013587744,0.001763109160557,0.9479291516846452,0.9878769806586944,0.0187774670395525,0.0368290453180096,8.878966995611254e-05,0.996863207140918,0.0342255959515248,0.0658552210121716,0.0004946853040411,0.9946327292326776,0.0404847516313756,0.0770498035736915,0.0009893706080823,0.9923323668991136
ctt_test03,cmf_can,2024,1.0,ensemble_a0.5_stats_tail_count,ensemble_a0.5_stats_tail_count,val_fpr_5em04,0.9878769806586944,0.4818977064820848,0.4110884183626804,0.9159553893013076,0.7377358490566037,0.0520708483153549,0.0972757805697226,0.5266009038586975,0.4269164257279406,0.8489015013587744,0.001763109160557,0.9479291516846452,0.9878769806586944,0.0187774670395525,0.0368290453180096,8.878966995611254e-05,0.996863207140918,0.0342255959515248,0.0658552210121716,0.0004946853040411,0.9946327292326776,0.0404847516313756,0.0770498035736915,0.0009893706080823,0.9923323668991136
ctt_test03,cmf_can,2024,1.0,ensemble_a0.5_stats_tail_count,ensemble_a0.5_stats_tail_count,val_fpr_1em03,0.984638006025521,0.4818977064820848,0.4110884183626804,0.916476542323416,0.7246596066565809,0.0637901185244373,0.1172582619339045,0.5367113560526541,0.4269164257279406,0.8489015013587744,0.0023085314188589,0.9362098814755626,0.984638006025521,0.0187774670395525,0.0368290453180096,8.878966995611254e-05,0.996863207140918,0.0342255959515248,0.0658552210121716,0.0004946853040411,0.9946327292326776,0.0404847516313756,0.0770498035736915,0.0009893706080823,0.9923323668991136
ctt_test03,cmf_can,2024,1.0,ensemble_a0.75_stats_tail_count,ensemble_a0.75_stats_tail_count,val_f1,0.9891506959232172,0.4821128538949333,0.4113034950499643,0.9168008153149502,0.773109243697479,0.0612598215474763,0.1135241855873642,0.5349381666742338,0.3421124090181343,0.7834633845323526,0.0017123722062964,0.9387401784525236,0.9891506959232172,0.035024637102144,0.0676179457513819,8.878966995611254e-05,0.9959553359258646,0.0402184045811692,0.0769426751592356,0.0004946853040411,0.9939685546303656,0.0464775602610201,0.087953629032258,0.0009893706080823,0.9920283840397464
ctt_test03,cmf_can,2024,1.0,ensemble_a0.75_stats_tail_count,ensemble_a0.75_stats_tail_count,val_fpr_1em04,0.9862615601436082,0.4821128538949333,0.4113034950499643,0.9174377801197494,0.7423469387755102,0.0775069916100679,0.1403593392017364,0.5484979280056225,0.3421124090181343,0.7834633845323526,0.0025622161901621,0.922493008389932,0.9862615601436082,0.035024637102144,0.0676179457513819,8.878966995611254e-05,0.9959553359258646,0.0402184045811692,0.0769426751592356,0.0004946853040411,0.9939685546303656,0.0464775602610201,0.087953629032258,0.0009893706080823,0.9920283840397464
ctt_test03,cmf_can,2024,1.0,ensemble_a0.75_stats_tail_count,ensemble_a0.75_stats_tail_count,val_fpr_5em04,0.9850065323169668,0.4821128538949333,0.4113034950499643,0.9175420107241712,0.7296340023612751,0.0823012385137834,0.147917663954045,0.5522961611400888,0.3421124090181343,0.7834633845323526,0.0029046906314213,0.9176987614862164,0.9850065323169668,0.035024637102144,0.0676179457513819,8.878966995611254e-05,0.9959553359258646,0.0402184045811692,0.0769426751592356,0.0004946853040411,0.9939685546303656,0.0464775602610201,0.087953629032258,0.0009893706080823,0.9920283840397464
ctt_test03,cmf_can,2024,1.0,ensemble_a0.75_stats_tail_count,ensemble_a0.75_stats_tail_count,val_fpr_1em03,0.9840035387669868,0.4821128538949333,0.4113034950499643,0.9174725236545566,0.7154105736782902,0.0846983619656412,0.1514646344367706,0.554045848892924,0.3421124090181343,0.7834633845323526,0.0032091123569852,0.9153016380343588,0.9840035387669868,0.035024637102144,0.0676179457513819,8.878966995611254e-05,0.9959553359258646,0.0402184045811692,0.0769426751592356,0.0004946853040411,0.9939685546303656,0.0464775602610201,0.087953629032258,0.0009893706080823,0.9920283840397464
