Model,latency_window_us,params,F1,AUPR
CNN,4.431319719818324,492802,0.8205782312925171,0.7544012748971993
LSTM,18.198453119566697,1421186,0.8240085744908896,0.7604336011981315
GRU,19.202604431711734,1158018,0.8253968253968254,0.7524083238354483
Transformer,16.11355579977195,1949826,0.8279109589041096,0.7794058319471616
Concat-Fusion,18.46233372475581,2769739,0.7885764888200133,0.7538768220527791
CMF-CAN,20.380030269961935,2703179,0.7893805309734513,0.805957074624345
