dataset,model,seed,label_ratio,score,calibration,threshold_policy,val_threshold,val_ece,test_ece,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test03,cmf_can_supcon,42,1.0,attack_prob,attack_prob,val_f1,0.0006890256144106728,0.014350783448444709,0.08685337227521236,0.9157006033793879,0.9323308270676691,0.03302703422559595,0.06379421221864952,0.5098286967689819,0.16909472636487569,0.5868526858816885,0.0002283162941728608,0.9669729657744041,0.0006890256144106728,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.0009667961276136339,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.0005532042705453932,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.0004588330630213022
ctt_test03,cmf_can_supcon,42,1.0,attack_prob,attack_prob,val_fpr_1em04,0.0008177667623385787,0.014350783448444709,0.08685337227521236,0.9153068433182392,0.9414414414414415,0.027833266746570783,0.054068037770016814,0.5048684423617881,0.16909472636487569,0.5868526858816885,0.00016489510134706613,0.9721667332534292,0.0008177667623385787,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.0009667961276136339,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.0005532042705453932,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.0004588330630213022
ctt_test03,cmf_can_supcon,42,1.0,attack_prob,attack_prob,val_fpr_5em04,0.0005152114317752421,0.014350783448444709,0.08685337227521236,0.9158627398751549,0.8426966292134831,0.03995205753096284,0.07628734901462174,0.516105683619785,0.16909472636487569,0.5868526858816885,0.0007103173596489003,0.9600479424690371,0.0005152114317752421,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.0009667961276136339,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.0005532042705453932,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.0004588330630213022
ctt_test03,cmf_can_supcon,42,1.0,attack_prob,attack_prob,val_fpr_1em03,0.00042008882155641913,0.014350783448444709,0.08685337227521236,0.9157585092707332,0.7726218097447796,0.04434678385936876,0.08387909319899245,0.5198642100371063,0.16909472636487569,0.5868526858816885,0.0012430553793855755,0.9556532161406313,0.00042008882155641913,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.0009667961276136339,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.0005532042705453932,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.0004588330630213022
ctt_test03,cmf_can_supcon,42,1.0,attack_margin,attack_margin,val_f1,0.1251180772318754,0.03452735268039431,0.023143679502632637,0.8881373990989844,0.2136387852956846,0.106805167132774,0.1424132114001598,0.5412897991387626,0.16909472636487569,0.5868526858816885,0.03744387224434917,0.893194832867226,0.1251180772318754,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.35388713301485936,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.28253757015405995,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.25863810804435455
ctt_test03,cmf_can_supcon,42,1.0,attack_margin,attack_margin,val_fpr_1em04,0.13401859370158406,0.03452735268039431,0.023143679502632637,0.8956883273304226,0.24278846153846154,0.0941536822479691,0.13568755397754534,0.5400911625673963,0.16909472636487569,0.5868526858816885,0.027968746036175447,0.905846317752031,0.13401859370158406,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.35388713301485936,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.28253757015405995,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.25863810804435455
ctt_test03,cmf_can_supcon,42,1.0,attack_margin,attack_margin,val_fpr_5em04,0.11002361584236438,0.03452735268039431,0.023143679502632637,0.867661875919256,0.17895771878072764,0.14542548941270475,0.16045845272206305,0.5443140122903891,0.16909472636487569,0.5868526858816885,0.06354803521144625,0.8545745105872953,0.11002361584236438,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.35388713301485936,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.28253757015405995,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.25863810804435455
ctt_test03,cmf_can_supcon,42,1.0,attack_margin,attack_margin,val_fpr_1em03,0.09942465155371552,0.03452735268039431,0.023143679502632637,0.8424380696492061,0.15714285714285714,0.18604341456918363,0.17037624245380817,0.5416646559848938,0.16909472636487569,0.5868526858816885,0.0950429995687359,0.8139565854308164,0.09942465155371552,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.35388713301485936,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.28253757015405995,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.25863810804435455
ctt_test03,cmf_can_supcon,42,1.0,uncertainty_entropy,uncertainty_entropy,val_f1,0.0051347163351769766,0.01432582856257831,0.08539861537207713,0.9156890222011187,0.753880266075388,0.04527899853509122,0.08542713567839195,0.5206173399809517,0.16909472636487569,0.5868526858816885,0.0014079504807326417,0.9547210014649088,0.0051347163351769766,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.011076085799902836,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.006783479451234724,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.0057501499094291956
ctt_test03,cmf_can_supcon,42,1.0,uncertainty_entropy,uncertainty_entropy,val_fpr_1em04,0.009566353566291649,0.01432582856257831,0.08539861537207713,0.9153068433182392,0.9414414414414415,0.027833266746570783,0.054068037770016814,0.5048684423617881,0.16909472636487569,0.5868526858816885,0.00016489510134706613,0.9721667332534292,0.009566353566291649,0.02317219336795845,0.04525357607282184,8.878966995611254e-05,0.011076085799902836,0.038220801704621124,0.07326100829610721,0.0004946853040411984,0.006783479451234724,0.043015048608336666,0.08167909975976737,0.0009766863695172378,0.0057501499094291956
