dataset,model,seed,label_ratio,score,calibration,threshold_policy,val_threshold,val_ece,test_ece,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test02,cmf_can,42,1.0,stats_robust_mean,stats_robust_mean,val_f1,0.219164520920484,0.0172902509027214,0.4805456108303664,0.0876153547886777,0.0869963369963369,0.9994650499286734,0.1600605402935633,0.0807771214894166,0.5277685905124267,0.9147816079003208,0.9992525523638032,0.0005349500713266,0.219164520920484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,cmf_can,42,1.0,stats_robust_mean,stats_robust_mean,val_fpr_1em04,0.1757126370828964,0.0172902509027214,0.4805456108303664,0.0876153547886777,0.0869963369963369,0.9994650499286734,0.1600605402935633,0.0807771214894166,0.5277685905124267,0.9147816079003208,0.9992525523638032,0.0005349500713266,0.1757126370828964,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,cmf_can,42,1.0,stats_robust_mean,stats_robust_mean,val_fpr_5em04,0.1651978961915417,0.0172902509027214,0.4805456108303664,0.0876153547886777,0.0869963369963369,0.9994650499286734,0.1600605402935633,0.0807771214894166,0.5277685905124267,0.9147816079003208,0.9992525523638032,0.0005349500713266,0.1651978961915417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,cmf_can,42,1.0,stats_robust_mean,stats_robust_mean,val_fpr_1em03,0.1651978961915417,0.0172902509027214,0.4805456108303664,0.0876153547886777,0.0869963369963369,0.9994650499286734,0.1600605402935633,0.0807771214894166,0.5277685905124267,0.9147816079003208,0.9992525523638032,0.0005349500713266,0.1651978961915417,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,cmf_can,42,1.0,stats_robust_max,stats_robust_max,val_f1,0.2800000044086396,0.0210817730001949,0.5555136502713849,0.0876153547886777,0.0869963369963369,0.9994650499286734,0.1600605402935633,0.0807771214894166,0.1341257689436273,0.5743977583768163,0.9992525523638032,0.0005349500713266,0.2800000044086396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,cmf_can,42,1.0,stats_robust_max,stats_robust_max,val_fpr_1em04,0.2199999982383145,0.0210817730001949,0.5555136502713849,0.0876153547886777,0.0869963369963369,0.9994650499286734,0.1600605402935633,0.0807771214894166,0.1341257689436273,0.5743977583768163,0.9992525523638032,0.0005349500713266,0.2199999982383145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,cmf_can,42,1.0,stats_robust_max,stats_robust_max,val_fpr_5em04,0.2199999982383145,0.0210817730001949,0.5555136502713849,0.0876153547886777,0.0869963369963369,0.9994650499286734,0.1600605402935633,0.0807771214894166,0.1341257689436273,0.5743977583768163,0.9992525523638032,0.0005349500713266,0.2199999982383145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,cmf_can,42,1.0,stats_robust_max,stats_robust_max,val_fpr_1em03,0.2199999982383145,0.0210817730001949,0.5555136502713849,0.0876153547886777,0.0869963369963369,0.9994650499286734,0.1600605402935633,0.0807771214894166,0.1341257689436273,0.5743977583768163,0.9992525523638032,0.0005349500713266,0.2199999982383145,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
ctt_test02,cmf_can,42,1.0,stats_diag_mahal,stats_diag_mahal,val_f1,3.6945902337501595e-08,0.0161741890307893,0.0869792707924579,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.6353084656032106,0.9220041654017966,1.0,0.0,3.6945902337501595e-08,0.0310271041369472,0.0601867865790383,0.0,1.2249734027136585e-06,0.0552781740370898,0.1042542458382377,0.0004926359420388,9.658270982981776e-07,0.0575962910128388,0.1078824315297261,0.0009682844378004,9.01682483345212e-07
ctt_test02,cmf_can,42,1.0,stats_diag_mahal,stats_diag_mahal,val_fpr_1em04,2.69141686715102e-08,0.0161741890307893,0.0869792707924579,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.6353084656032106,0.9220041654017966,1.0,0.0,2.69141686715102e-08,0.0310271041369472,0.0601867865790383,0.0,1.2249734027136585e-06,0.0552781740370898,0.1042542458382377,0.0004926359420388,9.658270982981776e-07,0.0575962910128388,0.1078824315297261,0.0009682844378004,9.01682483345212e-07
