Model,latency_batch_ms,throughput_windows_per_s,params,F1,AUPR,latency_window_us
CNN,2.268835696546982,225666.40712645263,492802,0.8205782312925171,0.7544012748971993,4.431319719818324
LSTM,9.317607997218149,54949.72531070872,1421186,0.8240085744908896,0.7604336011981315,18.198453119566697
GRU,9.831733469036408,52076.26931837283,1158018,0.8253968253968254,0.7524083238354483,19.202604431711734
Transformer,8.25014056948324,62059.5486450081,1949826,0.8279109589041096,0.7794058319471616,16.11355579977195
Concat-Fusion,9.452714867074974,54164.33344280405,2769739,0.7885764888200133,0.7538768220527791,18.46233372475581
CMF-CAN,10.43457549822051,49067.64056547536,2703179,0.7893805309734513,0.805957074624345,20.380030269961935
