dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
road,transformer,2024,0.01,20,0.2,0.946596004891969,0.4363803399173174,0.3472222222222222,0.3867290860981071,0.6794057753863247,0.36500627286766807,0.7949689470122039,0.022856397742302033,0.6527777777777778,0.8174516558647156,0.01425438596491228,0.028057553956834534,9.313935510310526e-05,0.978185772895813,0.08369883040935673,0.15312604480106987,0.0004843246465361474,0.9735237956047058,0.12097953216374269,0.21217948717948718,0.0009872771640929159,0.9699772596359253
road,concat_fusion,2024,0.01,20,0.2,0.9385845193994931,0.33101529902642557,0.26096491228070173,0.2918454935622318,0.6298729065847195,0.22613551850431657,0.6983862204191315,0.02688001788275618,0.7390350877192983,0.8723156720399856,0.011695906432748537,0.023079697078975836,9.313935510310526e-05,0.9714148044586182,0.029970760233918127,0.05768554344002814,0.00046569677551552634,0.966033399105072,0.04422514619883041,0.0831615120274914,0.0009872771640929159,0.9619694948196411
road,cmf_can,2024,0.01,20,0.2,0.9524628228079193,0.5174418604651163,0.29276315789473684,0.3739495798319328,0.6746214910969455,0.35954881455149024,0.7545523527872579,0.013915019652403927,0.7072368421052632,0.9032270669937134,0.06615497076023392,0.12388774811772758,9.313935510310526e-05,0.9867256879806519,0.11586257309941521,0.20591101006820398,0.0004843246465361474,0.9803829193115234,0.14108187134502925,0.2433028679483139,0.0009500214220516737,0.9760328531265259
road,transformer,2024,0.05,20,0.2,0.9852354703202821,0.992240041386446,0.7010233918128655,0.8215892053973014,0.9069441464681225,0.7357075134393645,0.8104996655425672,0.0002794180653093158,0.2989766081871345,0.9999983310699463,0.2766812865497076,0.43281875357347055,9.313935510310526e-05,0.999998927116394,0.7054093567251462,0.8226768968456948,0.0004843246465361474,0.9999969005584717,0.7101608187134503,0.8240033927056828,0.0006892312277629789,0.9999867677688599
road,concat_fusion,2024,0.05,20,0.2,0.9821336783707616,0.9731653888280394,0.6494883040935673,0.7790442788250768,0.8848673682721194,0.7585841828064056,0.9010179205565965,0.0009127656800104316,0.3505116959064328,0.9989037215709686,0.16885964912280702,0.2884795504214798,9.313935510310526e-05,0.9998874664306641,0.5537280701754386,0.7084404956745383,0.0004843246465361474,0.9995664954185486,0.6619152046783626,0.7873913043478261,0.0009872771640929159,0.9986653327941895
road,cmf_can,2024,0.05,20,0.2,0.9829490065403499,0.991140642303433,0.6542397660818714,0.7881990312637605,0.8896579850120974,0.8046453651955054,0.9241895010595556,0.00029804593632993685,0.34576023391812866,0.9998929768800735,0.5990497076023392,0.7484018264840183,9.313935510310526e-05,0.999971866607666,0.6765350877192983,0.8025146325601561,0.0004843246465361474,0.999325156211853,0.6885964912280702,0.8063342606462658,0.0009872771640929159,0.9835011959075928
road,transformer,2024,0.1,20,0.2,0.9850227760151722,0.9906590555267255,0.6977339181286549,0.8187861891486168,0.9054873862313456,0.7286460099326807,0.7864510908633778,0.000335301678371179,0.302266081871345,0.9999990463256836,0.034722222222222224,0.0670194003527337,7.451148408248421e-05,0.9999994039535522,0.7057748538011696,0.8229277647560195,0.0004843246465361474,0.9999985694885254,0.7094298245614035,0.8236791852323362,0.000670603356742358,0.9999935626983643
road,concat_fusion,2024,0.1,20,0.2,0.9816905652351158,0.9879656160458453,0.6301169590643275,0.7694711002008481,0.8799688991226376,0.7628775315223851,0.9076819801383321,0.00039118529143304214,0.36988304093567254,0.9996837139129638,0.15862573099415206,0.2733858267716536,9.313935510310526e-05,0.9999635219573975,0.6761695906432749,0.8022549869904597,0.0004843246465361474,0.9994617104530334,0.6944444444444444,0.8104073363190446,0.0009872771640929159,0.9826664924621582
road,cmf_can,2024,0.1,20,0.2,0.9807688899129726,0.9963920625375827,0.6056286549707602,0.753353034780632,0.8716737047491075,0.7885708674198161,0.9134620805175019,0.00011176722612372631,0.39437134502923976,0.9999867677688599,0.597953216374269,0.7475439798949052,9.313935510310526e-05,0.9999877214431763,0.6933479532163743,0.8143378407383558,0.0004843246465361474,0.9961392283439636,0.7076023391812866,0.8194708994708995,0.0009872771640929159,0.19164250791072845
road,transformer,2024,0.2,20,0.2,0.9843315195235648,0.9962486602357985,0.6794590643274854,0.807909604519774,0.8998711332403371,0.7293155584133565,0.7988387612607386,0.00013039509714434736,0.3205409356725146,0.9999997615814209,0.0,0.0,0.0,1.000000000001,0.7076023391812866,0.8243559718969555,0.00046569677551552634,0.999721348285675,0.7083333333333334,0.8201438848920864,0.0009686492930722948,0.0011921824188902974
road,concat_fusion,2024,0.2,20,0.2,0.9823109236250199,0.9954389965792474,0.6381578947368421,0.777728285077951,0.8842586122107738,0.7732462701524241,0.9191655622027641,0.00014902296816496843,0.3618421052631579,0.9999580919742584,0.6352339181286549,0.7760660861799509,9.313935510310526e-05,0.9999598264694214,0.7013888888888888,0.8199102755821406,0.0004843246465361474,0.9996898174285889,0.7065058479532164,0.8188943020546494,0.0009686492930722948,0.9445323348045349
road,cmf_can,2024,0.2,20,0.2,0.9828781084386465,0.9983108108108109,0.6480263157894737,0.785904255319149,0.8884933642971315,0.8311918323811908,0.9456352665032861,5.588361306186316e-05,0.3519736842105263,0.9999548643827438,0.6864035087719298,0.8131630222991989,9.313935510310526e-05,0.9998290538787842,0.7076023391812866,0.8241805023414219,0.0004843246465361474,0.8740218877792358,0.7105263157894737,0.822683030046551,0.0008568820669485684,0.15665249526500702
road,transformer,2024,1.0,20,0.2,0.9855545117779472,0.9989610389610389,0.7028508771929824,0.8251448187084317,0.9088054348587131,0.7732860666894688,0.9284172686410248,3.725574204124211e-05,0.29714912280701755,1.0,0.7083333333333334,0.8285592133390339,7.451148408248421e-05,0.9999996423721313,0.7101608187134503,0.8283947985504156,0.00022353445224745263,0.004817318171262741,0.7108918128654971,0.8236290493330509,0.0007823705828660843,7.655979970877524e-06
road,concat_fusion,2024,1.0,20,0.2,0.9824881688792783,0.9994285714285714,0.6392543859649122,0.7797592510031208,0.8853204110892745,0.8065838029083908,0.9443018588491048,1.8627871020621053e-05,0.3607456140350877,0.9999929666519165,0.7072368421052632,0.82798459563543,5.588361306186316e-05,0.9999195337295532,0.70796783625731,0.824430729942541,0.0004843246465361474,0.24991798400878906,0.7090643274853801,0.8206429780033841,0.0009686492930722948,0.0032969459425657988
road,cmf_can,2024,1.0,20,0.2,0.9813892483028767,0.9994075829383886,0.616593567251462,0.7626582278481012,0.876486565913646,0.8623015009517605,0.9814331835968415,1.8627871020621053e-05,0.38340643274853803,0.9999985694885254,0.6980994152046783,0.8213287465061277,9.313935510310526e-05,0.9999939203262329,0.7101608187134503,0.8285714285714286,0.0002049065812268316,0.9991451501846313,0.7123538011695907,0.8227100042211903,0.0009872771640929159,0.0044684819877147675
