dataset,model,granularity,window_size,score_file,precision,recall,f1,macro_f1,auroc,aupr,fpr,fnr,num_positive,num_negative
ctt_test01,GradientBoosting,aggregate_window,100,results/final_grain_can/predictions/ctt_test01_ctt_test01_GradientBoosting_aggregate_window100_scores.csv,0.9988412514484357,0.8918779099844801,0.9423339710303362,0.970211239716373,0.9463803279642385,0.89645614856982,3.6304888453230226e-05,0.10812209001551992,1933,55089
ctt_test02,GradientBoosting,aggregate_window,100,results/final_grain_can/predictions/ctt_test02_ctt_test02_GradientBoosting_aggregate_window100_scores.csv,0.9984680199157411,0.9297432239657631,0.9628808864265929,0.979738783883801,0.9652292298359558,0.9359442619173619,0.0001358995702176092,0.0702567760342368,5608,58867
ctt_test03,GradientBoosting,aggregate_window,100,results/final_grain_can/predictions/ctt_test03_ctt_test03_GradientBoosting_aggregate_window100_scores.csv,0.9993960136903564,0.6610733786123318,0.7957678743186919,0.8899322713040737,0.9649335288972986,0.9344723306508147,3.80527156954768e-05,0.33892662138766816,7509,78838
ctt_test04,GradientBoosting,aggregate_window,100,results/final_grain_can/predictions/ctt_test04_ctt_test04_GradientBoosting_aggregate_window100_scores.csv,0.9676966292134831,0.4578073089700997,0.6215606675687867,0.8091803063226586,0.9023647026839263,0.786785756019317,0.0001759822487470829,0.5421926910299003,1505,130695
