dataset,model,default_threshold_f1,best_test_threshold,best_test_threshold_f1,best_val_threshold,test_f1_at_best_val_threshold,auroc,aupr,ece,brier,threshold_at_fpr_0.0001,recall_at_fpr_0.0001,actual_fpr_at_0.0001,threshold_at_fpr_0.0005,recall_at_fpr_0.0005,actual_fpr_at_0.0005,threshold_at_fpr_0.001,recall_at_fpr_0.001,actual_fpr_at_0.001
ctt_test01,cmf_can,0.49043342444357674,4.02250827949248e-07,0.9718234981392876,5.481837160914888e-07,0.8649442160892542,0.9949237201519655,0.9825694625374853,0.02287316675009727,0.022756628317677528,2.242480974246064e-07,0.9679255043973098,0.00010891466535969068,1.0631939062477613e-07,0.9699948266942576,0.0005082684383452232,8.726316735874209e-08,0.9705121572684946,0.0010165368766904463
ctt_test01,concat_fusion,0.33433864713485567,5.745454508840723e-07,0.9665071770334929,2.895897769121824e-06,0.9471677559912854,0.9849115672173318,0.970968452986976,0.02710811336233451,0.026931723705366586,6.727674417561502e-07,0.934299017071909,0.00010891466535969068,4.810584641745663e-07,0.9446456285566477,0.0005082684383452232,4.181829069693777e-07,0.9477496120020693,0.0010165368766904463
ctt_test01,transformer,0.9122115925717501,0.04760162881714815,0.9696969696969697,0.6055496573451536,0.8957440731219651,0.9884821708392544,0.9794061700131017,0.006066985706952626,0.004326335374089229,0.0356221944093704,0.9487842731505431,0.00010891466535969068,0.0023876568302512,0.967408173823073,0.0005082684383452232,0.0008202588069252,0.9684428349715468,0.0010165368766904463
ctt_test02,cmf_can,0.0,0.00021019823122942163,0.9135987978963186,5.481834659804459e-07,0.16003881112395302,0.9683571554601179,0.9324812391796663,0.08678417068914325,0.08666969642763435,0.0004523389216046,0.7680099857346647,0.00010192467766320689,0.0003286428400315,0.8074179743223966,0.0005096233883160344,0.0002765420649666,0.829172610556348,0.0010022593303548677
ctt_test02,concat_fusion,0.002849002849002849,0.016269257650495885,0.8038693120126346,2.8958961138414665e-06,0.16003881112395302,0.9387364925266021,0.8291944995338495,0.07985351276583878,0.07708439895530587,0.0699105560779571,0.26943651925820256,0.00010192467766320689,0.0482977218925952,0.4297432239657632,0.0005096233883160344,0.0372412577271461,0.5381597717546363,0.0010022593303548677
ctt_test02,transformer,0.16003881112395302,0.996592938899994,0.16003881112395302,0.6055488467219846,0.16003881112395302,0.11517925075765585,0.04885424906777305,0.9129849304326425,0.9129708705475313,0.999997854232788,0.0,0.00010192467766320689,0.9999971389770508,0.0005349500713266762,0.0006455229585336437,0.9999969005584716,0.0007132667617689016,0.0010022593303548677
ctt_test03,cmf_can,0.0,3.6605942916380195e-08,0.31688070555469594,5.481834659804459e-07,0.08468307613824766,0.7792378962507394,0.3044508192444466,0.08696295739392741,0.0869629065791722,1.5338638092998738e-07,0.08323345318950592,0.00010147390852127146,1.1963527413172417e-07,0.08496470901584766,0.0005073695426063573,1.0669175054545121e-07,0.0869623118923958,0.0010020548466475557
ctt_test03,concat_fusion,0.0,1.568958691401593e-08,0.31143733159899656,2.8958964685444003e-06,0.05541887867409038,0.7924482139904594,0.3281319377580842,0.08696300033921985,0.08696295459353347,1.9200649603590136e-07,0.07977094153682247,0.00010147390852127146,1.237556261912687e-07,0.08469836196564123,0.0005073695426063573,1.075572626518806e-07,0.08682913836729259,0.0010020548466475557
ctt_test03,transformer,0.027062532842879666,1.238391750242287e-07,0.2658033184945366,0.6055492734912412,0.026284662899198317,0.6187933156654002,0.2707853495448759,0.08577258514366395,0.08569736763153779,2.3206702337574825e-07,0.07537621520841657,0.00010147390852127146,1.933751718752319e-07,0.09042482354507923,0.0005073695426063573,1.7509556471395626e-07,0.10014649087761353,0.0010020548466475557
ctt_test04,cmf_can,0.0,2.3267341270683512e-06,0.29257950530035337,5.481837160914888e-07,0.02825263588903675,0.6845496787618558,0.16559382245663523,0.01137986750466514,0.01137961633984941,0.0031214964110404,0.0033222591362126247,0.00010711962967213742,0.0006494759581983,0.015282392026578074,0.0005049925398829335,6.735238457622472e-06,0.12757475083056477,0.0010023336776464288
ctt_test04,concat_fusion,0.1722255912674348,0.00013675880124379137,0.2886956521739131,2.8958961138414665e-06,0.023819621759639937,0.7110959362539065,0.22312156388533966,0.010255706632543436,0.010251055339214308,0.1921614557504654,0.10232558139534884,0.00010711962967213742,0.0240019094198942,0.12425249169435217,0.0005049925398829335,0.0009505429770797,0.1654485049833887,0.0010023336776464288
