dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,source_file,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature
ctt_test01,cmf_can,42,1.0,15,0.2,0.9979481603591596,1.0,0.9394723228142784,0.9687916777807416,0.9838654431335369,0.9781093030763408,0.9907451786831104,0.0,0.0605276771857216,5.481837160914888e-07,0.9653388515261252,0.9815886375591796,5.445733267984534e-05,1.6003291136712505e-07,0.9679255043973098,0.976768467762986,0.0004901159941186,1.200778569909744e-07,0.9684428349715468,0.9701995335579164,0.0009802319882372,1.0197000221978669e-07,ctt_generalization_15ep.csv,,,,,,,,
ctt_test02,cmf_can,42,1.0,15,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.9324805949532672,0.9683574023354516,1.0,0.0,5.481834659804459e-07,0.7680099857346647,0.8683467741935484,8.493723138600574e-05,0.0004529231227934,0.8074179743223966,0.8909878000787091,0.0004756484957616,0.0003289463056717,0.829172610556348,0.9015122140364482,0.0009852718840776,0.0002767667756415,ctt_generalization_15ep.csv,,,,,,,,
ctt_test03,cmf_can,42,1.0,15,0.2,0.9168818835628336,1.0,0.0442136103342655,0.0846830761382476,0.5205736600201955,0.3044429685189416,0.7792276774065259,0.0,0.9557863896657344,5.481834659804459e-07,0.0832334531895059,0.1535437906891045,8.878966995611254e-05,1.5679128750889507e-07,0.0849647090158476,0.1558949297495418,0.000482001065476,1.200090622432981e-07,0.0869623118923958,0.1584951456310679,0.0009893706080823,1.0682981610443677e-07,ctt_generalization_15ep.csv,,,,,,,,
ctt_test04,cmf_can,42,1.0,15,0.2,0.425340393343419,0.0143988105330429,0.7335548172757476,0.028243239786129,0.3101446461735255,0.1655882870835184,0.6845533646532422,0.5782088067638395,0.2664451827242525,5.481837160914888e-07,0.0033222591362126,0.0065832784726793,6.886261907494549e-05,0.0037202006205916,0.015282392026578,0.029040404040404,0.0004284785186885,0.0007515341276302,0.1275747508305647,0.2104109589041095,0.0009793794712881,6.809673323004972e-06,ctt_generalization_15ep.csv,,,,,,,,
ctt_test02,cmf_can_robust,42,1.0,15,0.2,0.0995424583171772,0.0880601938392422,0.9996433666191156,0.1618617274682758,0.0945365338804156,0.8128687690718236,0.9574581077700556,0.9862061936229126,0.0003566333808844,9.290133289141652e-07,0.0579529243937232,0.1094644661502189,8.493723138600574e-05,0.1087707206606864,0.1271398002853067,0.2245669291338582,0.0004926359420388,0.0195946060121059,0.1861626248216833,0.3111773472429209,0.0009852718840776,0.0087816808372735,ctt_generalization_15ep.csv,,,,,,,,
ctt_test03,cmf_can_robust,42,1.0,15,0.2,0.9187927779772314,1.0,0.0661872419762951,0.1241568823382463,0.540789701248789,0.3031743778625658,0.7860212383512144,0.0,0.9338127580237048,9.290133289141652e-07,0.0807031562125449,0.1492243289830091,8.878966995611254e-05,3.193670181644848e-07,0.0857637501664669,0.1572265625,0.0004946853040411,2.173818813844264e-07,0.0876281795179118,0.1596312469674915,0.0009766863695172,1.9755827906919881e-07,ctt_generalization_15ep.csv,,,,,,,,
ctt_test04,cmf_can_robust,42,1.0,15,0.2,0.984712556732224,0.2556818181818182,0.1794019933554817,0.2108551347130027,0.6015683256087098,0.143382069636528,0.7386534981206403,0.0060140020658785,0.8205980066445183,9.290128514294468e-07,0.0372093023255813,0.0712015257469803,9.181682543326065e-05,1.3528027920983732e-05,0.0631229235880398,0.1141826923076923,0.000489689735644,6.134467639640207e-06,0.0770764119601328,0.1328751431844215,0.0009564252649297,4.596434337145183e-06,ctt_generalization_15ep.csv,,,,,,,,
ctt_test03,cmf_can_supcon,42,1.0,15,0.2,0.9157585092707332,0.7726218097447796,0.0443467838593687,0.0838790931989924,0.5198642100371063,0.1690947263648756,0.5868526858816885,0.0012430553793855,0.9556532161406311,0.0004200887924525,0.0231721933679584,0.0452535760728218,8.878966995611254e-05,0.0009667961276136,0.0382208017046211,0.0732610082961072,0.0004946853040411,0.0005532042705453,0.0430150486083366,0.0816790997597673,0.0009766863695172,0.0004588331212289,method_enhancement_supcon.csv,ce,2.0,,none,f1_at_fpr_1em03,balanced,0.05,0.1
