Model,latency_window_us,params,F1,AUPR,model,f1,auroc,aupr,recall_at_fpr_1em03
CNN,4.431319719818324,492802,0.8205782312925171,0.7544012748971993,cnn,0.8205782312925171,0.9069856409071536,0.7544012748971993,0.7057748538011696
LSTM,18.198453119566697,1421186,0.8240085744908896,0.7604336011981315,lstm,0.8240085744908896,0.8942885544913703,0.7604336011981315,0.7072368421052632
GRU,19.20260443171173,1158018,0.8253968253968254,0.7524083238354483,gru,0.8253968253968254,0.8745730091626249,0.7524083238354483,0.7083333333333334
Transformer,16.11355579977195,1949826,0.8279109589041096,0.7794058319471616,transformer,0.8279109589041096,0.9335419178297376,0.7794058319471616,0.7090643274853801
Concat-Fusion,18.46233372475581,2769739,0.7885764888200133,0.7538768220527791,concat_fusion,0.7885764888200133,0.8848564756580024,0.7538768220527791,0.7083333333333334
CMF-CAN,20.38003026996193,2703179,0.7893805309734513,0.805957074624345,cmf_can,0.7893805309734513,0.943067350483829,0.805957074624345,0.7083333333333334
