dataset,model,attack_type,precision,recall,f1,support,mean_score,false_negative_count,false_positive_count,gate_frame,gate_window,gate_context
ctt_test01,cmf_can,DoS-3,1.0,0.9707317073170731,0.9851485148514851,410,1.5058821724592208e-06,12,0,0.40174659432434456,0.3338103588761353,0.2644430439283208
ctt_test01,cmf_can,DoS-4,1.0,0.0038910505836575876,0.007751937984496124,771,5.54659828179623e-07,768,0,0.41546370748106765,0.31984313456619445,0.26469315772081314
ctt_test01,cmf_can,force-neutral-3,1.0,0.9918032786885246,0.9958847736625513,122,0.9918032793680671,1,0,0.5989498879577293,0.26884619207655797,0.13220390976696714
ctt_test01,cmf_can,force-neutral-4,1.0,1.0,1.0,49,0.9993074609308826,0,0,0.4409914977696477,0.24777911451398107,0.31122938954100315
ctt_test01,cmf_can,rpm-3,1.0,1.0,1.0,194,0.9999999520704919,0,0,0.5921633005449453,0.28153862834898463,0.1262980681872859
ctt_test01,cmf_can,rpm-4,1.0,0.9180327868852459,0.9572649572649572,61,0.333519582147235,5,0,0.4862850909350348,0.22541874989134364,0.28829615721937085
ctt_test01,cmf_can,standstill-3,1.0,0.9963503649635036,0.9981718464351006,274,0.8920186191359157,1,0,0.46171363611725996,0.2454600236820478,0.2928263392761675
ctt_test01,cmf_can,standstill-4,0.0,0.0,0.0,52,3.9419739404313354e-08,52,0,0.510875501884864,0.24516094046143383,0.24396354418534497
ctt_test01,concat_fusion,DoS-3,1.0,0.9780487804878049,0.9889025893958077,410,7.161393446790568e-06,9,0,0.40174659432434456,0.3338103588761353,0.2644430439283208
ctt_test01,concat_fusion,DoS-4,1.0,0.8651102464332037,0.9276773296244785,771,5.484592819523015e-06,104,0,0.41546370748106765,0.31984313456619445,0.26469315772081314
ctt_test01,concat_fusion,force-neutral-3,1.0,0.9918032786885246,0.9958847736625513,122,0.9918032605724316,1,0,0.5989498879577293,0.26884619207655797,0.13220390976696714
ctt_test01,concat_fusion,force-neutral-4,1.0,1.0,1.0,49,0.5328045981242231,0,0,0.4409914977696477,0.24777911451398107,0.31122938954100315
ctt_test01,concat_fusion,rpm-3,1.0,1.0,1.0,194,0.9978980348282254,0,0,0.5921633005449453,0.28153862834898463,0.1262980681872859
ctt_test01,concat_fusion,rpm-4,1.0,0.2459016393442623,0.3947368421052631,61,0.003877719272333229,46,0,0.4862850909350348,0.22541874989134364,0.28829615721937085
ctt_test01,concat_fusion,standstill-3,1.0,0.6532846715328468,0.7902869757174392,274,0.16895871668123838,95,0,0.46171363611725996,0.2454600236820478,0.2928263392761675
ctt_test01,concat_fusion,standstill-4,0.0,0.0,0.0,52,5.860574169548071e-08,52,0,0.510875501884864,0.24516094046143383,0.24396354418534497
ctt_test01,transformer,DoS-3,1.0,0.8975609756097561,0.9460154241645244,410,0.9054649605726645,42,0,0.40174659432434456,0.3338103588761353,0.2644430439283208
ctt_test01,transformer,DoS-4,1.0,0.6264591439688716,0.7703349282296651,771,0.6966322101305839,288,0,0.41546370748106765,0.31984313456619445,0.26469315772081314
ctt_test01,transformer,force-neutral-3,1.0,0.9918032786885246,0.9958847736625513,122,0.9918031680919263,1,0,0.5989498879577293,0.26884619207655797,0.13220390976696714
ctt_test01,transformer,force-neutral-4,1.0,1.0,1.0,49,0.999999399087867,0,0,0.4409914977696477,0.24777911451398107,0.31122938954100315
ctt_test01,transformer,rpm-3,1.0,1.0,1.0,194,0.9999997781724045,0,0,0.5921633005449453,0.28153862834898463,0.1262980681872859
ctt_test01,transformer,rpm-4,1.0,0.9016393442622951,0.9482758620689655,61,0.9234422967875638,6,0,0.4862850909350348,0.22541874989134364,0.28829615721937085
ctt_test01,transformer,standstill-3,1.0,0.9343065693430657,0.9660377358490566,274,0.9379359769485559,18,0,0.46171363611725996,0.2454600236820478,0.2928263392761675
ctt_test01,transformer,standstill-4,0.0,0.0,0.0,52,3.061968696590049e-05,52,0,0.510875501884864,0.24516094046143383,0.24396354418534497
ctt_test02,cmf_can,DoS-3,1.0,1.0,1.0,4834,0.0020038741471814134,0,0,0.2280930598067211,0.3794611895446891,0.3924457514377285
ctt_test02,cmf_can,DoS-4,1.0,1.0,1.0,183,0.001479196784560725,0,0,0.2261891231510808,0.37818752986485843,0.3956233448669559
ctt_test02,cmf_can,force-neutral-3,1.0,1.0,1.0,32,8.970626436164821e-05,0,0,0.23004404734820125,0.37309096474200487,0.39686498884111643
ctt_test02,cmf_can,force-neutral-4,1.0,1.0,1.0,56,7.429115433815598e-05,0,0,0.22946971947593345,0.37282970334802357,0.3977005747812135
ctt_test02,cmf_can,rpm-3,1.0,1.0,1.0,126,7.069157136211295e-05,0,0,0.2300243434451875,0.37581613896385074,0.3941595185370672
ctt_test02,cmf_can,rpm-4,1.0,1.0,1.0,26,7.604791268860651e-05,0,0,0.230083276446049,0.37407298042224,0.3958437316692792
ctt_test02,cmf_can,standstill-3,1.0,1.0,1.0,272,8.139938421100864e-05,0,0,0.23084242718622963,0.37439463934039363,0.3947629327064051
ctt_test02,cmf_can,standstill-4,1.0,1.0,1.0,79,9.387583233108035e-05,0,0,0.2306487416919273,0.3761961512927767,0.39315510663805125
ctt_test02,concat_fusion,DoS-3,1.0,1.0,1.0,4834,0.06798010248860549,0,0,0.2280930598067211,0.3794611895446891,0.3924457514377285
ctt_test02,concat_fusion,DoS-4,1.0,1.0,1.0,183,0.07039949736784366,0,0,0.2261891231510808,0.37818752986485843,0.3956233448669559
ctt_test02,concat_fusion,force-neutral-3,1.0,1.0,1.0,32,0.016152429689100193,0,0,0.23004404734820125,0.37309096474200487,0.39686498884111643
ctt_test02,concat_fusion,force-neutral-4,1.0,1.0,1.0,56,0.015339092544828755,0,0,0.22946971947593345,0.37282970334802357,0.3977005747812135
ctt_test02,concat_fusion,rpm-3,1.0,1.0,1.0,126,0.005524171181951617,0,0,0.2300243434451875,0.37581613896385074,0.3941595185370672
ctt_test02,concat_fusion,rpm-4,1.0,1.0,1.0,26,0.005582703098927831,0,0,0.230083276446049,0.37407298042224,0.3958437316692792
ctt_test02,concat_fusion,standstill-3,1.0,1.0,1.0,272,0.008340576830639296,0,0,0.23084242718622963,0.37439463934039363,0.3947629327064051
ctt_test02,concat_fusion,standstill-4,1.0,1.0,1.0,79,0.010631495323754165,0,0,0.2306487416919273,0.3761961512927767,0.39315510663805125
ctt_test02,transformer,DoS-3,1.0,1.0,1.0,4834,0.9998591169252542,0,0,0.2280930598067211,0.3794611895446891,0.3924457514377285
ctt_test02,transformer,DoS-4,1.0,1.0,1.0,183,0.9999759190720938,0,0,0.2261891231510808,0.37818752986485843,0.3956233448669559
ctt_test02,transformer,force-neutral-3,1.0,1.0,1.0,32,0.9999903440475464,0,0,0.23004404734820125,0.37309096474200487,0.39686498884111643
ctt_test02,transformer,force-neutral-4,1.0,1.0,1.0,56,0.9999888305153165,0,0,0.22946971947593345,0.37282970334802357,0.3977005747812135
ctt_test02,transformer,rpm-3,1.0,1.0,1.0,126,0.9999770195711226,0,0,0.2300243434451875,0.37581613896385074,0.3941595185370672
ctt_test02,transformer,rpm-4,1.0,1.0,1.0,26,0.9999775794836191,0,0,0.230083276446049,0.37407298042224,0.3958437316692792
ctt_test02,transformer,standstill-3,1.0,1.0,1.0,272,0.9999848661177299,0,0,0.23084242718622963,0.37439463934039363,0.3947629327064051
ctt_test02,transformer,standstill-4,1.0,1.0,1.0,79,0.9999879598617554,0,0,0.2306487416919273,0.3761961512927767,0.39315510663805125
ctt_test03,cmf_can,double-3,1.0,0.6732673267326733,0.8047337278106509,101,6.050660577456639e-05,33,0,0.2305463152651739,0.483408114402601,0.28604556959454375
ctt_test03,cmf_can,double-4,1.0,0.14893617021276595,0.25925925925925924,47,3.4956023414863127e-07,40,0,0.19969260977937817,0.49228085418964956,0.3080265325434664
ctt_test03,cmf_can,fuzzing-3,0.0,0.0,0.0,1360,4.425059636100691e-08,1360,0,0.28391617096084004,0.4108622833648149,0.30522154635366266
ctt_test03,cmf_can,fuzzing-4,0.0,0.0,0.0,38,3.530232948073239e-08,38,0,0.28518176470932205,0.4069872961232537,0.3078309485786839
ctt_test03,cmf_can,interval-3,0.0,0.0,0.0,4291,3.712986885909707e-08,4291,0,0.29459022219935044,0.40435735714988424,0.3010524203590623
ctt_test03,cmf_can,interval-4,0.0,0.0,0.0,126,3.817290994059852e-08,126,0,0.2911411038939915,0.40759264169231296,0.30126625346759
ctt_test03,cmf_can,speed-3,1.0,0.5276381909547738,0.6907894736842105,199,1.0157407371796571e-06,94,0,0.27070519964599127,0.43487359650770024,0.29442119808053246
ctt_test03,cmf_can,speed-4,1.0,0.16470588235294117,0.2828282828282828,85,4.106935238008405e-07,71,0,0.2725513034007128,0.4366585608790903,0.2907901367720435
ctt_test03,cmf_can,systematic-3,0.0,0.0,0.0,919,3.883363943168871e-08,919,0,0.2850370086380914,0.4070408810274645,0.30792211360978095
ctt_test03,cmf_can,systematic-4,0.0,0.0,0.0,124,4.113149062922433e-08,124,0,0.29391221918406024,0.4070122886088587,0.29907549340878764
ctt_test03,cmf_can,triple-3,1.0,0.7167630057803468,0.8350168350168351,173,1.7391433069417384e-06,49,0,0.2257431127087918,0.4230720090728275,0.35118487839064844
ctt_test03,cmf_can,triple-4,1.0,0.30434782608695654,0.4666666666666667,46,5.781884446776075e-07,32,0,0.20201793248238767,0.4232921418936356,0.37468992108884064
ctt_test03,concat_fusion,double-3,1.0,0.297029702970297,0.4580152671755725,101,1.736046688578724e-05,71,0,0.2305463152651739,0.483408114402601,0.28604556959454375
ctt_test03,concat_fusion,double-4,1.0,0.14893617021276595,0.25925925925925924,47,8.810256423943047e-06,40,0,0.19969260977937817,0.49228085418964956,0.3080265325434664
ctt_test03,concat_fusion,fuzzing-3,0.0,0.0,0.0,1360,2.8522373720379587e-08,1360,0,0.28391617096084004,0.4108622833648149,0.30522154635366266
ctt_test03,concat_fusion,fuzzing-4,0.0,0.0,0.0,38,1.193737183955902e-08,38,0,0.28518176470932205,0.4069872961232537,0.3078309485786839
