file_path,kind,file_size_bytes,num_rows,num_columns,status,paper_use
results/metric_correction_paper/figures/paper_fig5_low_fpr_event.svg,svg,80276,,,ok,main
results/metric_correction_paper/final_security4_story.md,md,841,,,ok,support_or_limitations
results/metric_correction_paper/full_attack_normal_weighted_metrics.md,md,4882,,,ok,support_or_limitations
results/metric_correction_paper/ranking_inversion.md,md,1591,,,ok,support_or_limitations
results/metric_correction_paper/recommended_paper_outline.md,md,1058,,,ok,support_or_limitations
results/metric_correction_paper/table13_metric_hypothesis_matrix.md,md,424,,,ok,support_or_limitations
results/metric_correction_paper/table13_public_targets_full.md,md,607,,,ok,support_or_limitations
results/metric_correction_paper/tables/corrected_low_fpr_event_metrics.csv,csv,1249,6.0,13.0,ok,support_or_limitations
results/metric_correction_paper/tables/corrected_low_fpr_event_metrics.tex,tex,1361,,,ok,support_or_limitations
results/metric_correction_paper/tables/corrected_test04_benchmark_final.csv,csv,10447,52.0,14.0,ok,support_or_limitations
results/metric_correction_paper/tables/corrected_test04_benchmark_final.tex,tex,8381,,,ok,support_or_limitations
results/metric_correction_paper/tables/full_attack_normal_weighted_metrics.csv,csv,23454,52.0,32.0,ok,support_or_limitations
results/metric_correction_paper/tables/full_attack_normal_weighted_metrics.tex,tex,18538,,,ok,support_or_limitations
results/metric_correction_paper/tables/ranking_inversion.csv,csv,9686,57.0,16.0,ok,support_or_limitations
results/metric_correction_paper/tables/ranking_inversion.tex,tex,10092,,,ok,support_or_limitations
results/metric_correction_paper/tables/table13_metric_hypothesis_matrix.csv,csv,17183,49.0,25.0,ok,support_or_limitations
results/metric_correction_paper/tables/table13_metric_hypothesis_matrix.tex,tex,13748,,,ok,support_or_limitations
results/metric_correction_paper/tables/table13_public_targets_full.csv,csv,6610,15.0,15.0,ok,support_or_limitations
results/metric_correction_paper/tables/table13_public_targets_full.tex,tex,7555,,,ok,support_or_limitations
results/metric_correction_paper/tables/trivial_baseline_imbalance.csv,csv,1745,5.0,24.0,ok,support_or_limitations
results/metric_correction_paper/tables/trivial_baseline_imbalance.tex,tex,1518,,,ok,support_or_limitations
results/metric_correction_paper/trivial_baseline_imbalance.md,md,301,,,ok,support_or_limitations
results/metric_correction_paper/unsafe_claims_do_not_write.md,md,366,,,ok,support_or_limitations
results/final_grain_can/a1_official_sample_negative_stability.md,md,1073,,,ok,support_or_limitations
results/final_grain_can/audits/affected_experiments_if_any.csv,csv,581,6.0,3.0,ok,support_or_limitations
results/final_grain_can/audits/output_file_integrity_audit.csv,csv,10845,73.0,13.0,ok,support_or_limitations
results/final_grain_can/audits/output_file_integrity_audit.md,md,109,,,ok,support_or_limitations
results/final_grain_can/audits/strict_feature_leakage_audit.csv,csv,1416,17.0,3.0,ok,support_or_limitations
results/final_grain_can/audits/strict_feature_leakage_audit.md,md,1620,,,ok,support_or_limitations
results/final_grain_can/b1_granularity_mechanism_analysis.md,md,455,,,ok,support_or_limitations
results/final_grain_can/b2_feature_preservation_analysis.md,md,293,,,ok,support_or_limitations
results/final_grain_can/c1_test04_candidate_leaderboard.md,md,3645,,,ok,support_or_limitations
results/final_grain_can/c2_test04_error_analysis.md,md,181,,,ok,support_or_limitations
results/final_grain_can/current_state_summary.md,md,1704,,,ok,support_or_limitations
results/final_grain_can/d1_normality_policy_final.md,md,205,,,ok,support_or_limitations
results/final_grain_can/e1_low_fpr_analysis.md,md,961,,,ok,support_or_limitations
results/final_grain_can/event_boundary_construction.md,md,204,,,ok,support_or_limitations
results/final_grain_can/f2_event_level_analysis.md,md,1396,,,ok,support_or_limitations
results/final_grain_can/figures/a1_official_sample_negative_stability.svg,svg,15920,,,ok,support_or_limitations
results/final_grain_can/figures/b1_granularity_full_matrix.svg,svg,16013,,,ok,support_or_limitations
results/final_grain_can/figures/b2_feature_preservation_by_granularity.svg,svg,80214,,,ok,support_or_limitations
results/final_grain_can/figures/c1_test04_candidate_leaderboard.svg,svg,13121,,,ok,support_or_limitations
results/final_grain_can/figures/c2_test04_score_distribution.svg,svg,33254,,,ok,support_or_limitations
results/final_grain_can/figures/d1_normality_policy_final.svg,svg,12882,,,ok,support_or_limitations
results/final_grain_can/figures/e1_low_fpr_curves.svg,svg,16077,,,ok,support_or_limitations
results/final_grain_can/figures/f2_event_level_metrics.svg,svg,9331,,,ok,support_or_limitations
results/final_grain_can/figures/g1_cross_dataset_validation.svg,svg,9007,,,ok,support_or_limitations
results/final_grain_can/figures/i1_strong_baseline_leaderboard.svg,svg,10599,,,ok,support_or_limitations
results/final_grain_can/figures/paper_fig1_granularity_motivation.svg,svg,77806,,,ok,main
results/final_grain_can/figures/paper_fig2_granularity_comparison.svg,svg,16013,,,ok,main
results/final_grain_can/figures/paper_fig3_ctt_leaderboard.svg,svg,13121,,,ok,main
results/final_grain_can/figures/paper_fig4_test04_score_error.svg,svg,33254,,,ok,main
results/final_grain_can/figures/paper_fig5_low_fpr_curves.svg,svg,16077,,,ok,main
results/final_grain_can/figures/paper_fig6_event_level.svg,svg,9331,,,ok,main
results/final_grain_can/figures/paper_fig7_feature_preservation.svg,svg,80214,,,ok,main
results/final_grain_can/figures/paper_fig8_strong_baselines.svg,svg,10599,,,ok,main
results/final_grain_can/figures/paper_fig9_leakage_audit.svg,svg,11854,,,ok,main
results/final_grain_can/final_figure_table_inventory.md,md,2793,,,ok,support_or_limitations
results/final_grain_can/final_research_direction.md,md,818,,,ok,support_or_limitations
results/final_grain_can/final_security4_readiness_report.md,md,2010,,,ok,support_or_limitations
results/final_grain_can/g1_cross_dataset_validation.md,md,202,,,ok,support_or_limitations
results/final_grain_can/i1_strong_baseline_leaderboard.md,md,187,,,ok,support_or_limitations
results/final_grain_can/manifests/event_boundary_manifest.csv,csv,828340,3370.0,14.0,ok,support_or_limitations
results/final_grain_can/missing_final_figures.md,md,907,,,ok,support_or_limitations
results/final_grain_can/predictions/ctt_test01_ctt_test01_GradientBoosting_aggregate_window100_scores.csv,csv,16536089,57022.0,28.0,ok,support_or_limitations
results/final_grain_can/predictions/ctt_test02_ctt_test02_GradientBoosting_aggregate_window100_scores.csv,csv,18826514,64475.0,28.0,ok,support_or_limitations
results/final_grain_can/predictions/ctt_test03_ctt_test03_GradientBoosting_aggregate_window100_scores.csv,csv,25186287,86347.0,28.0,ok,support_or_limitations
