setting,model,score_available,aupr,auroc,score_file,fpr_budget,recall_at_budget,actual_fpr,threshold,note
ctt_test02,Raw-window+GB,True,0.9037811794926541,0.9473074179743224,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test02_Raw-window_GB_scores.csv,0.0005,0.8946148359486448,0.0004926359420388333,0.0004388602610194,diagnostic operating curve from model scores
ctt_test02,Raw-window+GB,True,0.9037811794926541,0.9473074179743224,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test02_Raw-window_GB_scores.csv,0.001,0.8946148359486448,0.0009852718840776666,0.0004388602610194,diagnostic operating curve from model scores
ctt_test02,Raw-window+GB,True,0.9037811794926541,0.9473074179743224,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test02_Raw-window_GB_scores.csv,0.005,0.8946148359486448,0.004994309205497137,0.0004388602610194,diagnostic operating curve from model scores
ctt_test02,Raw-window+GB,True,0.9037811794926541,0.9473074179743224,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test02_Raw-window_GB_scores.csv,0.01,0.8946148359486448,0.009988618410994275,0.0004388602610194,diagnostic operating curve from model scores
ctt_test03,GRAIN+GB,True,0.9306599076676716,0.9627862996412558,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_GRAIN_GB_scores.csv,0.0001,0.7015581302437075,8.878966995611254e-05,0.0286050999436604,diagnostic operating curve from model scores
ctt_test03,GRAIN+GB,True,0.9306599076676716,0.9627862996412558,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_GRAIN_GB_scores.csv,0.0005,0.8796111333066986,0.0004946853040411984,0.0190953752475162,diagnostic operating curve from model scores
ctt_test03,GRAIN+GB,True,0.9306599076676716,0.9627862996412558,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_GRAIN_GB_scores.csv,0.001,0.9210280996137967,0.0009893706080823968,0.0005417494064455,diagnostic operating curve from model scores
ctt_test03,GRAIN+GB,True,0.9306599076676716,0.9627862996412558,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_GRAIN_GB_scores.csv,0.005,0.9259555200426155,0.00499758999467262,0.0004484028441059,diagnostic operating curve from model scores
ctt_test03,GRAIN+GB,True,0.9306599076676716,0.9627862996412558,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_GRAIN_GB_scores.csv,0.01,0.9259555200426155,0.00999517998934524,0.0004484028441059,diagnostic operating curve from model scores
ctt_test03,Raw-window+GB,True,0.15274452725976553,0.5360234385404181,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_Raw-window_GB_scores.csv,0.0001,0.07204687708083633,8.878966995611254e-05,0.0004388602610194,diagnostic operating curve from model scores
ctt_test03,Raw-window+GB,True,0.15274452725976553,0.5360234385404181,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_Raw-window_GB_scores.csv,0.0005,0.07204687708083633,0.0004946853040411984,0.0004388602610194,diagnostic operating curve from model scores
ctt_test03,Raw-window+GB,True,0.15274452725976553,0.5360234385404181,results/paper_rewrite_framework_style/extra_experiments/predictions/ctt_test03_Raw-window_GB_scores.csv,0.001,0.07204687708083633,0.0009893706080823968,0.0004388602610194,diagnostic operating curve from model scores
