setting,variant,feature_groups_used,classifier,window_size,accuracy,precision,recall,f1,fnr,fpr,tp,fp,tn,fn,aupr,auroc,recall_at_fpr_1e_3,source_script,note
ctt_test02,w/o payload stats,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_delta_l1,GradientBoosting,100,0.9908336564559906,1.0,0.8946148359486448,0.9443764705882352,0.1053851640513552,0.0,5017,0,58867,591,0.903781179492654,0.9473074179743224,0.8946148359486448,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test03,w/o payload stats,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_delta_l1,GradientBoosting,100,0.9193023498210708,1.0,0.0720468770808363,0.1344099378881987,0.9279531229191637,0.0,541,0,78838,6968,0.1527445272597655,0.5360234385404181,0.0720468770808363,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test04,w/o payload stats,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_delta_l1,GradientBoosting,100,0.9895083207261725,0.694078947368421,0.1401993355481727,0.2332780541735765,0.8598006644518272,0.0007115803971077,211,93,130602,1294,0.1070976069364559,0.5697438775755325,0.1401993355481727,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test02,w/o CAN-ID behavior,dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9937650252035672,0.9984680199157412,0.9297432239657633,0.9628808864265928,0.0702567760342368,0.0001358995702176,5214,8,58859,394,0.9357532118084334,0.965217423742542,0.930456490727532,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test03,w/o CAN-ID behavior,dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9705027389486608,0.999597261377366,0.6610733786123318,0.7958316633266533,0.3389266213876681,2.5368477130317865e-05,4964,2,78836,2545,0.9344731694917776,0.964881720987218,0.927553602343854,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test04,w/o CAN-ID behavior,dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9935930408472012,0.97,0.4511627906976744,0.6158730158730159,0.5488372093023256,0.0001606794445082,679,21,130674,826,0.7922370724570558,0.902409721398722,0.8053156146179402,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test02,Payload only,data0|data1|data2|data3|data4|data5|data6|data7|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.5963551764249709,0.0705842762798132,0.2992154065620542,0.1142234777577345,0.7007845934379457,0.3753376254947593,1678,22095,36772,3930,0.1034210325089121,0.5303398516741492,0.0082025677603423,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test03,Payload only,data0|data1|data2|data3|data4|data5|data6|data7|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9128979582382712,0.4577464788732394,0.0086562791317086,0.0169912429747745,0.9913437208682914,0.0009766863695172,65,77,78761,7444,0.1078974599642758,0.5030410677333575,0.0086562791317086,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test04,Payload only,data0|data1|data2|data3|data4|data5|data6|data7|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9738956127080182,0.0966003316749585,0.1548172757475083,0.1189685984171559,0.8451827242524917,0.0166724052182562,233,2179,128516,1272,0.127726681857617,0.5557225586339527,0.1295681063122923,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test02,ID only,can_id,GradientBoosting,100,0.9908336564559906,1.0,0.8946148359486448,0.9443764705882352,0.1053851640513552,0.0,5017,0,58867,591,0.903781179492654,0.9473074179743224,0.8946148359486448,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test03,ID only,can_id,GradientBoosting,100,0.9193023498210708,1.0,0.0720468770808363,0.1344099378881987,0.9279531229191637,0.0,541,0,78838,6968,0.1527445272597655,0.5360234385404181,0.0720468770808363,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test04,ID only,can_id,GradientBoosting,100,0.9895083207261725,0.694078947368421,0.1401993355481727,0.2332780541735765,0.8598006644518272,0.0007115803971077,211,93,130602,1294,0.1070976069364559,0.5697438775755325,0.1401993355481727,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
